symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
1STPRIMFMF,2025-05-13,20.4,21.1,21.9,20.2,2828828,60.33,2063,0.8,406000000.0,2025-05-13 16:33:13.729,0,21.1,21.1,21.1
1STPRIMFMF,2025-05-14,21.2,20.7,21.6,20.6,908146,19.071,803,-0.4,422000000.0,2025-05-14 11:51:17.833,0,21.299999999999997,20.9,20.5
1STPRIMFMF,2025-05-15,20.6,19.9,20.8,19.8,881581,17.739,830,-0.8,414000000.0,2025-05-15 09:17:50.875,0,21.564441969806385,20.566666666666666,19.568891363526948
1STPRIMFMF,2025-05-17,20.1,20.2,20.4,19.5,544765,10.893,687,0.3,398.0,2025-05-17 09:50:36.692,0,21.395597631976102,20.475,19.5544023680239
1STPRIMFMF,2025-05-18,20.8,19.8,20.8,19.6,996034,20.077,825,-0.4,404.0,2025-05-18 11:04:01.525,0,21.324682690007293,20.34,19.355317309992706
1STPRIMFMF,2025-05-19,20.7,19.7,20.7,19.4,588070,11.629,498,-0.1,396.0,2025-05-19 11:02:39.225,0,21.250955834831586,20.233333333333334,19.215710831835082
1STPRIMFMF,2025-05-20,19.7,19.9,20.1,19.5,468638,9.262,381,0.2,394.0,2025-05-20 11:03:06.404,0,21.156302157226463,20.185714285714287,19.21512641420211
1STPRIMFMF,2025-05-21,20.2,20.0,20.6,19.8,957470,19.382,740,0.1,398.0,2025-05-21 11:37:42.102,0,21.07867411009044,20.1625,19.246325889909564
1STPRIMFMF,2025-05-22,20.2,19.7,20.2,19.7,498546,9.89,368,-0.3,400.0,2025-05-22 11:03:25.969,0,21.02249318464044,20.11111111111111,19.199729037581783
1STPRIMFMF,2025-05-24,19.7,19.1,19.8,19.0,722809,13.971,684,-0.6,394.0,2025-05-24 11:39:11.225,0,21.06621967412087,20.009999999999998,18.953780325879126
1STPRIMFMF,2025-05-25,19.4,19.3,19.5,19.0,508529,9.777,387,0.2,382.0,2025-05-25 11:37:22.375,0,21.032112930726104,19.945454545454545,18.858796160182987
1STPRIMFMF,2025-05-26,19.3,19.2,19.4,19.1,338623,6.506,269,-0.1,386.0,2025-05-26 11:03:28.882,0,21.002360688772967,19.883333333333333,18.7643059778937
1STPRIMFMF,2025-05-27,19.3,18.7,19.3,18.6,501596,9.471,524,-0.5,384.0,2025-05-27 11:02:12.873,0,21.03874640618641,19.792307692307695,18.54586897842898
1STPRIMFMF,2025-05-28,19.0,18.4,19.2,18.1,377574,6.99,416,-0.3,374.0,2025-05-28 11:37:31.307,0,21.09176342117253,19.692857142857143,18.293950864541756
1STPRIMFMF,2025-05-29,18.5,18.7,18.8,18.0,680090,12.58,533,0.3,368.0,2025-05-29 11:37:05.128,0,21.066049250353927,19.626666666666665,18.187284082979403
1STPRIMFMF,2025-06-01,19.0,18.7,19.0,18.6,312850,5.864,274,,374.0,2025-06-01 11:04:16.234,0,21.032851687042264,19.56875,18.10464831295774
1STPRIMFMF,2025-06-02,18.7,18.5,18.8,18.4,272221,5.048,256,-0.2,374.0,2025-06-02 11:03:11.714,0,21.012683543208034,19.50588235294118,17.999081162674322
1STPRIMFMF,2025-06-03,18.6,18.3,18.6,18.2,275839,5.051,273,-0.2,370.0,2025-06-03 11:03:02.127,0,21.00397871788897,19.438888888888886,17.873799059888803
1STPRIMFMF,2025-06-04,18.4,18.7,18.8,18.3,198926,3.685,217,0.4,366.0,2025-06-04 11:03:35.353,0,20.679070466241473,19.305555555555557,17.93204064486964
