symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
AAMRANET,2025-05-13,17.6,17.4,17.8,17.3,87150,1.531,146,-0.4,1655042000.0,2025-05-13 16:34:08.371,0,17.4,17.4,17.4
AAMRANET,2025-05-14,17.5,17.0,17.6,16.9,81393,1.39,141,-0.4,1617850000.0,2025-05-14 11:52:21.313,0,17.599999999999998,17.2,16.8
AAMRANET,2025-05-15,17.0,16.6,17.0,16.4,66378,1.116,193,-0.4,1580659000.0,2025-05-15 09:18:32.748,0,17.65319726474218,17.0,16.34680273525782
AAMRANET,2025-05-17,16.6,16.5,16.9,15.9,126193,2.068,222,-0.1,1543.467,2025-05-17 09:56:14.755,0,17.58739034243875,16.875,16.16260965756125
AAMRANET,2025-05-18,16.7,16.4,16.9,16.2,84055,1.382,162,-0.3,1534.169,2025-05-18 11:05:09.904,0,17.521889479639658,16.78,16.038110520360345
AAMRANET,2025-05-19,16.5,16.0,16.6,15.9,116323,1.876,194,-0.4,1524.871,2025-05-19 11:03:44.161,0,17.542561855933062,16.650000000000002,15.757438144066942
AAMRANET,2025-05-20,15.9,16.1,16.3,15.9,107267,1.721,134,,1487.679,2025-05-20 11:04:06.297,0,17.483031779059647,16.571428571428573,15.659825363797497
AAMRANET,2025-05-21,16.3,16.2,16.3,16.1,37739,0.61,70,0.1,1496.977,2025-05-21 11:44:05.718,0,17.41241196746494,16.525,15.637588032535055
AAMRANET,2025-05-22,16.2,16.8,17.0,16.2,215704,3.581,276,0.6,1506.275,2025-05-22 11:04:33.142,0,17.40988367941072,16.555555555555557,15.701227431700397
AAMRANET,2025-05-24,16.5,16.3,16.8,16.3,43285,0.715,86,-0.5,1562.063,2025-05-24 11:44:04.656,0,17.354863625092054,16.53,15.70513637490795
AAMRANET,2025-05-25,16.3,16.1,16.4,16.1,50579,0.818,119,-0.2,1515.573,2025-05-25 11:43:11.002,0,17.315329749000338,16.490909090909092,15.666488432817845
AAMRANET,2025-05-26,16.2,16.1,16.4,16.0,87372,1.415,140,,1496.977,2025-05-26 11:04:24.032,0,17.27669891314606,16.458333333333332,15.639967753520603
AAMRANET,2025-05-27,16.1,16.1,16.3,16.0,87367,1.411,88,,1496.977,2025-05-27 11:03:00.506,0,17.23988884875721,16.43076923076923,15.621649612781246
AAMRANET,2025-05-28,16.2,16.3,16.5,16.1,115485,1.877,143,0.2,1496.977,2025-05-28 11:41:57.993,0,17.204019767131562,16.42142857142857,15.63883737572558
AAMRANET,2025-05-29,16.5,16.4,16.6,16.2,158868,2.605,150,0.1,1515.573,2025-05-29 11:41:32.357,0,17.17613050020042,16.42,15.663869499799583
AAMRANET,2025-06-01,16.5,16.5,16.6,16.4,74247,1.224,165,0.1,1524.871,2025-06-01 11:05:07.045,0,17.15814391493076,16.425,15.69185608506924
AAMRANET,2025-06-02,16.4,16.5,16.7,16.3,59505,0.984,89,0.1,1534.169,2025-06-02 11:03:45.885,0,17.141540985902193,16.429411764705883,15.717282543509572
AAMRANET,2025-06-03,16.6,16.6,16.7,16.5,77648,1.283,105,0.1,1534.169,2025-06-03 11:03:54.637,0,17.13535261974288,16.438888888888886,15.742425158034894
AAMRANET,2025-06-04,16.6,17.2,17.3,16.6,158045,2.678,223,0.6,1543.467,2025-06-04 11:04:11.355,0,17.06654588230244,16.42777777777778,15.78900967325312
