symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
AAMRATECH,2025-05-13,12.7,12.7,13.0,12.6,2763,0.035,16,-0.2,841197000.0,2025-05-13 16:34:53.640,0,12.7,12.7,12.7
AAMRATECH,2025-05-14,12.7,12.6,12.9,12.5,5360,0.067,32,,821785000.0,2025-05-14 11:53:03.711,0,12.749999999999996,12.649999999999999,12.55
AAMRATECH,2025-05-15,12.4,12.1,12.8,12.0,25419,0.31,76,-0.5,815314000.0,2025-05-15 09:19:42.397,0,12.99160052493412,12.466666666666667,11.941732808399214
AAMRATECH,2025-05-17,12.1,12.0,12.5,11.8,55415,0.665,104,0.2,782.96,2025-05-17 10:02:52.496,0,12.958276253029819,12.35,11.74172374697018
AAMRATECH,2025-05-18,12.5,11.6,12.5,11.5,71955,0.842,161,-0.5,776.489,2025-05-18 11:06:11.724,0,13.00993826925266,12.2,11.39006173074734
AAMRATECH,2025-05-19,12.0,11.6,12.0,11.5,15286,0.177,59,-0.1,750.606,2025-05-19 11:04:40.135,0,12.964098759787712,12.1,11.235901240212288
AAMRATECH,2025-05-20,11.6,11.5,11.7,11.4,66894,0.77,117,-0.1,750.606,2025-05-20 11:05:21.970,0,12.917793617190963,12.014285714285714,11.110777811380466
AAMRATECH,2025-05-21,11.8,11.5,11.8,11.4,44380,0.51,67,,744.136,2025-05-21 11:50:53.305,0,12.861043357914426,11.95,11.038956642085573
AAMRATECH,2025-05-22,11.6,11.7,11.9,11.5,167039,1.93,138,0.3,744.136,2025-05-22 11:08:01.534,0,12.79541700908393,11.922222222222222,11.049027435360514
AAMRATECH,2025-05-24,11.6,11.6,11.7,11.5,21879,0.253,30,-0.1,757.077,2025-05-24 11:50:36.673,0,12.740646812725466,11.889999999999999,11.039353187274532
AAMRATECH,2025-05-25,11.4,11.5,11.6,11.4,16591,0.191,40,-0.1,750.606,2025-05-25 11:49:29.539,0,12.696031742938626,11.854545454545455,11.013059166152285
AAMRATECH,2025-05-26,11.6,11.4,11.6,11.4,37249,0.426,53,-0.1,744.136,2025-05-26 11:05:21.865,0,12.660599260078143,11.816666666666668,10.972734073255193
AAMRATECH,2025-05-27,11.6,11.4,11.6,11.1,18581,0.21,46,,737.665,2025-05-27 11:03:55.826,0,12.625296990296258,11.784615384615384,10.94393377893451
AAMRATECH,2025-05-28,11.4,11.3,11.5,11.2,79954,0.912,98,-0.1,737.665,2025-05-28 11:48:35.437,0,12.597685925665528,11.75,10.902314074334472
AAMRATECH,2025-05-29,11.3,11.1,11.5,11.1,19599,0.219,68,-0.2,731.194,2025-05-29 11:48:56.611,0,12.587474376795397,11.706666666666667,10.825858956537937
AAMRATECH,2025-06-01,11.2,11.3,11.5,11.2,31235,0.353,37,0.2,718.253,2025-06-01 11:06:25.164,0,12.556517816156859,11.68125,10.805982183843142
AAMRATECH,2025-06-02,11.4,11.4,11.5,11.3,34908,0.397,29,0.1,731.194,2025-06-02 11:04:57.502,0,12.524093287894102,11.664705882352942,10.805318476811783
AAMRATECH,2025-06-03,11.4,11.3,11.4,11.3,3930,0.045,9,,737.665,2025-06-03 11:05:04.974,0,12.496167462077189,11.644444444444444,10.792721426811699
AAMRATECH,2025-06-04,11.4,11.7,11.7,11.2,56733,0.65,68,0.4,731.194,2025-06-04 11:05:26.642,0,12.271657399810543,11.58888888888889,10.906120377967238
