symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ABB1STMF,2025-05-13,5.6,5.0,5.6,4.9,14924158,78.352,1056,-0.3,1267179000.0,2025-05-13 16:37:26.223,0,5.0,5.0,5.0
ABB1STMF,2025-05-14,5.0,5.0,5.2,4.9,15137539,76.541,795,,1195452000.0,2025-05-14 11:56:17.795,0,5.0,5.0,5.0
ABB1STMF,2025-05-15,5.1,4.7,5.1,4.6,14313132,68.442,890,-0.3,1195452000.0,2025-05-15 09:22:27.191,0,5.182842712474619,4.8999999999999995,4.61715728752538
ABB1STMF,2025-05-17,4.7,4.8,4.9,4.6,5272815,25.26,458,0.1,1123.725,2025-05-17 10:18:35.815,0,5.134807621135332,4.875,4.615192378864668
ABB1STMF,2025-05-18,4.9,4.6,5.0,4.5,9458943,44.491,726,-0.2,1147.634,2025-05-18 11:09:03.687,0,5.140000000000001,4.82,4.5
ABB1STMF,2025-05-19,4.6,4.4,4.8,4.2,18103904,77.899,1188,-0.2,1099.816,2025-05-19 11:07:43.823,0,5.178174419288838,4.75,4.321825580711162
ABB1STMF,2025-05-20,4.4,4.2,4.4,4.0,7935238,33.433,761,-0.2,1051.998,2025-05-20 11:08:31.264,0,5.223973703023249,4.671428571428572,4.118883439833894
ABB1STMF,2025-05-21,4.3,4.4,4.5,4.3,7500136,33.047,618,0.2,1004.18,2025-05-21 12:07:39.601,0,5.184651715705982,4.6375,4.090348284294018
ABB1STMF,2025-05-22,4.4,4.3,4.4,4.2,3767615,16.255,364,-0.1,1051.998,2025-05-22 11:11:14.661,0,5.157773351022717,4.6,4.042226648977282
ABB1STMF,2025-05-24,4.2,4.1,4.3,4.0,4677314,19.378,413,-0.2,1028.089,2025-05-24 12:08:35.962,0,5.158276253029822,4.55,3.9417237469701774
ABB1STMF,2025-05-25,4.2,4.4,4.4,4.0,6340290,26.89,480,0.3,980.271,2025-05-25 12:05:44.943,0,5.122709654421713,4.536363636363636,3.9500176183055595
ABB1STMF,2025-05-26,4.4,4.5,4.6,4.2,7804021,34.715,594,0.1,1051.998,2025-05-26 11:08:09.040,0,5.0950766515450905,4.533333333333333,3.9715900151215755
ABB1STMF,2025-05-27,4.5,4.3,4.6,4.3,4773624,21.139,335,-0.2,1075.907,2025-05-27 11:06:50.349,0,5.06923076923077,4.515384615384615,3.961538461538461
ABB1STMF,2025-05-28,4.4,4.3,4.5,4.2,5039139,21.716,389,,1028.089,2025-05-28 12:04:52.080,0,5.045108115095398,4.5,3.954891884904602
ABB1STMF,2025-05-29,4.3,4.3,4.5,4.2,4771741,20.727,290,,1028.089,2025-05-29 12:04:28.549,0,5.0226600331264475,4.486666666666666,3.950673300206885
ABB1STMF,2025-06-01,4.3,4.3,4.4,4.3,2880647,12.387,265,,1028.089,2025-06-01 11:09:08.512,0,5.0017826876426374,4.475,3.948217312357362
ABB1STMF,2025-06-02,4.3,4.3,4.4,4.2,1724894,7.423,207,,1028.089,2025-06-02 11:07:36.109,0,4.9823529411764715,4.464705882352941,3.947058823529411
ABB1STMF,2025-06-03,4.3,4.2,4.3,4.1,2385101,10.014,233,-0.1,1028.089,2025-06-03 11:08:25.552,0,4.967472489875334,4.449999999999999,3.9325275101246646
ABB1STMF,2025-06-04,4.3,4.3,4.3,4.2,1082324,4.598,186,0.1,1004.18,2025-06-04 11:08:26.645,0,4.857772249827597,4.411111111111111,3.9644499723946267
