symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ABBANK,2025-05-13,7.4,7.1,7.6,7.0,3081309,22.417,657,-0.3,6628141000.0,2025-05-13 16:36:34.822,0,7.1,7.1,7.1
ABBANK,2025-05-14,7.1,6.9,7.1,6.8,1374494,9.48,375,-0.2,6359433000.0,2025-05-14 11:55:12.581,0,7.199999999999999,7.0,6.800000000000001
ABBANK,2025-05-15,6.8,6.6,6.9,6.5,1770396,11.855,496,-0.3,6180294000.0,2025-05-15 09:21:36.976,0,7.277627600197932,6.866666666666667,6.455705733135402
ABBANK,2025-05-17,6.7,6.9,7.0,6.5,1111180,7.533,345,0.3,5911.585,2025-05-17 10:13:16.876,0,7.232071421427142,6.875,6.517928578572858
ABBANK,2025-05-18,7.0,6.7,7.1,6.7,769539,5.257,332,-0.2,6180.294,2025-05-18 11:07:55.377,0,7.188711915483254,6.840000000000001,6.491288084516747
ABBANK,2025-05-19,6.8,6.7,6.9,6.6,623575,4.192,254,,6001.155,2025-05-19 11:06:22.492,0,7.151662520704029,6.816666666666666,6.481670812629304
ABBANK,2025-05-20,6.7,6.8,6.9,6.6,451847,3.044,188,0.1,6001.155,2025-05-20 11:07:15.617,0,7.124650871177149,6.814285714285715,6.503920557394281
ABBANK,2025-05-21,6.8,6.8,6.9,6.6,1136853,7.671,242,,6090.724,2025-05-21 12:01:38.907,0,7.102973750965556,6.8125,6.522026249034444
ABBANK,2025-05-22,6.8,6.8,6.9,6.7,186688,1.265,98,,6090.724,2025-05-22 11:10:04.503,0,7.085085066798621,6.811111111111111,6.537137155423601
ABBANK,2025-05-24,6.8,6.7,6.9,6.6,722223,4.866,224,-0.1,6090.724,2025-05-24 12:01:38.913,0,7.068328157299974,6.8,6.5316718427000255
ABBANK,2025-05-25,6.8,6.7,6.8,6.6,416097,2.781,151,,6001.155,2025-05-25 11:59:37.204,0,7.053131001851926,6.790909090909091,6.528687179966256
ABBANK,2025-05-26,6.7,6.5,6.7,6.5,908379,5.986,232,-0.2,6001.155,2025-05-26 11:07:11.264,0,7.0648090636666385,6.766666666666667,6.468524269666695
ABBANK,2025-05-27,6.6,6.6,6.9,6.5,2208882,14.828,455,0.1,5822.016,2025-05-27 11:05:33.711,0,7.053747518301814,6.753846153846154,6.453944789390493
ABBANK,2025-05-28,6.7,6.4,6.8,6.3,1670791,10.862,435,-0.2,5911.585,2025-05-28 11:59:49.448,0,7.0702360212314685,6.728571428571429,6.386906835911389
ABBANK,2025-05-29,6.4,6.2,6.4,6.1,1316371,8.174,456,-0.2,5732.446,2025-05-29 11:59:24.950,0,7.115812787140129,6.693333333333333,6.270853879526538
ABBANK,2025-06-01,6.0,6.0,6.1,5.5,1771197,10.476,507,-0.2,5553.307,2025-06-01 11:08:19.009,0,7.179150262212918,6.65,6.120849737787083
ABBANK,2025-06-02,6.0,6.0,6.2,6.0,725428,4.396,250,,5374.168,2025-06-02 11:06:48.287,0,7.209337651727073,6.611764705882353,6.014191760037634
ABBANK,2025-06-03,6.0,6.0,6.1,5.9,667319,3.971,270,,5374.168,2025-06-03 11:07:13.415,0,7.222605250157641,6.577777777777778,5.932950305397916
ABBANK,2025-06-04,6.0,6.1,6.1,5.9,366176,2.201,153,0.1,5374.168,2025-06-04 11:07:30.897,0,7.149581965044138,6.522222222222222,5.894862479400306
