symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ACMELAB,2025-05-13,71.9,71.6,71.9,71.0,61114,4.369,214,-0.1,15171842000.0,2025-05-13 16:29:22.142,0,71.6,71.6,71.6
ACMELAB,2025-05-14,71.9,70.9,71.9,70.7,50079,3.559,354,-0.7,15150682000.0,2025-05-14 11:47:20.758,0,71.94999999999999,71.25,70.55000000000001
ACMELAB,2025-05-15,71.3,69.1,71.4,67.9,154037,10.683,650,-1.9,15002561000.0,2025-05-15 09:13:32.689,0,72.63940919985751,70.53333333333333,68.42725746680915
ACMELAB,2025-05-17,69.5,69.9,70.1,68.6,47515,3.307,208,1.0,14621.677,2025-05-17 09:24:06.787,0,72.27959969547409,70.375,68.47040030452591
ACMELAB,2025-05-18,70.7,69.4,70.7,69.1,63347,4.433,328,-0.5,14790.959,2025-05-18 10:58:47.652,0,72.05360614858085,70.17999999999999,68.30639385141913
ACMELAB,2025-05-19,69.6,69.5,69.8,69.0,75084,5.203,233,-0.2,14685.158,2025-05-19 10:58:24.193,0,71.85054508803462,70.06666666666666,68.2827882452987
ACMELAB,2025-05-20,69.5,69.9,70.3,69.4,25600,1.784,127,0.7,14706.318,2025-05-20 10:58:10.586,0,71.6985215079372,70.04285714285714,68.38719277777709
ACMELAB,2025-05-21,70.0,69.9,70.4,69.8,42900,3.007,142,0.3,14790.959,2025-05-21 11:11:05.927,0,71.5766120649183,70.025,68.47338793508172
ACMELAB,2025-05-22,70.5,69.6,70.5,69.5,45868,3.2,178,-0.3,14790.959,2025-05-22 10:58:30.691,0,71.46484133549525,69.97777777777777,68.4907142200603
ACMELAB,2025-05-24,69.5,69.1,70.3,68.8,45136,3.126,221,-0.5,14727.478,2025-05-24 11:10:26.379,0,71.3958552387265,69.89,68.3841447612735
ACMELAB,2025-05-25,69.5,68.7,69.8,68.6,35812,2.467,209,-0.4,14621.677,2025-05-25 11:10:36.051,0,71.37228565299121,69.78181818181818,68.19135071064515
ACMELAB,2025-05-26,69.0,68.4,69.0,68.2,41108,2.816,262,-0.3,14537.037,2025-05-26 10:58:46.812,0,71.3702576452241,69.66666666666667,67.96307568810924
ACMELAB,2025-05-27,68.2,68.3,68.9,68.2,33417,2.286,142,,14473.556,2025-05-27 10:57:53.805,0,71.35303712344735,69.56153846153846,67.77003979962957
ACMELAB,2025-05-28,68.9,68.1,68.9,67.9,55992,3.814,222,0.3,14452.396,2025-05-28 11:09:57.850,0,71.34047468544881,69.45714285714286,67.5738110288369
ACMELAB,2025-05-29,68.0,69.0,69.2,67.9,76486,5.252,226,0.9,14410.076,2025-05-29 11:09:57.239,0,71.2603757190763,69.42666666666668,67.59295761425706
ACMELAB,2025-06-01,69.0,69.7,69.9,68.8,56538,3.915,212,0.7,14600.517,2025-06-01 10:58:52.352,0,71.22415550156418,69.44375,67.6633444984358
ACMELAB,2025-06-02,69.8,69.8,70.2,69.4,58393,4.077,272,0.1,14748.638,2025-06-02 10:58:19.798,0,71.20006978922476,69.46470588235294,67.72934197548113
ACMELAB,2025-06-03,70.2,69.3,70.2,68.8,31378,2.177,196,-0.5,14769.799,2025-06-03 10:58:19.600,0,71.14371329202746,69.45555555555556,67.76739781908367
ACMELAB,2025-06-04,69.6,70.0,70.1,69.4,32494,2.271,122,0.7,14663.998,2025-06-04 10:58:54.355,0,70.73129929936394,69.36666666666667,68.00203403396941
