symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ACMEPL,2025-05-13,12.2,11.9,12.2,11.8,492970,5.916,289,-0.2,1633500000.0,2025-05-13 16:35:13.383,0,11.9,11.9,11.9
ACMEPL,2025-05-14,12.1,11.7,12.1,11.7,275741,3.252,308,-0.2,1606500000.0,2025-05-14 11:53:29.612,0,12.000000000000004,11.8,11.599999999999998
ACMEPL,2025-05-15,11.9,11.3,11.9,11.2,648011,7.392,466,-0.4,1579500000.0,2025-05-15 09:19:49.345,0,12.132220984903192,11.633333333333333,11.134445681763474
ACMEPL,2025-05-17,11.6,11.4,11.6,11.1,603705,6.826,295,0.1,1525.5,2025-05-17 10:03:37.539,0,12.051969600708473,11.575,11.098030399291526
ACMEPL,2025-05-18,11.7,11.3,11.7,11.2,360861,4.12,253,-0.1,1539.0,2025-05-18 11:06:17.626,0,12.0,11.52,11.04
ACMEPL,2025-05-19,11.4,11.4,11.6,11.2,495030,5.632,223,0.1,1525.5,2025-05-19 11:04:43.305,0,11.947213595499958,11.5,11.052786404500042
ACMEPL,2025-05-20,11.3,11.8,11.9,11.3,684429,7.975,432,0.4,1539.0,2025-05-20 11:05:16.447,0,12.007087908836342,11.542857142857143,11.078626376877944
ACMEPL,2025-05-21,12.0,12.0,12.1,11.8,625507,7.477,395,0.2,1593.0,2025-05-21 11:50:06.266,0,12.129150262212917,11.6,11.070849737787082
ACMEPL,2025-05-22,12.1,11.7,12.1,11.6,591406,7.005,346,-0.3,1620.0,2025-05-22 11:08:02.865,0,12.113942599954878,11.61111111111111,11.108279622267343
ACMEPL,2025-05-24,11.7,11.4,11.8,11.3,585868,6.739,328,-0.3,1579.5,2025-05-24 11:51:22.433,0,12.083558507170123,11.59,11.096441492829877
ACMEPL,2025-05-25,11.7,11.4,11.7,11.3,375036,4.293,211,,1539.0,2025-05-25 11:50:15.559,0,12.055830191112234,11.572727272727272,11.08962435434231
ACMEPL,2025-05-26,11.6,11.8,11.9,11.5,880755,10.358,551,0.4,1539.0,2025-05-26 11:05:15.107,0,12.070960128151613,11.591666666666667,11.11237320518172
ACMEPL,2025-05-27,12.0,11.6,12.0,11.5,434412,5.108,256,-0.2,1593.0,2025-05-27 11:03:54.595,0,12.052819370679869,11.592307692307692,11.131796013935515
ACMEPL,2025-05-28,11.8,11.4,11.8,11.3,418417,4.787,280,-0.2,1566.0,2025-05-28 11:48:33.796,0,12.033252298938272,11.578571428571427,11.123890558204582
ACMEPL,2025-05-29,11.4,11.4,11.6,11.2,444640,5.069,208,,1539.0,2025-05-29 11:47:46.572,0,12.014872968372575,11.566666666666666,11.118460364960757
ACMEPL,2025-06-01,11.5,11.5,11.7,11.3,174826,2.012,185,0.1,1539.0,2025-06-01 11:06:17.558,0,11.99767237963823,11.5625,11.12732762036177
ACMEPL,2025-06-02,11.5,11.4,11.6,11.3,360903,4.122,264,-0.1,1552.5,2025-06-02 11:04:58.810,0,11.981990177148482,11.552941176470588,11.123892175792694
ACMEPL,2025-06-03,11.5,11.3,11.5,11.3,153418,1.741,105,-0.1,1539.0,2025-06-03 11:05:06.386,0,11.971652046536677,11.53888888888889,11.106125731241102
ACMEPL,2025-06-04,11.3,11.4,11.5,11.3,406268,4.611,190,0.1,1525.5,2025-06-04 11:05:32.458,0,11.910493350124698,11.511111111111111,11.111728872097524
