symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
AFCAGRO,2025-05-13,8.3,8.6,8.7,8.3,13803,0.119,13,,979338000.0,2025-05-13 16:36:13.315,0,8.6,8.6,8.6
AFCAGRO,2025-05-14,8.6,8.4,8.7,8.2,66562,0.563,72,-0.4,990859000.0,2025-05-14 11:54:46.591,0,8.7,8.5,8.3
AFCAGRO,2025-05-15,8.3,8.1,8.4,8.0,50751,0.419,66,-0.4,967816000.0,2025-05-15 09:21:04.728,0,8.777627600197933,8.366666666666667,7.955705733135401
AFCAGRO,2025-05-17,8.6,8.0,8.6,8.0,11319,0.091,27,0.1,933.251,2025-05-17 10:10:57.767,0,8.751969600708474,8.275,7.798030399291527
AFCAGRO,2025-05-18,8.4,8.0,8.4,8.0,31469,0.254,49,,921.73,2025-05-18 11:07:29.232,0,8.700000000000001,8.22,7.74
AFCAGRO,2025-05-19,8.2,7.7,8.2,7.5,107805,0.835,74,-0.5,921.73,2025-05-19 11:06:06.620,0,8.718330959159475,8.133333333333333,7.54833570750719
AFCAGRO,2025-05-20,7.6,7.8,8.1,7.6,40634,0.32,46,0.1,887.165,2025-05-20 11:06:51.305,0,8.675421926872867,8.085714285714285,7.496006644555704
AFCAGRO,2025-05-21,7.5,7.9,8.0,7.4,37132,0.29,29,0.1,898.686,2025-05-21 11:58:30.777,0,8.627632727772866,8.0625,7.497367272227133
AFCAGRO,2025-05-22,7.9,7.9,8.0,7.8,30200,0.239,18,0.1,910.208,2025-05-22 11:09:28.392,0,8.586958027365943,8.044444444444444,7.501930861522945
AFCAGRO,2025-05-24,8.0,7.7,8.0,7.7,29670,0.23,35,-0.2,910.208,2025-05-24 11:59:40.443,0,8.564616984954483,8.01,7.455383015045516
AFCAGRO,2025-05-25,7.8,7.7,7.8,7.6,31401,0.241,28,,887.165,2025-05-25 11:57:41.925,0,8.539854881935376,7.9818181818181815,7.423781481700987
AFCAGRO,2025-05-26,8.0,7.7,8.0,7.6,23055,0.177,30,,887.165,2025-05-26 11:06:40.863,0,8.514860261902134,7.958333333333333,7.401806404764532
AFCAGRO,2025-05-27,7.9,7.6,7.9,7.6,20272,0.155,35,0.1,887.165,2025-05-27 11:05:05.329,0,8.498542833453723,7.93076923076923,7.362995628084738
AFCAGRO,2025-05-28,7.8,7.7,8.1,7.6,277834,2.183,139,0.1,875.643,2025-05-28 11:56:20.466,0,8.474169084064728,7.914285714285714,7.3544023445067
AFCAGRO,2025-05-29,7.7,8.0,8.0,7.7,13530,0.107,23,0.2,887.165,2025-05-29 11:54:55.159,0,8.462586398650023,7.92,7.377413601349977
AFCAGRO,2025-06-01,8.1,8.3,8.5,8.0,119341,0.992,91,0.2,921.73,2025-06-01 11:07:31.574,0,8.500386101955309,7.94375,7.38711389804469
AFCAGRO,2025-06-02,8.4,8.1,8.4,8.1,35985,0.292,25,-0.2,956.294,2025-06-02 11:05:57.171,0,8.497940462207081,7.9529411764705875,7.407941890734094
AFCAGRO,2025-06-03,8.3,7.9,8.3,7.9,18952,0.15,29,,933.251,2025-06-03 11:06:18.461,0,8.480199124019563,7.949999999999999,7.419800875980435
AFCAGRO,2025-06-04,7.8,8.1,8.2,7.8,10924,0.088,10,0.2,910.208,2025-06-04 11:06:42.837,0,8.357119684239578,7.922222222222222,7.487324760204865
