symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
AGNISYSL,2025-05-13,24.0,24.1,24.7,24.0,781923,18.997,650,,1748604000.0,2025-05-13 16:32:29.148,0,24.1,24.1,24.1
AGNISYSL,2025-05-14,24.0,24.1,24.2,23.6,632348,15.15,524,,1748604000.0,2025-05-14 11:50:33.726,0,24.1,24.1,24.1
AGNISYSL,2025-05-15,24.0,24.6,25.0,24.0,1536382,37.719,1290,0.5,1748604000.0,2025-05-15 09:16:29.963,0,24.7380711874577,24.26666666666667,23.79526214587564
AGNISYSL,2025-05-17,24.9,24.9,25.1,24.3,828224,20.497,877,0.3,1784.882,2025-05-17 09:43:13.220,0,25.108739716558865,24.425,23.741260283441136
AGNISYSL,2025-05-18,25.3,24.9,25.5,24.8,1436481,36.216,799,,1806.649,2025-05-18 11:02:27.781,0,25.239999999999995,24.52,23.800000000000004
AGNISYSL,2025-05-19,24.5,24.4,25.1,24.2,774906,18.935,649,-0.5,1806.649,2025-05-19 11:01:16.791,0,25.163324958071076,24.5,23.836675041928924
AGNISYSL,2025-05-20,24.1,24.4,24.7,24.0,405328,9.854,433,,1770.371,2025-05-20 11:01:36.618,0,25.10380879007954,24.485714285714288,23.867619781349035
AGNISYSL,2025-05-21,24.6,24.5,24.7,24.3,458387,11.226,412,0.1,1770.371,2025-05-21 11:30:24.532,0,25.065751675311017,24.4875,23.909248324688985
AGNISYSL,2025-05-22,24.5,24.7,25.1,24.5,606034,15.034,482,0.2,1777.627,2025-05-22 11:02:04.618,0,25.072414708458446,24.51111111111111,23.949807513763773
AGNISYSL,2025-05-24,24.8,24.5,25.0,24.4,280653,6.894,235,-0.2,1792.138,2025-05-24 11:29:28.558,0,25.04254107822777,24.509999999999998,23.977458921772225
AGNISYSL,2025-05-25,24.6,24.2,24.6,24.1,298481,7.268,346,-0.3,1777.627,2025-05-25 11:29:29.220,0,25.01995085770723,24.481818181818184,23.94368550592914
AGNISYSL,2025-05-26,24.4,24.5,24.7,24.2,450822,11.036,323,0.3,1755.86,2025-05-26 11:01:59.836,0,24.998654161124676,24.483333333333334,23.968012505541992
AGNISYSL,2025-05-27,24.5,25.1,25.3,24.5,845325,20.978,667,0.6,1777.627,2025-05-27 11:00:40.499,0,25.125021782025478,24.53076923076923,23.936516679512984
AGNISYSL,2025-05-28,25.1,25.2,25.6,24.6,980727,24.559,697,0.1,1821.16,2025-05-28 11:27:05.102,0,25.246953575159406,24.57857142857143,23.910189281983453
AGNISYSL,2025-05-29,25.3,25.7,26.7,25.3,1744190,45.12,1145,0.5,1828.416,2025-05-29 11:26:26.136,0,25.507707698325376,24.653333333333332,23.79895896834129
AGNISYSL,2025-06-01,25.8,25.5,25.9,25.4,595353,15.206,361,-0.2,1864.694,2025-06-01 11:02:14.296,0,25.629474647634584,24.70625,23.783025352365417
AGNISYSL,2025-06-02,25.5,25.6,25.8,25.3,620781,15.851,400,0.1,1850.183,2025-06-02 11:01:02.182,0,25.74831852486185,24.758823529411764,23.769328533961676
AGNISYSL,2025-06-03,25.8,25.2,25.8,25.2,422088,10.665,237,-0.4,1857.439,2025-06-03 11:01:13.851,0,25.765960198198915,24.783333333333335,23.800706468467755
AGNISYSL,2025-06-04,25.2,25.5,25.6,25.0,271612,6.86,257,0.3,1828.416,2025-06-04 11:01:29.421,0,25.836676790633373,24.86111111111111,23.88554543158885
