symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
AGRANINS,2025-05-13,24.6,24.8,25.2,24.6,57944,1.445,92,-0.4,856294000.0,2025-05-13 16:32:19.296,0,24.8,24.8,24.8
AGRANINS,2025-05-14,25.2,24.7,25.3,24.5,18623,0.463,72,-0.1,842702000.0,2025-05-14 11:50:24.741,0,24.85,24.75,24.65
AGRANINS,2025-05-15,25.2,24.5,25.2,24.4,27464,0.676,111,-0.3,839304000.0,2025-05-15 09:16:36.096,0,24.916110492451597,24.666666666666668,24.417222840881738
AGRANINS,2025-05-17,25.5,24.4,25.5,24.1,27078,0.66,71,-0.1,832.508,2025-05-17 09:44:21.957,0,24.916227766016842,24.6,24.28377223398316
AGRANINS,2025-05-18,24.5,24.0,25.0,23.8,33020,0.806,103,,829.11,2025-05-18 11:02:32.998,0,25.037135531087365,24.48,23.922864468912636
AGRANINS,2025-05-19,24.6,23.9,24.6,23.6,46410,1.106,104,-0.1,815.518,2025-05-19 11:01:33.940,0,25.05083281315003,24.383333333333336,23.715833853516642
AGRANINS,2025-05-21,23.3,23.1,23.5,23.0,49930,1.155,112,-0.8,812.12,2025-05-21 11:32:53.008,0,25.290216230190794,24.2,23.109783769809205
AGRANINS,2025-05-22,23.7,23.0,23.7,23.0,20330,0.473,38,-0.1,784.936,2025-05-22 11:02:27.404,0,25.34228479833201,24.05,22.757715201667992
AGRANINS,2025-05-24,22.9,22.9,23.1,22.7,13200,0.302,43,-0.1,781.538,2025-05-24 11:32:16.932,0,25.33887799560082,23.922222222222224,22.505566448843627
AGRANINS,2025-05-25,23.4,22.8,23.4,22.6,11823,0.268,38,-0.2,778.14,2025-05-25 11:31:58.271,0,25.313196593929085,23.81,22.306803406070912
AGRANINS,2025-05-26,23.3,22.8,23.8,22.7,13044,0.303,26,,774.742,2025-05-26 11:02:20.828,0,25.264598630906537,23.718181818181815,22.171765005457093
AGRANINS,2025-05-27,23.3,22.5,23.3,22.4,11902,0.27,43,-0.3,774.742,2025-05-27 11:01:17.460,0,25.243183053167446,23.616666666666664,21.99015028016588
AGRANINS,2025-05-28,22.6,22.4,22.9,22.3,20157,0.453,82,-0.1,764.548,2025-05-28 11:31:29.191,0,25.214964982938035,23.523076923076925,21.831188863215814
AGRANINS,2025-05-29,22.3,22.0,22.4,21.8,18336,0.405,60,-0.4,761.15,2025-05-29 11:32:04.571,0,25.223558879884294,23.414285714285715,21.605012548687135
AGRANINS,2025-06-01,22.0,21.9,22.6,21.8,9864,0.217,45,-0.1,747.558,2025-06-01 11:03:27.590,0,25.217527534447168,23.313333333333333,21.409139132219497
AGRANINS,2025-06-02,22.0,23.1,23.4,21.8,36741,0.839,70,1.5,744.16,2025-06-02 11:01:49.085,0,25.14661853126194,23.3,21.453381468738062
AGRANINS,2025-06-03,22.6,22.7,23.3,22.6,4331,0.098,15,-0.4,784.936,2025-06-03 11:01:54.987,0,25.07830312212171,23.264705882352942,21.451108642584174
AGRANINS,2025-06-04,22.9,23.1,23.3,22.7,7192,0.166,25,0.3,771.344,2025-06-04 11:02:07.897,0,25.019669714399054,23.255555555555556,21.49144139671206
