symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
AIBL1STIMF,2025-05-13,6.9,6.4,6.9,6.3,1421019,9.303,238,-0.6,700000000.0,2025-05-13 16:36:49.801,0,6.4,6.4,6.4
AIBL1STIMF,2025-05-14,6.5,6.3,6.6,6.3,334334,2.123,136,-0.1,640000000.0,2025-05-14 11:55:28.918,0,6.449999999999999,6.35,6.25
AIBL1STIMF,2025-05-15,6.4,6.5,6.7,6.4,1989645,12.918,312,0.2,630000000.0,2025-05-15 09:21:40.501,0,6.563299316185545,6.3999999999999995,6.236700683814454
AIBL1STIMF,2025-05-17,6.7,6.5,6.7,6.4,317292,2.076,67,,650.0,2025-05-17 10:14:29.183,0,6.590831239517771,6.425,6.259168760482229
AIBL1STIMF,2025-05-18,6.5,6.4,6.6,6.3,729518,4.715,138,,650.0,2025-05-18 11:08:05.227,0,6.569666295470958,6.42,6.270333704529042
AIBL1STIMF,2025-05-19,6.6,6.6,6.6,6.4,504540,3.285,72,0.2,640.0,2025-05-19 11:06:26.815,0,6.641485421551268,6.45,6.258514578448732
AIBL1STIMF,2025-05-20,6.5,6.5,6.7,6.4,736977,4.736,68,-0.1,660.0,2025-05-20 11:07:21.053,0,6.637844437723907,6.457142857142857,6.276441276561807
AIBL1STIMF,2025-05-21,6.6,6.9,7.1,6.6,1521536,10.523,195,0.4,650.0,2025-05-21 12:00:50.814,0,6.850693731461718,6.5125,6.174306268538283
AIBL1STIMF,2025-05-22,6.9,6.7,6.9,6.6,589856,3.974,71,-0.2,690.0,2025-05-22 11:10:07.174,0,6.873267967572852,6.533333333333333,6.193398699093814
AIBL1STIMF,2025-05-24,6.7,6.6,6.9,6.4,920068,6.018,108,-0.2,670.0,2025-05-24 12:02:02.848,0,6.864961536185439,6.540000000000001,6.215038463814563
AIBL1STIMF,2025-05-25,6.8,6.6,6.8,6.5,210313,1.394,31,0.1,660.0,2025-05-25 11:59:40.488,0,6.857207785445132,6.545454545454546,6.23370130546396
AIBL1STIMF,2025-05-26,6.7,6.7,6.8,6.6,672260,4.496,40,0.1,660.0,2025-05-26 11:07:05.636,0,6.868798933503286,6.558333333333334,6.247867733163381
AIBL1STIMF,2025-05-27,6.8,6.7,6.8,6.5,29445,0.197,28,,670.0,2025-05-27 11:05:29.722,0,6.876923076923077,6.56923076923077,6.261538461538462
AIBL1STIMF,2025-05-28,6.8,6.6,6.9,6.4,1497132,10.131,160,-0.1,670.0,2025-05-28 11:58:42.310,0,6.868351567011807,6.571428571428571,6.274505575845335
AIBL1STIMF,2025-05-29,6.7,6.7,6.8,6.4,1052342,6.991,87,0.1,660.0,2025-05-29 11:57:52.777,0,6.873938769133981,6.58,6.286061230866019
AIBL1STIMF,2025-06-01,6.7,6.6,6.7,6.4,718704,4.71,62,-0.1,670.0,2025-06-01 11:08:13.549,0,6.866019643747363,6.58125,6.296480356252637
AIBL1STIMF,2025-06-02,6.6,6.4,6.6,6.4,483331,3.102,112,-0.2,660.0,2025-06-02 11:06:38.465,0,6.859722487704577,6.570588235294117,6.281453982883658
AIBL1STIMF,2025-06-03,6.6,6.3,6.6,6.2,814355,5.166,87,-0.1,640.0,2025-06-03 11:07:02.705,0,6.862672776913006,6.555555555555555,6.248438334198105
AIBL1STIMF,2025-06-04,6.5,6.4,6.5,6.3,696344,4.474,48,0.2,630.0,2025-06-04 11:07:23.378,0,6.862672776913006,6.555555555555555,6.248438334198105
