symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
AIL,2025-05-13,46.4,45.1,47.1,45.0,629135,28.965,1647,-1.1,2248870000.0,2025-05-13 16:30:27.267,0,45.1,45.1,45.1
AIL,2025-05-14,45.1,45.0,46.3,44.8,750823,34.061,1572,-0.1,2195325000.0,2025-05-14 11:48:22.375,0,45.14999999999999,45.05,44.95
AIL,2025-05-15,45.1,44.2,45.8,44.0,541987,24.199,1303,-0.8,2190458000.0,2025-05-15 09:14:44.994,0,45.572203064906304,44.76666666666667,43.96113026842704
AIL,2025-05-17,44.3,45.3,45.5,43.3,631641,28.114,1257,1.1,2151.516,2025-05-17 09:30:44.934,0,45.73666002653407,44.9,44.06333997346593
AIL,2025-05-18,45.8,44.5,46.5,43.8,805541,36.514,1441,-0.8,2205.061,2025-05-18 11:00:13.021,0,45.63387959797503,44.82,44.00612040202497
AIL,2025-05-19,44.8,44.7,45.8,44.4,796671,35.916,1746,0.2,2166.119,2025-05-19 10:59:27.289,0,45.548331477354786,44.800000000000004,44.05166852264522
AIL,2025-05-20,44.5,45.4,45.7,44.3,490974,22.141,953,0.7,2175.855,2025-05-20 10:59:15.110,0,45.69585410735759,44.885714285714286,44.07557446407098
AIL,2025-05-21,45.8,46.5,46.9,45.3,1006516,46.402,1902,1.1,2209.928,2025-05-21 11:16:56.225,0,46.396841437517345,45.0875,43.77815856248265
AIL,2025-05-22,46.9,46.1,47.7,45.9,1013491,47.366,1702,-0.4,2263.473,2025-05-22 10:59:47.436,0,46.588844443733315,45.2,43.81115555626669
AIL,2025-05-24,46.0,45.4,46.3,45.2,546976,24.97,1228,-0.7,2244.002,2025-05-24 11:16:52.168,0,46.543026832683296,45.22,43.8969731673167
AIL,2025-05-25,45.3,45.0,45.8,44.8,463814,20.934,951,-0.4,2209.928,2025-05-25 11:17:21.243,0,46.46778260252802,45.199999999999996,43.93221739747197
AIL,2025-05-26,45.2,44.9,45.6,44.8,490554,22.113,849,-0.1,2190.458,2025-05-26 10:59:57.397,0,46.400085031062474,45.175000000000004,43.949914968937534
AIL,2025-05-27,45.0,43.8,45.5,43.4,394492,17.489,1053,-1.1,2185.59,2025-05-27 10:58:56.250,0,46.4557252206821,45.06923076923077,43.682736317779444
AIL,2025-05-28,44.3,41.3,44.4,40.1,735423,30.897,1907,-2.5,2132.045,2025-05-28 11:18:18.835,0,47.15675321454872,44.800000000000004,42.44324678545129
AIL,2025-05-29,41.9,42.3,42.7,40.8,467787,19.628,1241,1.0,2010.353,2025-05-29 11:17:53.935,0,47.22939873226988,44.63333333333333,42.03726793439679
AIL,2025-06-01,42.0,42.4,42.6,42.0,281359,11.912,582,0.1,2059.03,2025-06-01 11:00:16.538,0,47.230051107334496,44.49375,41.7574488926655
AIL,2025-06-02,42.4,43.3,43.7,42.2,573918,24.585,1246,0.9,2063.898,2025-06-02 10:59:37.206,0,47.13692052796616,44.42352941176471,41.71013829556326
AIL,2025-06-03,43.4,42.8,43.5,42.4,249938,10.709,514,-0.5,2107.707,2025-06-03 10:59:47.401,0,47.07316301173794,44.333333333333336,41.59350365492873
AIL,2025-06-04,43.4,43.0,43.4,42.6,219496,9.416,497,0.2,2083.369,2025-06-04 11:00:09.610,0,46.99455555333342,44.21666666666667,41.43877777999992
