symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ALARABANK,2025-05-13,22.8,22.0,22.8,21.5,236953,5.264,85,-1.2,26143402000.0,2025-05-13 16:33:09.206,0,22.0,22.0,22.0
ALARABANK,2025-05-14,21.5,21.5,22.0,21.2,140633,3.081,78,-0.5,25337218000.0,2025-05-14 11:51:07.613,0,22.25,21.75,21.25
ALARABANK,2025-05-15,21.9,21.4,21.9,21.1,62605,1.343,54,-0.1,24761372000.0,2025-05-15 09:17:12.010,0,22.158267191600793,21.633333333333336,21.10839947506588
ALARABANK,2025-05-17,21.7,22.1,22.2,21.6,56883,1.254,21,0.8,24646.203,2025-05-17 09:46:50.399,0,22.358276253029825,21.75,21.141723746970175
ALARABANK,2025-05-18,22.1,22.0,22.4,21.8,6013,0.133,33,-0.3,25452.387,2025-05-18 11:03:20.560,0,22.37965506984758,21.8,21.22034493015242
ALARABANK,2025-05-19,21.9,21.3,22.4,21.0,11224,0.239,31,-0.7,25337.218,2025-05-19 11:02:08.825,0,22.363882927964923,21.71666666666667,21.069450405368414
ALARABANK,2025-05-20,21.5,21.4,21.5,21.0,10608,0.227,22,0.1,24531.033,2025-05-20 11:02:36.226,0,22.310305136428514,21.67142857142857,21.032552006428627
ALARABANK,2025-05-21,21.6,21.6,22.0,21.4,122158,2.652,65,0.2,24646.203,2025-05-21 11:35:12.243,0,22.261978940414092,21.6625,21.06302105958591
ALARABANK,2025-05-22,21.7,21.2,22.0,20.8,10005,0.214,40,-0.4,24876.541,2025-05-22 11:03:05.539,0,22.246682206492228,21.61111111111111,20.975540015729994
ALARABANK,2025-05-24,22.0,21.3,22.0,21.3,347,0.007,10,0.4,24415.864,2025-05-24 11:35:08.842,0,22.211189353522382,21.580000000000002,20.94881064647762
ALARABANK,2025-05-25,21.3,21.0,21.7,20.5,53460,1.125,39,-0.3,24531.033,2025-05-25 11:34:56.439,0,22.215305015579073,21.527272727272727,20.83924043896638
ALARABANK,2025-05-26,21.7,21.0,21.7,20.8,24165,0.51,44,-0.2,24185.526,2025-05-26 11:03:02.826,0,22.203672759499145,21.483333333333334,20.762993907167523
ALARABANK,2025-05-27,21.5,19.7,21.5,19.0,99719,1.982,89,-1.3,24185.526,2025-05-27 11:02:03.549,0,22.52184450304879,21.346153846153847,20.170463189258903
ALARABANK,2025-05-28,19.6,18.5,20.0,17.9,82762,1.577,91,-1.2,22688.327,2025-05-28 11:37:07.526,0,22.99559918135697,21.142857142857142,19.290115104357316
ALARABANK,2025-05-29,18.5,17.0,18.5,15.0,278402,4.437,437,-1.4,21306.297,2025-05-29 11:39:54.591,0,23.60081288725465,20.866666666666667,18.132520446078683
ALARABANK,2025-06-01,17.2,17.0,17.2,16.0,92181,1.497,243,,19578.759,2025-06-01 11:05:02.936,0,23.867298567374696,20.625,17.382701432625304
ALARABANK,2025-06-02,16.5,17.0,17.2,16.1,80139,1.344,142,,19578.759,2025-06-02 11:03:37.908,0,23.990053717286397,20.41176470588235,16.833475694478306
ALARABANK,2025-06-03,17.0,17.0,17.4,16.8,205907,3.5,51,,19578.759,2025-06-03 11:03:46.249,0,24.034806971330863,20.22222222222222,16.40963747311358
ALARABANK,2025-06-04,17.0,17.2,17.2,16.9,38430,0.657,49,0.2,19578.759,2025-06-04 11:04:12.602,0,23.902550036435755,19.955555555555556,16.008561074675356
