symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ALIF,2025-05-13,6.2,6.1,6.2,6.0,73590,0.451,62,-0.1,1611548000.0,2025-05-13 16:36:58.303,0,6.1,6.1,6.1
ALIF,2025-05-14,6.0,5.9,6.1,5.9,257869,1.536,134,-0.2,1585555000.0,2025-05-14 11:55:41.683,0,6.199999999999999,6.0,5.800000000000001
ALIF,2025-05-15,5.9,5.8,5.9,5.6,175911,1.022,140,-0.1,1533569000.0,2025-05-15 09:21:56.960,0,6.182777159118263,5.933333333333334,5.683889507548404
ALIF,2025-05-17,5.9,5.9,6.0,5.7,80558,0.469,71,0.1,1507.577,2025-05-17 10:16:02.926,0,6.142944947177034,5.925,5.707055052822966
ALIF,2025-05-18,6.0,5.9,6.1,5.9,126321,0.752,77,,1533.569,2025-05-18 11:08:15.137,0,6.115959179422654,5.92,5.724040820577346
ALIF,2025-05-19,6.0,6.0,6.1,5.9,163805,0.979,87,0.1,1533.569,2025-05-19 11:06:44.126,0,6.1218951416497465,5.933333333333334,5.744771525016921
ALIF,2025-05-20,6.0,5.9,6.0,5.9,111038,0.657,65,,1559.562,2025-05-20 11:07:33.444,0,6.104697542941971,5.928571428571429,5.7524453142008865
ALIF,2025-05-21,6.0,6.0,6.0,5.8,155398,0.923,65,0.1,1533.569,2025-05-21 12:02:49.078,0,6.108891365010026,5.9375,5.766108634989974
ALIF,2025-05-22,6.0,5.9,6.0,5.9,212859,1.273,73,,1559.562,2025-05-22 11:10:21.540,0,6.096632649518878,5.933333333333334,5.770034017147789
ALIF,2025-05-24,5.9,5.9,6.0,5.8,76863,0.453,38,,1533.569,2025-05-24 12:03:22.360,0,6.086204993518134,5.930000000000001,5.773795006481867
ALIF,2025-05-25,5.8,5.8,5.9,5.8,92853,0.54,71,-0.1,1533.569,2025-05-25 12:02:23.726,0,6.08482093436203,5.918181818181818,5.751542702001606
ALIF,2025-05-26,5.8,5.8,5.9,5.7,133875,0.777,80,,1507.577,2025-05-26 11:07:24.657,0,6.080734673879811,5.908333333333334,5.735931992786857
ALIF,2025-05-27,5.8,5.7,5.8,5.6,143928,0.824,112,-0.1,1507.577,2025-05-27 11:05:55.007,0,6.091715098412549,5.892307692307692,5.692900286202835
ALIF,2025-05-28,5.7,5.5,5.8,5.5,179762,1.003,99,-0.2,1481.584,2025-05-28 12:01:46.512,0,6.143131732799188,5.864285714285714,5.58543969577224
ALIF,2025-05-29,5.7,5.6,5.7,5.5,53567,0.3,41,0.1,1429.599,2025-05-29 12:01:23.711,0,6.146592583445387,5.846666666666667,5.546740749887946
ALIF,2025-06-01,5.6,5.7,5.7,5.5,47036,0.265,38,,1455.591,2025-06-01 11:08:29.832,0,6.1364565185775355,5.8375,5.538543481422465
ALIF,2025-06-02,5.7,5.7,5.8,5.6,115209,0.657,37,0.1,1481.584,2025-06-02 11:06:53.579,0,6.126572492713296,5.829411764705882,5.532251036698468
ALIF,2025-06-03,5.7,5.8,5.8,5.6,151306,0.871,69,0.1,1481.584,2025-06-03 11:07:22.656,0,6.116880262916839,5.827777777777778,5.538675292638718
ALIF,2025-06-04,5.8,6.0,6.0,5.7,531404,3.152,161,0.2,1507.577,2025-06-04 11:07:33.405,0,6.093479013682972,5.822222222222223,5.550965430761473
