symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ALLTEX,2025-05-13,10.0,10.7,11.0,10.0,2462,0.026,17,-0.4,610051000.0,2025-05-13 16:35:30.426,0,10.7,10.7,10.7
ALLTEX,2025-05-14,10.8,10.1,10.8,10.1,20164,0.204,29,-0.5,598858000.0,2025-05-14 11:53:45.965,0,10.999999999999996,10.399999999999999,9.8
ALLTEX,2025-05-15,10.0,9.6,10.8,9.5,19244,0.189,58,-0.5,565277000.0,2025-05-15 09:20:27.588,0,11.032715837548801,10.133333333333333,9.233950829117864
ALLTEX,2025-05-17,9.6,9.8,9.9,9.5,3921,0.038,22,0.3,537.293,2025-05-17 10:07:09.677,0,10.880662386291807,10.05,9.219337613708195
ALLTEX,2025-05-18,9.8,9.9,10.2,9.8,24864,0.249,58,,548.486,2025-05-18 11:06:51.340,0,10.77259550888907,10.02,9.267404491110929
ALLTEX,2025-05-19,9.9,9.9,10.8,9.8,25358,0.252,57,0.3,554.083,2025-05-19 11:05:03.398,0,10.69282032302755,10.0,9.30717967697245
ALLTEX,2025-05-20,10.8,10.0,10.8,9.9,19542,0.195,36,0.1,554.083,2025-05-20 11:05:50.536,0,10.641426980589818,10.0,9.358573019410182
ALLTEX,2025-05-21,10.3,9.9,10.5,9.9,59334,0.59,28,,559.68,2025-05-21 11:54:05.309,0,10.591134823382482,9.9875,9.383865176617519
ALLTEX,2025-05-22,10.4,10.0,10.4,9.7,13748,0.138,30,0.1,554.083,2025-05-22 11:08:35.051,0,10.558055487771808,9.988888888888889,9.41972229000597
ALLTEX,2025-05-24,9.8,9.6,10.1,9.4,67376,0.653,56,-0.4,559.68,2025-05-24 11:55:17.853,0,10.53821764679411,9.95,9.36178235320589
ALLTEX,2025-05-25,10.1,9.9,10.1,9.7,3974,0.039,19,0.4,537.293,2025-05-25 11:52:38.602,0,10.507034371326563,9.945454545454545,9.383874719582527
ALLTEX,2025-05-26,10.1,9.6,10.1,9.5,50012,0.481,37,-0.3,554.083,2025-05-26 11:06:02.371,0,10.48724142562079,9.916666666666666,9.346091907712543
ALLTEX,2025-05-27,8.8,9.7,10.0,8.8,8313,0.081,24,0.2,537.293,2025-05-27 11:04:23.210,0,10.46021973710871,9.899999999999999,9.339780262891287
ALLTEX,2025-05-28,9.3,9.6,9.7,9.3,19113,0.183,22,-0.2,542.89,2025-05-28 11:52:27.856,0,10.440092685915245,9.87857142857143,9.317050171227615
ALLTEX,2025-05-29,9.4,9.8,9.9,9.4,16514,0.16,56,,537.293,2025-05-29 11:52:20.046,0,10.417228748116562,9.873333333333333,9.329437918550104
ALLTEX,2025-06-01,9.3,9.4,10.0,9.3,22959,0.216,44,-0.1,548.486,2025-06-01 11:07:07.396,0,10.418070250383007,9.84375,9.269429749616993
ALLTEX,2025-06-02,9.5,9.9,10.3,9.4,22777,0.222,50,0.8,526.099,2025-06-02 11:05:31.024,0,10.404859745464927,9.847058823529412,9.289257901593897
ALLTEX,2025-06-03,10.0,9.3,10.0,9.2,84145,0.784,113,-0.6,554.083,2025-06-03 11:05:56.615,0,10.413882428905628,9.816666666666666,9.219450904427704
ALLTEX,2025-06-04,9.8,9.6,9.8,9.5,8797,0.084,40,0.4,520.502,2025-06-04 11:06:17.594,0,10.178362168676454,9.755555555555556,9.332748942434659
