symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
AMANFEED,2025-05-13,24.1,24.1,24.5,23.9,243232,5.869,191,-0.1,3169484000.0,2025-05-13 16:32:30.724,0,24.1,24.1,24.1
AMANFEED,2025-05-14,23.6,23.9,24.2,23.6,90289,2.157,154,,3156387000.0,2025-05-14 11:50:37.018,0,24.200000000000003,24.0,23.799999999999997
AMANFEED,2025-05-15,24.0,23.3,24.0,23.2,79622,1.874,120,-0.6,3130193000.0,2025-05-15 09:16:46.218,0,24.446535935145704,23.766666666666666,23.086797398187628
AMANFEED,2025-05-17,22.8,23.4,23.6,22.8,57539,1.344,98,0.1,3051.61,2025-05-17 09:45:11.111,0,24.343954408012983,23.675,23.006045591987018
AMANFEED,2025-05-18,23.9,23.5,24.0,23.4,30813,0.725,76,0.1,3064.707,2025-05-18 11:02:52.364,0,24.254491659829487,23.64,23.025508340170514
AMANFEED,2025-05-19,23.6,23.5,23.7,23.4,143901,3.385,177,,3077.804,2025-05-19 11:01:37.093,0,24.187241425620783,23.616666666666664,23.046091907712544
AMANFEED,2025-05-20,23.4,23.8,24.0,23.0,45742,1.083,93,0.5,3077.804,2025-05-20 11:01:46.155,0,24.186465645441153,23.642857142857142,23.09924864027313
AMANFEED,2025-05-21,24.0,24.1,24.3,23.9,114828,2.764,171,0.3,3117.096,2025-05-21 11:31:12.051,0,24.291607978309962,23.7,23.108392021690037
AMANFEED,2025-05-22,24.2,24.1,24.5,24.1,263118,6.383,289,,3156.387,2025-05-22 11:02:12.372,0,24.356262217686055,23.744444444444444,23.132626671202832
AMANFEED,2025-05-24,24.1,23.9,24.1,23.9,96999,2.321,55,-0.2,3156.387,2025-05-24 11:31:01.901,0,24.347877538267962,23.759999999999998,23.172122461732034
AMANFEED,2025-05-25,23.7,23.6,24.0,23.5,51218,1.213,75,-0.3,3130.193,2025-05-25 11:30:37.369,0,24.313472703702306,23.745454545454546,23.177436387206786
AMANFEED,2025-05-26,23.7,23.7,24.1,23.6,102400,2.437,143,0.1,3090.901,2025-05-26 11:02:08.469,0,24.286082765702034,23.741666666666664,23.197250567631293
AMANFEED,2025-05-27,23.7,23.6,24.0,23.5,84860,2.003,120,-0.1,3103.998,2025-05-27 11:01:08.302,0,24.25924812422516,23.73076923076923,23.2022903373133
AMANFEED,2025-05-28,23.7,23.5,23.7,23.4,60861,1.43,80,-0.1,3090.901,2025-05-28 11:29:51.732,0,24.237228720506376,23.714285714285715,23.191342708065054
AMANFEED,2025-05-29,23.3,24.0,24.1,23.2,159802,3.815,142,0.4,3077.804,2025-05-29 11:29:16.440,0,24.25826719160079,23.733333333333334,23.208399475065878
AMANFEED,2025-06-01,24.1,23.6,24.2,23.5,134353,3.174,207,-0.4,3143.29,2025-06-01 11:02:47.311,0,24.237347538297982,23.725,23.21265246170202
AMANFEED,2025-06-02,23.8,23.7,24.0,23.6,85385,2.033,103,0.1,3090.901,2025-06-02 11:01:41.415,0,24.22071874374389,23.723529411764705,23.22634007978552
AMANFEED,2025-06-03,23.7,23.9,23.9,23.7,131254,3.115,128,0.2,3103.998,2025-06-03 11:01:31.235,0,24.22323128188997,23.733333333333334,23.2434353847767
AMANFEED,2025-06-04,24.0,23.9,24.2,23.6,182097,4.357,174,0.3,3130.193,2025-06-04 11:01:54.576,0,24.18676766578593,23.72222222222222,23.257676778658514
