symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
AMCL(PRAN),2025-05-13,208.9,204.0,208.9,203.0,661,0.135,14,-5.8,1670400000.0,2025-05-13 16:27:47.822,0,204.0,204.0,204.0
AMCL(PRAN),2025-05-14,203.6,204.9,207.9,203.3,400,0.082,12,1.0,1632000000.0,2025-05-14 11:45:54.920,0,205.35000000000002,204.45,203.54999999999995
AMCL(PRAN),2025-05-15,208.2,202.9,208.2,202.5,630,0.128,46,-2.0,1639200000.0,2025-05-15 09:11:40.659,0,205.56904588618468,203.9333333333333,202.29762078048194
AMCL(PRAN),2025-05-17,206.6,202.4,209.3,202.1,632,0.129,44,-0.8,1623.2,2025-05-17 09:14:26.126,0,205.49164878389476,203.55,201.60835121610526
AMCL(PRAN),2025-05-18,210.0,202.7,210.0,202.1,124,0.025,16,0.3,1619.2,2025-05-18 10:56:51.894,0,205.24504691629997,203.38,201.51495308370002
AMCL(PRAN),2025-05-19,203.1,201.0,203.2,200.3,2174,0.438,85,-2.3,1621.6,2025-05-19 10:56:35.106,0,205.442104480788,202.98333333333335,200.5245621858787
AMCL(PRAN),2025-05-20,206.9,202.4,206.9,202.1,527,0.107,21,1.1,1608.0,2025-05-20 10:56:27.833,0,205.21269786798263,202.9,200.58730213201738
AMCL(PRAN),2025-05-21,205.5,200.6,205.5,199.1,5792,1.162,132,-1.8,1619.2,2025-05-21 11:00:18.351,0,205.25718807234426,202.6125,199.96781192765576
AMCL(PRAN),2025-05-22,201.0,200.4,202.5,200.0,1834,0.369,69,-0.2,1604.8,2025-05-22 10:56:26.276,0,205.22168174738184,202.36666666666667,199.5116515859515
AMCL(PRAN),2025-05-24,200.5,203.2,204.8,200.5,206,0.042,16,2.7,1603.2,2025-05-24 11:00:04.974,0,205.20426941311118,202.45,199.6957305868888
AMCL(PRAN),2025-05-25,201.7,201.9,204.4,200.9,4347,0.883,51,-1.3,1625.6,2025-05-25 11:00:20.359,0,205.04506401366083,202.4,199.75493598633918
AMCL(PRAN),2025-05-26,201.0,201.5,203.2,201.0,618,0.125,16,0.1,1615.2,2025-05-26 10:57:13.877,0,204.9058590301164,202.32500000000002,199.74414096988363
AMCL(PRAN),2025-05-27,206.4,201.3,206.4,201.1,1964,0.396,34,-0.2,1612.0,2025-05-27 10:56:15.934,0,204.78522137288985,202.24615384615385,199.70708631941784
AMCL(PRAN),2025-05-28,204.8,199.7,204.8,199.5,3933,0.786,49,-1.3,1610.4,2025-05-28 11:00:04.969,0,204.84031282701574,202.06428571428572,199.2882586015557
AMCL(PRAN),2025-05-29,199.8,199.7,202.9,199.0,2099,0.42,56,,1597.6,2025-05-29 11:00:08.795,0,204.8364827397713,201.90666666666667,198.97685059356203
AMCL(PRAN),2025-06-01,204.0,200.9,204.0,200.5,209,0.042,8,0.8,1597.6,2025-06-01 10:56:50.980,0,204.72209045067638,201.84375,198.96540954932362
AMCL(PRAN),2025-06-02,202.0,201.5,202.0,201.0,1218,0.245,33,1.1,1607.2,2025-06-02 10:56:27.328,0,204.62061143059594,201.8235294117647,199.02644739293345
AMCL(PRAN),2025-06-03,201.5,202.2,203.0,201.5,2254,0.455,33,1.5,1612.0,2025-06-03 10:56:28.936,0,204.5681855173254,201.84444444444443,199.12070337156348
AMCL(PRAN),2025-06-04,203.0,203.9,205.0,202.5,643,0.131,30,2.0,1617.6,2025-06-04 10:57:00.631,0,204.5453740132513,201.83888888888887,199.13240376452646
