symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ANLIMAYARN,2025-05-13,22.1,20.4,22.1,20.0,92258,1.877,118,-1.8,393092000.0,2025-05-13 16:33:22.777,0,20.4,20.4,20.4
ANLIMAYARN,2025-05-14,20.9,20.1,21.6,20.1,20641,0.418,48,-0.3,364503000.0,2025-05-14 11:51:28.883,0,20.549999999999997,20.25,19.950000000000003
ANLIMAYARN,2025-05-15,20.2,20.2,20.2,20.2,750,0.015,2,0.1,359143000.0,2025-05-15 09:17:35.078,0,20.48277715911826,20.233333333333334,19.983889507548408
ANLIMAYARN,2025-05-17,20.2,20.2,21.6,20.2,4600,0.093,16,1.3,360.93,2025-05-17 09:48:18.371,0,20.442944947177033,20.225,20.00705505282297
ANLIMAYARN,2025-05-18,21.5,20.9,21.5,20.3,2010,0.042,17,0.1,360.93,2025-05-18 11:03:51.150,0,20.93410800377629,20.36,19.785891996223707
ANLIMAYARN,2025-05-19,20.8,21.0,21.4,20.8,10659,0.223,24,0.1,373.437,2025-05-19 11:02:16.241,0,21.175343054182306,20.466666666666665,19.757990279151024
ANLIMAYARN,2025-05-20,21.7,21.7,21.7,21.6,110418,2.396,18,0.7,375.224,2025-05-20 11:02:27.069,0,21.727066626343444,20.642857142857142,19.55864765937084
ANLIMAYARN,2025-05-21,22.9,21.8,22.9,21.1,9853,0.215,23,-0.4,387.731,2025-05-21 11:35:38.793,0,22.05808057595731,20.7875,19.516919424042694
ANLIMAYARN,2025-05-22,21.9,22.7,23.3,21.6,5067,0.114,40,1.5,389.518,2025-05-22 11:02:24.803,0,22.697056274847714,21.0,19.302943725152286
ANLIMAYARN,2025-05-24,21.5,21.9,22.8,20.7,2984,0.065,36,0.1,405.599,2025-05-24 11:32:39.080,0,22.788116603770188,21.09,19.39188339622981
ANLIMAYARN,2025-05-25,21.0,22.3,22.8,21.0,2163,0.048,20,0.9,391.305,2025-05-25 11:31:33.645,0,22.962229992212862,21.2,19.437770007787137
ANLIMAYARN,2025-05-26,22.4,22.4,22.9,21.3,21182,0.48,36,,398.452,2025-05-26 11:02:33.918,0,23.112916618784954,21.3,19.487083381215047
ANLIMAYARN,2025-05-27,22.6,21.9,22.8,21.6,34205,0.769,34,-0.8,400.239,2025-05-27 11:01:41.799,0,23.117056066649436,21.346153846153847,19.575251625658257
ANLIMAYARN,2025-05-28,21.5,22.1,22.7,21.5,172,0.004,10,0.5,391.305,2025-05-28 11:31:07.270,0,23.15010203784155,21.400000000000002,19.649897962158455
ANLIMAYARN,2025-05-29,22.3,21.8,22.3,21.5,1730,0.038,14,,394.878,2025-05-29 11:31:43.999,0,23.129161567947985,21.426666666666666,19.724171765385346
ANLIMAYARN,2025-06-01,22.1,22.1,22.1,22.1,6,,2,0.3,389.518,2025-06-01 11:03:10.678,0,23.149105245178827,21.46875,19.788394754821173
ANLIMAYARN,2025-06-02,21.5,21.2,22.1,21.1,521,0.011,10,-0.1,394.878,2025-06-02 11:02:11.712,0,23.088023684996863,21.45294117647059,19.817858667944314
ANLIMAYARN,2025-06-03,21.9,20.9,21.9,20.6,6205,0.13,39,-0.3,378.797,2025-06-03 11:02:20.895,0,23.031301400656005,21.422222222222224,19.813143043788443
ANLIMAYARN,2025-06-04,21.4,21.7,22.6,21.4,257,0.006,8,0.9,373.437,2025-06-04 11:02:33.784,0,23.028462005146803,21.494444444444447,19.96042688374209
