symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ANWARGALV,2025-05-13,53.6,53.3,55.3,53.0,52811,2.835,355,-0.8,1633121000.0,2025-05-13 16:29:43.947,0,53.3,53.3,53.3
ANWARGALV,2025-05-14,53.3,53.4,54.1,52.2,38873,2.072,245,0.1,1608971000.0,2025-05-14 11:47:45.987,0,53.45,53.349999999999994,53.249999999999986
ANWARGALV,2025-05-15,53.3,52.3,54.2,52.1,45282,2.395,297,-1.1,1611990000.0,2025-05-15 09:13:54.113,0,53.99331096171675,53.0,52.00668903828325
ANWARGALV,2025-05-17,53.7,53.7,54.0,51.6,38142,2.022,198,1.4,1578.784,2025-05-17 09:26:53.389,0,54.22737825899246,53.175,52.122621741007535
ANWARGALV,2025-05-18,54.3,53.9,55.5,53.6,56876,3.102,374,0.2,1621.046,2025-05-18 10:59:16.350,0,54.42562199688683,53.32000000000001,52.21437800311318
ANWARGALV,2025-05-19,54.6,53.3,54.6,53.1,47757,2.556,269,-0.6,1627.084,2025-05-19 10:58:53.882,0,54.326066928648444,53.31666666666666,52.30726640468488
ANWARGALV,2025-05-20,54.5,53.3,54.5,52.5,38381,2.042,225,,1608.971,2025-05-20 10:58:40.401,0,54.248881556216915,53.31428571428571,52.379689872354504
ANWARGALV,2025-05-21,53.6,54.0,54.8,53.4,32774,1.777,263,0.7,1608.971,2025-05-21 11:13:40.307,0,54.38488578017961,53.4,52.41511421982039
ANWARGALV,2025-05-22,54.5,56.9,58.9,54.5,336918,19.186,1308,2.9,1630.102,2025-05-22 10:58:57.191,0,56.17671811122907,53.788888888888884,51.4010596665487
ANWARGALV,2025-05-24,55.0,55.9,57.2,55.0,48241,2.712,343,-1.0,1717.645,2025-05-24 11:13:14.452,0,56.595380511601334,54.0,51.404619488398666
ANWARGALV,2025-05-25,55.9,54.6,56.0,54.5,97481,5.37,562,-1.3,1687.458,2025-05-25 11:13:26.663,0,56.55307394709846,54.054545454545455,51.55601696199245
ANWARGALV,2025-05-26,54.7,55.1,56.3,54.6,44664,2.473,320,0.5,1648.215,2025-05-26 10:59:20.100,0,56.6026398255794,54.14166666666667,51.68069350775394
ANWARGALV,2025-05-27,56.2,54.6,56.2,54.4,36600,2.014,208,-0.5,1663.308,2025-05-27 10:58:14.328,0,56.55393328194806,54.176923076923075,51.79991287189809
ANWARGALV,2025-05-28,54.9,52.4,55.0,52.1,48080,2.543,351,-2.2,1648.215,2025-05-28 11:12:52.664,0,56.516634491424654,54.050000000000004,51.583365508575355
ANWARGALV,2025-05-29,54.3,53.0,54.3,51.8,33949,1.796,249,0.6,1581.803,2025-05-29 11:13:05.777,0,56.419890707934826,53.980000000000004,51.54010929206518
ANWARGALV,2025-06-01,53.0,53.8,54.5,53.0,16696,0.898,125,0.6,1599.915,2025-06-01 10:59:15.836,0,56.332770674613485,53.96875,51.604729325386515
ANWARGALV,2025-06-02,53.2,54.1,54.9,53.1,43456,2.354,314,0.3,1624.065,2025-06-02 10:58:50.899,0,56.2707390598988,53.976470588235294,51.68220211657179
ANWARGALV,2025-06-03,54.4,54.6,54.7,53.8,33060,1.799,227,0.5,1633.121,2025-06-03 10:58:48.793,0,56.25896330958255,54.01111111111111,51.76325891263968
ANWARGALV,2025-06-04,54.7,54.0,54.7,53.8,30652,1.657,213,-0.6,1648.215,2025-06-04 10:59:22.153,0,56.27136094420616,54.050000000000004,51.82863905579385
