symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
APEXFOODS,2025-05-13,188.0,182.3,188.0,180.0,3823,0.7,116,-3.6,1060076000.0,2025-05-13 16:27:56.105,0,182.3,182.3,182.3
APEXFOODS,2025-05-14,184.8,180.4,184.8,180.0,4850,0.881,124,-1.9,1039548000.0,2025-05-14 11:46:07.243,0,183.25000000000006,181.35000000000002,179.45
APEXFOODS,2025-05-15,186.0,178.2,186.0,176.0,2723,0.485,88,-1.1,1028713000.0,2025-05-15 09:11:52.170,0,183.65062183283445,180.29999999999998,176.94937816716552
APEXFOODS,2025-05-17,179.0,178.4,179.9,177.1,1247,0.223,45,0.8,1016.168,2025-05-17 09:15:13.310,0,183.1607907608242,179.825,176.48920923917578
APEXFOODS,2025-05-18,184.7,179.7,184.7,178.5,3137,0.562,75,1.3,1017.308,2025-05-18 10:57:02.302,0,182.7852973051273,179.8,176.81470269487272
APEXFOODS,2025-05-19,185.9,178.3,185.9,177.5,3002,0.538,76,-1.4,1024.721,2025-05-19 10:56:49.335,0,182.49561821468205,179.54999999999998,176.6043817853179
APEXFOODS,2025-05-20,184.0,181.3,184.0,179.1,3266,0.592,78,3.0,1016.738,2025-05-20 10:56:33.172,0,182.78950545360647,179.79999999999998,176.8104945463935
APEXFOODS,2025-05-21,186.0,181.6,186.0,180.3,1518,0.277,63,2.2,1033.845,2025-05-21 11:01:28.284,0,183.06432558308586,180.025,176.98567441691415
APEXFOODS,2025-05-22,185.5,180.4,185.5,180.0,6790,1.229,156,-1.2,1035.556,2025-05-22 10:56:38.383,0,182.9418478203797,180.06666666666666,177.19148551295362
APEXFOODS,2025-05-24,184.9,178.2,184.9,177.8,2649,0.474,78,-2.2,1028.713,2025-05-24 11:00:57.821,0,182.82862679903715,179.88,176.93137320096284
APEXFOODS,2025-05-25,182.9,177.2,182.9,176.5,2678,0.475,68,-1.0,1016.168,2025-05-25 11:01:27.617,0,182.84234977286485,179.63636363636363,176.4303774998624
APEXFOODS,2025-05-26,183.0,176.1,183.0,175.5,1626,0.287,69,-1.1,1010.465,2025-05-26 10:57:23.288,0,182.98076759348302,179.34166666666667,175.70256573985031
APEXFOODS,2025-05-27,184.8,173.1,184.8,171.1,2135,0.371,103,-3.0,1004.193,2025-05-27 10:56:32.542,0,183.68745469119074,178.86153846153846,174.03562223188618
APEXFOODS,2025-05-28,179.9,171.0,179.9,168.2,5205,0.888,162,-0.4,987.085,2025-05-28 11:00:58.166,0,184.46626768336057,178.29999999999998,172.1337323166394
APEXFOODS,2025-05-29,169.0,170.6,175.2,168.0,948,0.161,46,1.7,975.11,2025-05-29 11:01:18.779,0,184.87501077669847,177.7866666666667,170.6983225566349
APEXFOODS,2025-06-01,172.3,171.9,175.0,170.1,1349,0.233,68,2.2,972.829,2025-06-01 10:57:07.112,0,184.85017609126942,177.41875,169.98732390873056
APEXFOODS,2025-06-02,174.0,171.9,174.8,171.1,327,0.056,29,2.1,980.243,2025-06-02 10:56:39.689,0,184.7571597670574,177.09411764705882,169.43107552706024
APEXFOODS,2025-06-03,176.8,174.4,176.8,172.0,2439,0.425,85,2.5,980.243,2025-06-03 10:56:41.866,0,184.49316684472805,176.94444444444446,169.39572204416086
APEXFOODS,2025-06-04,175.0,174.6,175.5,173.5,2739,0.479,70,0.2,994.499,2025-06-04 10:57:11.373,0,183.6650153493268,176.51666666666665,169.3683179840065
