symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
APEXSPINN,2025-05-13,90.5,86.9,90.5,86.7,24428,2.134,174,-1.5,742560000.0,2025-05-13 16:29:03.417,0,86.9,86.9,86.9
APEXSPINN,2025-05-14,87.0,84.8,87.0,84.7,12547,1.072,121,-2.1,729960000.0,2025-05-14 11:47:11.921,0,87.94999999999999,85.85,83.75
APEXSPINN,2025-05-15,85.1,83.3,85.1,83.0,7270,0.61,75,-1.5,712320000.0,2025-05-15 09:13:16.713,0,87.95296461204669,85.0,82.04703538795331
APEXSPINN,2025-05-17,83.4,83.0,84.6,82.7,20478,1.702,133,1.2,699.72,2025-05-17 09:22:12.863,0,87.5886890422961,84.5,81.4113109577039
APEXSPINN,2025-05-18,85.7,82.2,85.7,82.0,12056,0.996,152,-0.8,697.2,2025-05-18 10:58:25.764,0,87.35927702971595,84.03999999999999,80.72072297028403
APEXSPINN,2025-05-19,82.5,83.4,83.8,82.5,6171,0.513,48,1.2,690.48,2025-05-19 10:58:04.600,0,87.00072455208729,83.93333333333334,80.86594211457938
APEXSPINN,2025-05-20,83.8,83.2,83.8,83.1,4952,0.413,35,,700.56,2025-05-20 10:57:54.523,0,86.71442715353518,83.82857142857142,80.94271570360766
APEXSPINN,2025-05-21,83.5,84.4,84.5,83.5,1491,0.126,23,1.2,698.88,2025-05-21 11:08:46.337,0,86.6258026340878,83.9,81.1741973659122
APEXSPINN,2025-05-22,85.0,84.3,85.0,84.2,4210,0.355,39,-0.2,708.96,2025-05-22 10:58:13.674,0,86.52662459326979,83.94444444444444,81.3622642956191
APEXSPINN,2025-05-24,84.8,83.0,84.8,82.8,8570,0.713,63,-1.3,708.12,2025-05-24 11:08:43.692,0,86.36435876517254,83.85,81.33564123482745
APEXSPINN,2025-05-25,82.3,82.5,83.4,82.3,7136,0.59,51,-0.5,697.2,2025-05-25 11:08:56.064,0,86.24714416568297,83.72727272727273,81.2074012888625
APEXSPINN,2025-05-26,82.3,82.0,83.9,81.5,4844,0.399,64,-1.0,693.0,2025-05-26 10:58:33.062,0,86.17798595405584,83.58333333333333,80.98868071261082
APEXSPINN,2025-05-27,83.7,81.6,83.7,81.5,2746,0.224,42,-0.4,688.8,2025-05-27 10:57:41.385,0,86.13846153846154,83.43076923076923,80.72307692307692
APEXSPINN,2025-05-28,81.5,81.2,81.9,80.6,4327,0.351,51,-0.4,685.44,2025-05-28 11:07:55.894,0,86.12242195362118,83.27142857142857,80.42043518923596
APEXSPINN,2025-05-29,81.2,80.3,81.8,80.0,9094,0.733,67,0.3,682.08,2025-05-29 11:08:03.868,0,86.20124353380619,83.07333333333332,79.94542313286045
APEXSPINN,2025-06-01,80.1,81.7,81.8,80.1,306,0.025,21,1.4,674.52,2025-06-01 10:58:29.858,0,86.08820556486745,82.9875,79.88679443513254
APEXSPINN,2025-06-02,73.7,82.5,83.4,73.7,4763,0.39,75,1.4,686.28,2025-06-02 10:58:00.009,0,85.97568502560233,82.95882352941176,79.94196203322119
APEXSPINN,2025-06-03,82.1,82.2,82.7,82.0,2616,0.215,29,-0.3,693.0,2025-06-03 10:58:01.841,0,85.86906682021406,82.91666666666667,79.96426651311928
APEXSPINN,2025-06-04,82.4,82.8,83.0,82.4,13844,1.146,103,0.6,690.48,2025-06-04 10:58:39.300,0,84.9218628787746,82.68888888888888,80.45591489900316
