symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
APEXTANRY,2025-05-13,61.0,61.3,62.4,60.5,22252,1.372,115,0.6,920496000.0,2025-05-13 16:29:36.850,0,61.3,61.3,61.3
APEXTANRY,2025-05-14,61.0,60.9,61.5,60.9,3025,0.185,55,-0.4,934212000.0,2025-05-14 11:47:36.230,0,61.499999999999986,61.099999999999994,60.7
APEXTANRY,2025-05-15,62.3,58.8,62.3,58.0,18417,1.108,166,-2.1,928116000.0,2025-05-15 09:13:48.899,0,62.5262512271198,60.333333333333336,58.14041543954687
APEXTANRY,2025-05-17,57.8,59.2,63.0,57.8,8604,0.501,29,2.2,896.112,2025-05-17 09:25:37.626,0,62.187755832643184,60.05,57.91224416735681
APEXTANRY,2025-05-18,60.7,60.1,61.5,59.4,6278,0.378,28,0.3,902.208,2025-05-18 10:59:09.451,0,61.9724852940611,60.06,58.1475147059389
APEXTANRY,2025-05-19,61.0,59.5,61.0,58.4,3735,0.222,23,-1.4,915.924,2025-05-19 10:58:43.433,0,61.76172160237817,59.96666666666667,58.17161173095517
APEXTANRY,2025-05-20,59.5,60.4,61.0,58.9,12689,0.767,47,0.1,906.78,2025-05-20 10:58:31.709,0,61.71791377132507,60.028571428571425,58.33922908581778
APEXTANRY,2025-05-21,61.8,60.2,61.8,59.2,8327,0.498,57,-0.2,920.496,2025-05-21 11:12:23.409,0,61.63429795177548,60.05,58.465702048224514
APEXTANRY,2025-05-22,60.2,62.5,62.9,60.0,60091,3.717,228,2.3,917.448,2025-05-22 10:58:42.085,0,62.46755882420394,60.32222222222222,58.176885620240505
APEXTANRY,2025-05-24,60.0,66.3,67.0,60.0,73322,4.785,399,3.8,952.5,2025-05-24 11:11:17.617,0,65.04388166658549,60.92,56.796118333414505
APEXTANRY,2025-05-25,65.0,63.3,65.0,62.7,24868,1.597,128,-3.0,1010.412,2025-05-25 11:11:24.770,0,65.29964270003249,61.13636363636363,56.97308457269477
APEXTANRY,2025-05-26,63.4,63.3,64.7,63.1,7092,0.45,62,,964.692,2025-05-26 10:58:54.583,0,65.47826358238169,61.31666666666666,57.15506975095163
APEXTANRY,2025-05-27,63.5,62.6,63.8,61.7,9212,0.577,58,-1.6,964.692,2025-05-27 10:58:03.295,0,65.4717916301974,61.41538461538461,57.35897760057182
APEXTANRY,2025-05-28,61.1,59.8,61.7,59.4,14961,0.904,138,-2.8,954.024,2025-05-28 11:11:08.532,0,65.29642697561566,61.3,57.303573024384335
APEXTANRY,2025-05-29,58.3,60.9,63.9,58.3,4322,0.261,59,1.1,911.352,2025-05-29 11:11:06.290,0,65.13940225264774,61.27333333333333,57.407264414018925
APEXTANRY,2025-06-01,62.9,61.9,62.9,61.0,8009,0.494,86,1.0,928.116,2025-06-01 10:58:59.229,0,65.0680791830289,61.3125,57.55692081697111
APEXTANRY,2025-06-02,64.8,63.2,64.8,63.0,15337,0.98,225,1.3,943.356,2025-06-02 10:58:29.071,0,65.17368511787468,61.42352941176471,57.67337370565474
APEXTANRY,2025-06-03,64.2,62.3,65.8,62.1,10207,0.65,133,-0.9,963.168,2025-06-03 10:58:30.913,0,65.13877104187723,61.47222222222222,57.80567340256721
APEXTANRY,2025-06-04,66.0,65.3,66.0,62.5,25902,1.681,248,3.0,949.452,2025-06-04 10:59:05.258,0,65.75590133806838,61.69444444444444,57.63298755082051
