symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ARAMITCEM,2025-05-13,12.8,12.5,12.8,12.4,38734,0.489,66,-0.3,433664000.0,2025-05-13 16:35:07.776,0,12.5,12.5,12.5
ARAMITCEM,2025-05-14,12.5,12.5,12.7,12.4,24947,0.312,35,,423500000.0,2025-05-14 11:53:19.303,0,12.5,12.5,12.5
ARAMITCEM,2025-05-15,12.7,12.2,12.7,12.0,21299,0.261,37,-0.3,423500000.0,2025-05-15 09:19:37.471,0,12.68284271247462,12.4,12.11715728752538
ARAMITCEM,2025-05-17,12.6,12.6,12.6,12.2,15941,0.198,44,0.4,413.336,2025-05-17 10:01:46.465,0,12.75,12.45,12.149999999999999
ARAMITCEM,2025-05-18,13.0,12.3,13.0,12.3,7854,0.097,27,-0.3,426.888,2025-05-18 11:06:03.832,0,12.713938769133982,12.42,12.126061230866018
ARAMITCEM,2025-05-19,12.2,12.2,12.5,12.2,26235,0.32,59,-0.1,416.724,2025-05-19 11:04:35.132,0,12.697799371068553,12.383333333333333,12.068867295598112
ARAMITCEM,2025-05-20,13.2,12.4,13.2,11.9,44198,0.548,59,0.2,413.336,2025-05-20 11:05:08.811,0,12.67708682934816,12.385714285714286,12.094341742080413
ARAMITCEM,2025-05-21,12.2,12.6,12.8,12.2,11603,0.145,43,0.3,420.112,2025-05-21 11:49:21.736,0,12.719705143186113,12.4125,12.105294856813886
ARAMITCEM,2025-05-22,12.4,12.7,13.0,12.2,31653,0.399,37,-0.3,426.888,2025-05-22 11:07:51.107,0,12.785828699905272,12.444444444444445,12.103060188983617
ARAMITCEM,2025-05-24,12.7,12.0,12.7,12.0,88930,1.076,131,-0.7,430.276,2025-05-24 11:50:10.393,0,12.819523539268062,12.4,11.98047646073194
ARAMITCEM,2025-05-25,11.9,12.2,12.5,11.9,3591,0.044,16,0.1,406.56,2025-05-25 11:48:31.477,0,12.798019023354893,12.381818181818181,11.965617340281469
ARAMITCEM,2025-05-26,12.4,12.3,12.5,12.1,12316,0.151,26,0.1,413.336,2025-05-26 11:05:06.595,0,12.776040313850533,12.375,11.973959686149467
ARAMITCEM,2025-05-27,12.3,11.8,12.4,11.6,79394,0.944,130,-0.5,416.724,2025-05-27 11:03:42.682,0,12.823076923076924,12.330769230769231,11.838461538461539
ARAMITCEM,2025-05-28,12.3,11.2,12.3,11.0,71465,0.81,73,-0.3,399.784,2025-05-28 11:47:45.372,0,13.001189532864853,12.25,11.498810467135147
ARAMITCEM,2025-05-29,11.6,11.9,12.2,11.2,5583,0.067,23,0.7,379.456,2025-05-29 11:47:24.471,0,12.973095200121515,12.226666666666667,11.480238133211818
ARAMITCEM,2025-06-01,11.4,12.1,12.2,11.4,24704,0.298,40,0.3,403.172,2025-06-01 11:06:13.139,0,12.944073203820201,12.21875,11.493426796179799
ARAMITCEM,2025-06-02,12.0,12.0,12.1,11.8,8254,0.099,39,-0.3,409.948,2025-06-02 11:04:48.038,0,12.917039118103878,12.205882352941176,11.494725587778474
ARAMITCEM,2025-06-03,12.0,12.0,12.0,12.0,30,,2,,406.56,2025-06-03 11:05:02.347,0,12.891970938476423,12.194444444444445,11.496917950412467
ARAMITCEM,2025-06-04,12.0,11.9,12.1,11.7,9543,0.113,17,,406.56,2025-06-04 11:05:23.600,0,12.854376777324733,12.161111111111111,11.46784544489749
