symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ARGONDENIM,2025-05-13,15.7,15.6,15.8,15.5,97314,1.522,79,-0.2,2194440000.0,2025-05-13 16:34:23.263,0,15.6,15.6,15.6
ARGONDENIM,2025-05-14,15.5,15.3,15.5,15.3,31625,0.486,48,-0.3,2166662000.0,2025-05-14 11:52:37.104,0,15.749999999999996,15.45,15.150000000000002
ARGONDENIM,2025-05-15,15.3,15.1,15.3,15.0,79741,1.207,98,-0.2,2124996000.0,2025-05-15 09:18:49.674,0,15.744294266864598,15.333333333333334,14.92237239980207
ARGONDENIM,2025-05-17,15.1,15.2,15.3,15.1,48420,0.735,66,0.2,2097.218,2025-05-17 09:57:25.486,0,15.674165738677393,15.3,14.925834261322608
ARGONDENIM,2025-05-18,15.3,15.3,15.5,15.3,100847,1.551,73,0.1,2111.107,2025-05-18 11:05:16.063,0,15.63466401061363,15.3,14.965335989386372
ARGONDENIM,2025-05-19,15.2,15.5,16.3,15.2,334091,5.226,255,0.2,2124.996,2025-05-19 11:03:45.454,0,15.673267967572853,15.333333333333334,14.993398699093815
ARGONDENIM,2025-05-20,15.3,15.9,16.0,15.3,189278,2.972,181,0.4,2152.773,2025-05-20 11:04:08.225,0,15.920572718476269,15.414285714285715,14.90799871009516
ARGONDENIM,2025-05-21,15.8,16.0,16.0,15.5,209842,3.332,174,0.1,2208.329,2025-05-21 11:44:27.289,0,16.09936191252602,15.4875,14.875638087473979
ARGONDENIM,2025-05-22,15.0,15.7,16.0,15.0,184821,2.893,104,-0.3,2222.218,2025-05-22 11:04:48.011,0,16.10324055975441,15.511111111111111,14.91898166246781
ARGONDENIM,2025-05-24,15.6,15.5,15.6,15.4,136342,2.115,137,-0.2,2180.551,2025-05-24 11:44:30.333,0,16.071782876207525,15.51,14.948217123792473
ARGONDENIM,2025-05-25,15.5,15.3,15.5,15.3,115666,1.775,112,-0.2,2152.773,2025-05-25 11:43:56.988,0,16.039987958928783,15.490909090909092,14.9418302228894
ARGONDENIM,2025-05-26,15.4,15.2,15.5,15.1,190683,2.906,171,-0.1,2124.996,2025-05-26 11:04:26.899,0,16.01641408341569,15.466666666666667,14.916919249917646
ARGONDENIM,2025-05-27,15.4,15.0,15.4,15.0,162186,2.452,100,-0.2,2111.107,2025-05-27 11:03:09.077,0,16.014574337261855,15.430769230769231,14.846964124276607
ARGONDENIM,2025-05-28,15.1,14.9,15.1,14.6,210017,3.124,224,-0.1,2083.329,2025-05-28 11:43:37.458,0,16.018336550828273,15.392857142857142,14.76737773488601
ARGONDENIM,2025-05-29,14.9,15.0,15.2,14.8,143297,2.15,163,0.3,2069.44,2025-05-29 11:42:41.586,0,16.001926893310486,15.366666666666667,14.73140644002285
ARGONDENIM,2025-06-01,15.4,15.9,16.0,15.3,479933,7.556,476,0.9,2083.329,2025-06-01 11:05:20.330,0,16.067083203206316,15.4,14.732916796793685
ARGONDENIM,2025-06-02,15.9,15.8,15.9,15.6,148243,2.337,165,-0.1,2208.329,2025-06-02 11:04:02.282,0,16.097514615877763,15.423529411764704,14.749544207651645
ARGONDENIM,2025-06-03,15.6,15.5,15.7,15.5,198279,3.084,141,-0.3,2194.44,2025-06-03 11:04:11.248,0,16.083709873028685,15.427777777777777,14.771845682526868
ARGONDENIM,2025-06-04,15.6,15.5,15.6,15.4,106429,1.65,87,,2152.773,2025-06-04 11:04:40.744,0,16.073905702160673,15.42222222222222,14.770538742283769
