symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ASIAINS,2025-05-13,26.0,25.5,26.4,25.3,20680,0.53,84,-0.4,1219109000.0,2025-05-13 16:32:12.295,0,25.5,25.5,25.5
ASIAINS,2025-05-14,25.4,24.8,25.5,23.0,39654,0.981,106,-0.7,1200281000.0,2025-05-14 11:50:23.282,0,25.849999999999994,25.15,24.450000000000003
ASIAINS,2025-05-15,25.0,24.1,25.0,23.9,54163,1.306,104,-0.7,1167332000.0,2025-05-15 09:16:39.335,0,25.943095213298815,24.8,23.656904786701187
ASIAINS,2025-05-17,25.9,24.5,25.9,24.3,4995,0.122,19,0.4,1134.384,2025-05-17 09:43:59.776,0,25.748474474522936,24.725,23.701525525477066
ASIAINS,2025-05-18,25.5,24.5,25.5,24.3,34749,0.858,70,-0.2,1153.212,2025-05-18 11:02:41.389,0,25.612952303175245,24.68,23.747047696824755
ASIAINS,2025-05-19,24.9,24.2,24.9,24.1,10255,0.248,25,-0.3,1153.212,2025-05-19 11:01:21.291,0,25.523760430703398,24.599999999999998,23.676239569296598
ASIAINS,2025-05-20,24.0,24.2,24.7,23.8,17204,0.415,49,0.2,1139.091,2025-05-20 11:01:31.075,0,25.442743757029923,24.542857142857144,23.642970528684366
ASIAINS,2025-05-21,24.2,24.9,26.4,24.1,19452,0.474,41,0.7,1139.091,2025-05-21 11:30:03.504,0,25.461785422502285,24.5875,23.713214577497713
ASIAINS,2025-05-22,25.0,25.0,25.0,24.3,16655,0.413,33,,1172.039,2025-05-22 11:02:01.280,0,25.497432093121045,24.633333333333333,23.76923457354562
ASIAINS,2025-05-24,26.9,24.5,26.9,24.4,4292,0.105,25,-0.6,1176.746,2025-05-24 11:30:15.914,0,25.443650411278956,24.619999999999997,23.79634958872104
ASIAINS,2025-05-25,24.1,24.0,25.1,24.0,20818,0.503,64,-0.5,1153.212,2025-05-25 11:29:52.641,0,25.426075725500468,24.563636363636363,23.701197001772258
ASIAINS,2025-05-26,26.0,23.9,26.0,23.4,13621,0.325,36,,1129.677,2025-05-26 11:02:04.488,0,25.41187574456199,24.508333333333336,23.604790922104684
ASIAINS,2025-05-27,24.9,24.0,24.9,24.0,31900,0.769,43,0.1,1124.97,2025-05-27 11:00:58.750,0,25.378616412685027,24.46923076923077,23.559845125776512
ASIAINS,2025-05-28,24.8,23.2,24.8,23.1,33171,0.772,70,-0.8,1129.677,2025-05-28 11:30:17.090,0,25.47187199220843,24.37857142857143,23.28527086493443
ASIAINS,2025-05-29,23.9,23.0,23.9,22.8,29396,0.68,107,-0.2,1092.021,2025-05-29 11:30:28.933,0,25.547072245130295,24.28666666666667,23.026261088203043
ASIAINS,2025-06-01,22.7,22.7,23.8,22.5,79804,1.814,127,-0.3,1082.607,2025-06-01 11:03:02.709,0,25.62950381414198,24.1875,22.74549618585802
ASIAINS,2025-06-02,23.5,23.2,23.5,22.5,19260,0.441,57,0.3,1068.486,2025-06-02 11:01:57.591,0,25.60352518660491,24.129411764705882,22.655298342806855
ASIAINS,2025-06-03,23.6,22.9,23.6,22.6,1872,0.043,24,-0.2,1092.021,2025-06-03 11:01:40.758,0,25.600431146983944,24.061111111111114,22.521791075238283
ASIAINS,2025-06-04,23.3,23.9,24.4,22.5,8936,0.21,42,1.0,1077.9,2025-06-04 11:01:59.251,0,25.34465810302453,23.97222222222222,22.599786341419914
