symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ASIAPACINS,2025-05-13,30.5,28.8,30.5,28.5,41039,1.192,116,-0.7,1249325000.0,2025-05-13 16:31:32.951,0,28.8,28.8,28.8
ASIAPACINS,2025-05-14,28.8,28.5,29.1,28.4,28986,0.83,70,-0.3,1219680000.0,2025-05-14 11:49:44.043,0,28.949999999999996,28.65,28.35
ASIAPACINS,2025-05-15,29.6,27.8,29.6,27.7,42940,1.201,157,-0.7,1206975000.0,2025-05-15 09:16:02.163,0,29.2046536726651,28.366666666666664,27.528679660668228
ASIAPACINS,2025-05-17,30.4,28.3,30.4,27.7,10968,0.309,48,0.5,1177.33,2025-05-17 09:39:12.776,0,29.078010988928053,28.35,27.62198901107195
ASIAPACINS,2025-05-18,28.7,28.4,30.0,28.2,60250,1.75,128,0.1,1198.505,2025-05-18 11:01:57.287,0,29.012380257212005,28.360000000000003,27.707619742788
ASIAPACINS,2025-05-19,29.8,28.4,29.8,28.0,18193,0.518,53,-0.4,1202.74,2025-05-19 11:00:51.504,0,28.962951460666606,28.366666666666664,27.77038187266672
ASIAPACINS,2025-05-20,28.9,28.1,28.9,28.0,8106,0.228,24,-0.2,1202.74,2025-05-20 11:00:54.864,0,28.911316515839175,28.32857142857143,27.745826341303683
ASIAPACINS,2025-05-21,28.2,28.4,28.5,27.7,30240,0.851,88,0.1,1190.035,2025-05-21 11:26:16.663,0,28.884651715705978,28.3375,27.79034828429402
ASIAPACINS,2025-05-22,28.4,28.1,28.5,28.0,16564,0.469,44,-0.3,1202.74,2025-05-22 11:01:22.190,0,28.848135376604205,28.311111111111114,27.774086845618022
ASIAPACINS,2025-05-24,28.2,28.0,28.4,27.9,33132,0.931,81,-0.1,1190.035,2025-05-24 11:26:08.964,0,28.82258639865002,28.28,27.73741360134998
ASIAPACINS,2025-05-25,27.7,27.6,28.0,27.3,19465,0.54,63,-0.1,1185.8,2025-05-25 11:25:30.746,0,28.866638345459158,28.218181818181815,27.569725290904472
ASIAPACINS,2025-05-26,28.0,28.1,28.5,27.5,25743,0.717,91,0.5,1168.86,2025-05-26 11:01:24.560,0,28.832610693344265,28.208333333333332,27.5840559733224
ASIAPACINS,2025-05-27,28.9,27.7,30.1,27.7,18294,0.512,48,0.1,1190.035,2025-05-27 11:00:10.710,0,28.827361527267918,28.16923076923077,27.51110001119362
ASIAPACINS,2025-05-28,28.5,27.7,28.5,27.5,11557,0.319,72,-0.2,1173.095,2025-05-28 11:25:25.056,0,28.814398486869692,28.135714285714283,27.457030084558873
ASIAPACINS,2025-05-29,27.5,27.8,28.1,27.5,20598,0.57,70,,1173.095,2025-05-29 11:24:56.616,0,28.79005746882397,28.113333333333333,27.436609197842696
ASIAPACINS,2025-06-01,27.5,27.4,28.5,27.2,9924,0.273,47,-0.5,1177.33,2025-06-01 11:01:54.100,0,28.809421148351277,28.06875,27.328078851648726
ASIAPACINS,2025-06-02,28.2,29.2,29.6,27.6,76924,2.238,185,1.8,1160.39,2025-06-02 11:00:42.304,0,29.029566550069642,28.13529411764706,27.241021685224478
ASIAPACINS,2025-06-03,29.5,29.1,29.5,28.4,38485,1.117,163,-0.1,1236.62,2025-06-03 11:00:44.911,0,29.163884931932454,28.188888888888886,27.21389284584532
ASIAPACINS,2025-06-04,30.0,30.4,30.6,29.3,94771,2.84,261,1.3,1232.385,2025-06-04 11:01:11.851,0,29.66430911020502,28.27777777777778,26.891246445350536
