symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ASIATICLAB,2025-05-13,31.8,31.1,32.2,30.8,188058,5.902,382,-0.7,3892112000.0,2025-05-13 16:31:24.605,0,31.1,31.1,31.1
ASIATICLAB,2025-05-14,31.1,30.7,31.7,30.6,277904,8.612,395,-0.4,3806436000.0,2025-05-14 11:49:33.766,0,31.299999999999997,30.9,30.5
ASIATICLAB,2025-05-15,31.1,29.6,31.1,29.0,326209,9.692,543,-1.1,3757479000.0,2025-05-15 09:15:53.246,0,31.73508650602936,30.46666666666667,29.198246827303976
ASIATICLAB,2025-05-17,29.5,30.2,30.4,28.8,205083,6.12,434,0.6,3622.846,2025-05-17 09:38:27.906,0,31.52249721603218,30.4,29.27750278396782
ASIATICLAB,2025-05-18,30.8,30.5,31.2,30.2,358492,11.029,597,0.3,3696.282,2025-05-18 11:01:43.704,0,31.42717426496113,30.419999999999998,29.412825735038865
ASIATICLAB,2025-05-19,30.3,30.7,31.0,30.2,188976,5.78,382,0.2,3733.0,2025-05-19 11:00:37.066,0,31.40947570824873,30.46666666666667,29.523857625084606
ASIATICLAB,2025-05-20,30.6,32.3,32.7,30.6,526011,16.651,991,1.6,3757.479,2025-05-20 11:00:37.032,0,32.2803972130286,30.728571428571428,29.176745644114256
ASIATICLAB,2025-05-21,32.1,32.2,33.3,32.0,584670,19.1,744,-0.1,3953.309,2025-05-21 11:25:03.118,0,32.66017702965966,30.9125,29.164822970340346
ASIATICLAB,2025-05-22,32.3,32.2,32.9,32.0,461558,14.939,581,,3941.069,2025-05-22 11:01:10.076,0,32.891277904716745,31.055555555555557,29.21983320639437
ASIATICLAB,2025-05-24,32.4,31.7,32.6,31.6,673765,21.506,493,-0.5,3941.069,2025-05-24 11:25:01.853,0,32.903928249678216,31.119999999999997,29.33607175032178
ASIATICLAB,2025-05-25,32.0,31.3,32.4,31.0,245623,7.782,433,-0.4,3879.873,2025-05-25 11:24:44.734,0,32.84041811110691,31.136363636363637,29.432309161620367
ASIATICLAB,2025-05-26,31.8,31.7,32.2,31.5,216060,6.864,315,0.4,3830.915,2025-05-26 11:01:14.199,0,32.8443236671068,31.183333333333334,29.522342999559868
ASIATICLAB,2025-05-27,31.9,32.6,33.1,31.7,733544,23.863,958,0.9,3879.873,2025-05-27 10:59:53.748,0,33.057721635419206,31.292307692307695,29.52689374919618
ASIATICLAB,2025-05-28,32.6,32.6,33.5,32.0,527353,17.186,633,,3990.027,2025-05-28 11:23:22.001,0,33.21540144532404,31.385714285714283,29.556027126104524
ASIATICLAB,2025-05-29,32.7,34.1,34.4,32.7,1273247,42.881,1330,1.5,3990.027,2025-05-29 11:22:11.495,0,33.79337325313517,31.566666666666666,29.33996008019816
ASIATICLAB,2025-06-01,34.1,33.9,34.5,33.6,353571,11.996,474,-0.2,4173.617,2025-06-01 11:01:17.086,0,34.146503903037136,31.7125,29.278496096962865
ASIATICLAB,2025-06-02,33.8,33.9,34.1,33.6,313808,10.616,369,,4149.138,2025-06-02 11:00:21.698,0,34.41713666714719,31.841176470588234,29.265216274029278
ASIATICLAB,2025-06-03,34.1,32.8,34.2,32.6,423009,14.011,504,-1.1,4149.138,2025-06-03 11:00:27.179,0,34.43607316304397,31.894444444444446,29.35281572584492
ASIATICLAB,2025-06-04,32.6,33.0,33.4,32.6,531522,17.54,338,0.2,4014.505,2025-06-04 11:00:56.958,0,34.558645474986065,32.0,29.441354525013935
