symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ATLASBANG,2025-05-13,49.4,50.5,51.0,49.4,613,0.031,11,0.1,1686170000.0,2025-05-13 16:29:51.382,0,50.5,50.5,50.5
ATLASBANG,2025-05-14,49.1,49.6,54.0,49.1,4110,0.205,58,-1.0,1672919000.0,2025-05-14 11:47:58.881,0,50.94999999999999,50.05,49.150000000000006
ATLASBANG,2025-05-15,46.3,49.3,50.0,46.3,249,0.012,6,0.4,1643105000.0,2025-05-15 09:14:03.523,0,50.81980390271856,49.800000000000004,48.78019609728145
ATLASBANG,2025-05-17,48.5,49.7,50.8,48.0,2648,0.132,19,1.5,1633.166,2025-05-17 09:27:39.497,0,50.66241196746494,49.775,48.88758803253506
ATLASBANG,2025-05-18,49.5,51.2,52.7,49.5,1868,0.096,19,2.0,1646.417,2025-05-18 10:59:23.861,0,51.44910042833483,50.06,48.670899571665174
ATLASBANG,2025-05-19,47.0,50.1,52.0,47.0,1002,0.05,10,-0.3,1696.108,2025-05-19 10:59:02.539,0,51.33508650602936,50.06666666666666,48.79824682730396
ATLASBANG,2025-05-20,50.5,51.0,51.0,50.5,1823,0.093,26,0.8,1659.668,2025-05-20 10:58:52.456,0,51.54376868757769,50.199999999999996,48.8562313124223
ATLASBANG,2025-05-21,51.5,50.9,51.5,50.2,1162,0.059,19,-0.8,1689.483,2025-05-21 11:15:14.693,0,51.62704283246188,50.2875,48.94795716753812
ATLASBANG,2025-05-22,51.4,52.1,52.2,50.6,5457,0.282,46,1.2,1686.17,2025-05-22 10:59:17.481,0,52.18972383272466,50.48888888888889,48.788053945053115
ATLASBANG,2025-05-24,53.9,57.3,57.3,53.9,44859,2.569,107,5.2,1725.922,2025-05-24 11:12:52.629,0,55.56367727535831,51.17,46.776322724641695
ATLASBANG,2025-05-25,63.0,57.6,63.0,57.4,37474,2.23,285,0.3,1898.183,2025-05-25 11:13:02.182,0,57.34178001939456,51.75454545454545,46.16731088969634
ATLASBANG,2025-05-26,58.0,60.4,63.3,58.0,24634,1.491,203,2.8,1908.121,2025-05-26 10:59:07.799,0,59.648155976741805,52.475,45.3018440232582
ATLASBANG,2025-05-27,59.6,58.7,60.1,58.5,12251,0.726,102,-1.2,2000.877,2025-05-27 10:58:06.599,0,60.60252241322006,52.95384615384615,45.30516989447224
ATLASBANG,2025-05-28,62.0,56.4,62.0,56.1,5092,0.288,85,-2.6,1944.561,2025-05-28 11:12:03.037,0,60.78117970465584,53.199999999999996,45.61882029534415
ATLASBANG,2025-05-29,58.7,56.6,58.7,56.2,202,0.011,8,0.2,1868.369,2025-05-29 11:12:17.126,0,60.94463329483296,53.42666666666666,45.90870003850036
ATLASBANG,2025-06-01,57.9,58.2,59.5,57.0,6255,0.365,49,1.6,1874.994,2025-06-01 10:59:05.493,0,61.36224426740431,53.725,46.087755732595696
ATLASBANG,2025-06-02,57.0,57.1,57.8,57.0,2627,0.15,31,-0.4,1927.998,2025-06-02 10:58:44.227,0,61.501059480178576,53.92352941176471,46.34599934335085
ATLASBANG,2025-06-03,56.0,56.1,57.8,56.0,3180,0.179,19,-0.7,1891.558,2025-06-03 10:58:41.810,0,61.47567650087649,54.044444444444444,46.6132123880124
ATLASBANG,2025-06-04,54.0,55.7,55.7,54.0,1067,0.059,5,-0.4,1858.431,2025-06-04 10:59:16.589,0,61.593269053893586,54.333333333333336,47.073397612773086
