symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BANGAS,2025-05-13,88.5,87.3,88.5,87.3,11405,0.998,97,-1.6,677831000.0,2025-05-13 16:29:00.719,0,87.3,87.3,87.3
BANGAS,2025-05-14,86.4,86.6,87.4,86.4,27563,2.394,136,-0.5,665631000.0,2025-05-14 11:47:07.969,0,87.64999999999998,86.94999999999999,86.25
BANGAS,2025-05-15,86.1,86.1,87.0,86.0,6848,0.59,64,0.3,660294000.0,2025-05-15 09:13:08.080,0,87.65098820401556,86.66666666666667,85.68234512931778
BANGAS,2025-05-17,86.1,86.3,87.9,85.5,10185,0.88,96,1.5,656.482,2025-05-17 09:21:44.603,0,87.48467026993299,86.57499999999999,85.66532973006699
BANGAS,2025-05-18,88.0,86.8,88.5,86.7,19875,1.739,110,0.5,658.007,2025-05-18 10:58:21.649,0,87.45330666623997,86.61999999999999,85.78669333376001
BANGAS,2025-05-19,87.0,86.4,87.7,86.1,8007,0.693,87,-0.4,661.819,2025-05-19 10:58:01.250,0,87.36150783532857,86.58333333333333,85.80515883133809
BANGAS,2025-05-20,87.0,86.2,87.1,85.0,8278,0.712,96,0.7,658.769,2025-05-20 10:57:43.396,0,87.29734994554707,86.52857142857144,85.75979291159581
BANGAS,2025-05-21,86.3,88.8,89.5,86.2,26725,2.355,235,2.8,657.244,2025-05-21 11:07:59.708,0,88.47814552051149,86.8125,85.14685447948851
BANGAS,2025-05-22,89.0,88.9,89.4,88.4,15336,1.362,132,0.6,677.068,2025-05-22 10:57:51.968,0,89.09082034368379,87.04444444444444,84.99806854520509
BANGAS,2025-05-24,89.0,87.3,89.2,86.1,11744,1.034,144,-1.6,677.831,2025-05-24 11:07:33.723,0,89.01740853443751,87.07000000000001,85.12259146556251
BANGAS,2025-05-25,86.5,86.6,87.5,86.3,22541,1.956,77,-0.8,665.631,2025-05-25 11:08:11.034,0,88.9036152218682,87.02727272727272,85.15093023267724
BANGAS,2025-05-26,86.6,85.5,87.5,85.3,16681,1.432,162,-0.6,660.294,2025-05-26 10:58:29.030,0,88.88494332412792,86.89999999999999,84.91505667587207
BANGAS,2025-05-27,85.5,85.5,86.0,85.3,11205,0.959,84,,651.907,2025-05-27 10:57:30.535,0,88.84013812167815,86.79230769230769,84.74447726293722
BANGAS,2025-05-28,85.5,85.0,85.5,84.4,11764,1.0,74,-0.5,651.907,2025-05-28 11:07:08.309,0,88.84289227137955,86.66428571428571,84.48567915719187
BANGAS,2025-05-29,85.0,84.6,86.3,84.2,5352,0.455,71,0.7,648.095,2025-05-29 11:07:11.563,0,88.86984589346281,86.52666666666667,84.18348743987053
BANGAS,2025-06-01,84.7,86.1,86.2,84.7,9097,0.782,77,1.5,645.045,2025-06-01 10:58:13.572,0,88.77815714997891,86.5,84.22184285002109
BANGAS,2025-06-02,86.1,86.7,87.7,86.0,13282,1.147,125,1.6,656.482,2025-06-02 10:57:50.463,0,88.72390484923694,86.51176470588236,84.29962456252777
BANGAS,2025-06-03,91.9,85.8,91.9,85.4,8869,0.776,111,-0.9,661.057,2025-06-03 10:57:51.791,0,88.64662436795288,86.47222222222223,84.29782007649158
BANGAS,2025-06-04,87.1,86.3,87.2,85.9,6703,0.58,55,1.2,654.194,2025-06-04 10:58:23.902,0,88.55442249930988,86.41666666666667,84.27891083402346
