symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BANKASIA,2025-05-13,19.4,19.4,19.5,19.2,463584,8.989,153,,22618593000.0,2025-05-13 16:33:30.238,0,19.4,19.4,19.4
BANKASIA,2025-05-14,19.4,19.3,19.4,19.2,214219,4.135,83,-0.1,22618593000.0,2025-05-14 11:51:36.444,0,19.450000000000003,19.35,19.25
BANKASIA,2025-05-15,19.3,19.2,19.4,19.2,93972,1.808,91,-0.1,22502002000.0,2025-05-15 09:17:59.867,0,19.463299316185548,19.3,19.136700683814453
BANKASIA,2025-05-17,19.1,19.0,19.3,19.0,74735,1.427,128,-0.2,22385.412,2025-05-17 09:51:44.491,0,19.520803989154984,19.225,18.92919601084502
BANKASIA,2025-05-18,19.1,18.2,19.1,18.1,530655,9.776,336,-0.7,22152.23,2025-05-18 11:04:26.387,0,19.88162636914152,19.02,18.158373630858478
BANKASIA,2025-05-19,19.3,18.2,19.3,17.9,342139,6.204,249,-0.2,21219.505,2025-05-19 11:03:01.058,0,19.879436853165597,18.883333333333333,17.88722981350107
BANKASIA,2025-05-20,18.7,18.4,18.7,18.0,90855,1.668,97,0.2,21219.505,2025-05-20 11:03:30.137,0,19.79657791072406,18.814285714285713,17.831993517847366
BANKASIA,2025-05-21,18.4,18.2,18.4,18.0,485910,8.795,221,-0.2,21452.686,2025-05-21 11:40:32.432,0,19.74217656487051,18.7375,17.732823435129493
BANKASIA,2025-05-22,18.2,18.0,18.3,18.0,850996,15.322,268,-0.2,21219.505,2025-05-22 11:04:04.983,0,19.710116490462635,18.655555555555555,17.600994620648475
BANKASIA,2025-05-24,18.4,18.0,18.4,18.0,1071523,19.376,278,,20986.323,2025-05-24 11:41:12.915,0,19.664988372030134,18.59,17.515011627969866
BANKASIA,2025-05-25,18.0,17.9,18.1,17.8,489027,8.773,345,-0.1,20986.323,2025-05-25 11:40:11.255,0,19.626333182524174,18.527272727272727,17.42821227202128
BANKASIA,2025-05-27,16.3,15.2,16.3,15.1,1257820,19.12,449,-2.7,22956.706,2025-05-27 11:03:06.347,0,20.368962010041706,18.25,16.131037989958294
BANKASIA,2025-05-28,15.2,14.6,15.3,14.6,185640,2.75,296,-0.4,19493.963,2025-05-28 11:44:01.658,0,20.784993669415933,17.96923076923077,15.153467869045606
BANKASIA,2025-05-29,14.8,14.8,15.0,14.8,429080,6.355,173,0.2,18724.464,2025-05-29 11:44:09.056,0,20.909391332710488,17.742857142857144,14.576322953003798
BANKASIA,2025-06-01,14.7,14.9,15.0,14.7,503484,7.477,202,0.1,18980.964,2025-06-01 11:05:32.267,0,20.925269803012966,17.553333333333335,14.181396863653704
BANKASIA,2025-06-02,15.0,14.9,15.0,14.8,314235,4.674,213,0.1,19109.213,2025-06-02 11:04:12.660,0,20.895971889583837,17.3875,13.879028110416163
BANKASIA,2025-06-03,15.0,14.9,15.0,14.9,178542,2.666,176,0.1,19109.213,2025-06-03 11:04:18.770,0,20.84056127000272,17.241176470588236,13.641791671173754
BANKASIA,2025-06-04,14.9,15.1,15.6,14.8,321556,4.802,187,0.2,19109.213,2025-06-04 11:04:44.631,0,20.755130794063522,17.12222222222222,13.489313650380918
