symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BAYLEASING,2025-05-13,5.3,5.2,5.6,5.2,133018,0.716,96,-0.1,746709000.0,2025-05-13 16:37:23.517,0,5.2,5.2,5.2
BAYLEASING,2025-05-14,5.4,5.1,5.4,5.1,56847,0.291,52,,732620000.0,2025-05-14 11:56:10.168,0,5.250000000000002,5.15,5.049999999999999
BAYLEASING,2025-05-15,5.1,5.0,5.1,4.9,93364,0.467,89,-0.1,718531000.0,2025-05-15 09:22:20.420,0,5.263299316185547,5.1000000000000005,4.936700683814454
BAYLEASING,2025-05-17,5.2,5.2,5.3,5.1,47322,0.246,22,0.3,704.442,2025-05-17 10:17:22.156,0,5.290831239517771,5.125,4.959168760482229
BAYLEASING,2025-05-18,5.4,5.2,5.5,5.2,183575,0.976,76,,732.62,2025-05-18 11:08:41.485,0,5.300000000000001,5.14,4.979999999999999
BAYLEASING,2025-05-19,5.2,5.2,5.3,5.1,24662,0.129,22,,732.62,2025-05-19 11:07:13.530,0,5.302752523165195,5.1499999999999995,4.997247476834804
BAYLEASING,2025-05-20,5.2,5.3,5.3,5.2,27120,0.144,33,0.1,732.62,2025-05-20 11:07:54.032,0,5.347554685799115,5.171428571428572,4.9953024570580284
BAYLEASING,2025-05-21,5.4,5.2,5.4,5.2,32122,0.168,39,,746.709,2025-05-21 12:05:14.786,0,5.340831239517771,5.175,5.009168760482229
BAYLEASING,2025-05-22,5.3,5.3,5.3,5.1,48514,0.253,31,0.1,732.62,2025-05-22 11:10:44.729,0,5.3638668416447075,5.188888888888889,5.013910936133071
BAYLEASING,2025-05-24,5.3,5.1,5.3,5.0,60376,0.309,43,-0.2,746.709,2025-05-24 12:05:50.470,0,5.354355957741627,5.18,5.005644042258372
BAYLEASING,2025-05-25,5.1,5.0,5.1,5.0,39207,0.197,35,-0.1,718.531,2025-05-25 12:04:28.279,0,5.359460538441255,5.163636363636363,4.967812188831472
BAYLEASING,2025-05-26,5.2,5.0,5.2,5.0,35817,0.179,30,0.1,704.442,2025-05-26 11:07:50.732,0,5.358166599946613,5.1499999999999995,4.941833400053386
BAYLEASING,2025-05-27,5.0,4.9,5.2,4.8,189309,0.943,69,-0.1,704.442,2025-05-27 11:06:24.288,0,5.371084605412513,5.130769230769231,4.89045385612595
BAYLEASING,2025-05-28,4.9,4.5,4.9,4.5,322815,1.481,201,-0.4,690.353,2025-05-28 12:04:06.752,0,5.484692572679113,5.085714285714286,4.68673599874946
BAYLEASING,2025-05-29,4.5,4.4,4.5,4.3,126487,0.556,84,-0.2,633.998,2025-05-29 12:04:34.398,0,5.5553639490690045,5.04,4.5246360509309955
BAYLEASING,2025-06-01,4.5,4.4,4.5,4.3,162223,0.706,53,,619.909,2025-06-01 11:09:01.874,0,5.587367006223536,5.0,4.412632993776464
BAYLEASING,2025-06-02,4.4,4.3,4.4,4.3,56172,0.242,29,-0.1,619.909,2025-06-02 11:07:37.425,0,5.617016504974088,4.958823529411765,4.300630553849442
BAYLEASING,2025-06-03,4.3,4.2,4.3,4.2,62568,0.265,36,,605.82,2025-06-03 11:08:23.000,0,5.644677655594719,4.916666666666667,4.188655677738615
BAYLEASING,2025-06-04,4.2,4.1,4.3,4.1,159937,0.662,117,-0.1,591.731,2025-06-04 11:08:40.663,0,5.658943443667787,4.855555555555555,4.052167667443324
