symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BBSCABLES,2025-05-13,14.6,14.1,14.9,14.0,172350,2.458,123,-0.6,3112134000.0,2025-05-13 16:34:37.471,0,14.1,14.1,14.1
BBSCABLES,2025-05-14,14.1,13.9,14.3,13.8,192633,2.703,169,-0.2,2985108000.0,2025-05-14 11:52:52.271,0,14.2,14.0,13.8
BBSCABLES,2025-05-15,13.9,13.7,14.4,13.6,120369,1.66,128,-0.2,2942766000.0,2025-05-15 09:19:06.840,0,14.226598632371092,13.9,13.57340136762891
BBSCABLES,2025-05-17,14.3,14.1,14.3,13.7,141514,1.97,118,0.4,2900.424,2025-05-17 09:59:19.880,0,14.281662479035539,13.95,13.61833752096446
BBSCABLES,2025-05-18,14.3,13.8,14.4,13.7,230310,3.236,218,-0.3,2985.108,2025-05-18 11:05:38.033,0,14.239999999999998,13.919999999999998,13.599999999999998
BBSCABLES,2025-05-19,14.1,13.9,14.2,13.7,196170,2.745,176,0.1,2921.595,2025-05-19 11:04:02.938,0,14.209165479579736,13.916666666666666,13.624167853753596
BBSCABLES,2025-05-20,14.1,14.1,14.3,13.8,311122,4.382,235,0.2,2942.766,2025-05-20 11:04:34.495,0,14.242516813762899,13.942857142857141,13.643197471951384
BBSCABLES,2025-05-21,14.3,14.3,14.5,14.1,154870,2.215,122,0.4,2985.108,2025-05-21 11:46:28.168,0,14.354071957465381,13.9875,13.62092804253462
BBSCABLES,2025-05-22,14.4,14.2,14.6,14.1,285662,4.105,186,-0.1,3027.45,2025-05-22 11:07:11.826,0,14.381629600011845,14.011111111111111,13.640592622210377
BBSCABLES,2025-05-24,14.0,14.0,14.3,13.9,167699,2.351,135,-0.2,3006.279,2025-05-24 11:46:50.924,0,14.361567916624939,14.01,13.658432083375061
BBSCABLES,2025-05-25,14.2,14.0,14.2,13.9,75433,1.058,85,,2963.937,2025-05-25 11:45:42.584,0,14.344347071174285,14.009090909090908,13.67383474700753
BBSCABLES,2025-05-26,14.2,15.4,15.4,14.2,1591821,24.258,831,1.4,2963.937,2025-05-26 11:04:25.463,0,14.958166649996667,14.125,13.291833350003333
BBSCABLES,2025-05-27,15.8,15.6,16.0,15.3,537886,8.376,523,0.2,3260.33,2025-05-27 11:03:05.215,0,15.360378747907971,14.238461538461538,13.116544329015104
BBSCABLES,2025-05-28,15.6,14.7,15.6,14.5,678487,10.116,495,-0.9,3302.672,2025-05-28 11:44:29.760,0,15.378364035874888,14.271428571428572,13.164493106982256
BBSCABLES,2025-05-29,14.7,14.7,15.1,14.4,379101,5.598,318,,3112.134,2025-05-29 11:44:17.073,0,15.390565602489522,14.3,13.20943439751048
BBSCABLES,2025-06-01,14.8,14.5,15.0,14.3,219529,3.203,208,-0.2,3112.134,2025-06-01 11:05:42.415,0,15.372865503022425,14.3125,13.252134496977575
BBSCABLES,2025-06-02,14.6,14.4,14.8,14.3,267645,3.88,221,-0.1,3069.792,2025-06-02 11:04:23.979,0,15.347176463866315,14.31764705882353,13.288117653780745
BBSCABLES,2025-06-03,14.4,14.1,14.7,13.8,611243,8.606,339,-0.3,3048.621,2025-06-03 11:04:36.383,0,15.311034373990328,14.305555555555555,13.300076737120783
BBSCABLES,2025-06-04,14.3,14.3,14.4,14.0,133331,1.898,132,0.2,2985.108,2025-06-04 11:05:00.136,0,15.31722206798691,14.316666666666666,13.316111265346423
