symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BDAUTOCA,2025-05-13,89.9,87.2,89.9,86.9,3444,0.3,36,-1.3,382852000.0,2025-05-13 16:29:02.103,0,87.2,87.2,87.2
BDAUTOCA,2025-05-14,91.0,85.7,91.0,85.2,10104,0.887,92,-1.6,377228000.0,2025-05-14 11:47:09.156,0,87.95,86.45,84.95
BDAUTOCA,2025-05-15,82.0,85.6,87.0,82.0,9098,0.775,76,1.3,370739000.0,2025-05-15 09:13:06.120,0,87.63029989334002,86.16666666666667,84.70303343999332
BDAUTOCA,2025-05-17,92.5,86.6,92.5,80.2,3780,0.325,38,1.1,370.307,2025-05-17 09:21:48.440,0,87.59693040664024,86.275,84.95306959335977
BDAUTOCA,2025-05-18,86.7,86.9,87.1,86.7,6476,0.563,47,0.3,374.633,2025-05-18 10:58:20.221,0,87.6837445228705,86.4,85.11625547712951
BDAUTOCA,2025-05-20,87.0,84.2,87.0,83.0,5281,0.444,57,,364.25,2025-05-20 10:57:49.429,0,88.04882886104414,86.03333333333335,84.01783780562255
BDAUTOCA,2025-05-21,83.1,85.9,90.0,83.1,4511,0.384,41,2.7,364.25,2025-05-21 11:08:22.196,0,87.88260373991679,86.01428571428572,84.14596768865465
BDAUTOCA,2025-05-22,88.8,87.5,89.0,85.5,4161,0.367,49,1.3,371.605,2025-05-22 10:58:03.106,0,88.20499376557635,86.2,84.19500623442366
BDAUTOCA,2025-05-24,85.3,85.0,87.0,84.6,6772,0.581,79,-2.9,378.526,2025-05-24 11:08:20.944,0,88.10191166966317,86.06666666666666,84.03142166367016
BDAUTOCA,2025-05-25,88.5,84.3,88.5,84.0,4609,0.388,27,-0.7,367.711,2025-05-25 11:08:33.437,0,88.09263478588711,85.89,83.68736521411289
BDAUTOCA,2025-05-26,88.5,86.8,88.5,86.3,22,0.002,6,2.0,364.683,2025-05-26 10:58:26.389,0,88.13705107490226,85.97272727272728,83.8084034705523
BDAUTOCA,2025-05-27,80.1,82.8,87.0,80.1,4758,0.398,54,-4.0,375.498,2025-05-27 10:57:35.933,0,88.42305656457113,85.70833333333333,82.99361010209553
BDAUTOCA,2025-05-28,81.1,83.3,86.3,81.1,2796,0.232,84,0.3,358.194,2025-05-28 11:07:32.036,0,88.4299958271389,85.52307692307691,82.61615801901493
BDAUTOCA,2025-05-29,85.7,85.5,86.9,84.0,3838,0.327,82,2.7,360.357,2025-05-29 11:06:50.570,0,88.32263093717752,85.52142857142857,82.72022620567962
BDAUTOCA,2025-06-01,89.0,85.7,89.0,85.2,3158,0.273,56,-0.3,369.874,2025-06-01 10:58:25.184,0,88.24101787100672,85.53333333333333,82.82564879565994
BDAUTOCA,2025-06-02,89.0,85.9,89.0,85.0,4833,0.415,79,1.0,370.739,2025-06-02 10:57:53.927,0,88.18395693761691,85.55625,82.9285430623831
BDAUTOCA,2025-06-03,88.0,85.1,88.0,85.0,2232,0.191,36,-0.8,371.605,2025-06-03 10:57:53.105,0,88.08768756815343,85.52941176470588,82.97113596125834
BDAUTOCA,2025-06-04,87.9,85.1,87.9,84.3,3311,0.281,45,,368.144,2025-06-04 10:58:33.622,0,87.99952358726924,85.50555555555555,83.01158752384185
