symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BDLAMPS,2025-05-13,116.0,110.0,116.0,109.0,23958,2.649,214,-1.2,1170700000.0,2025-05-13 16:28:36.847,0,110.0,110.0,110.0
BDLAMPS,2025-05-14,110.0,108.3,112.5,108.0,10860,1.187,114,-1.7,1158066000.0,2025-05-14 11:46:44.133,0,110.85000000000002,109.15,107.44999999999999
BDLAMPS,2025-05-15,109.7,107.0,109.7,106.5,14395,1.54,150,-1.6,1140169000.0,2025-05-15 09:12:37.927,0,110.89007010302511,108.43333333333334,105.97659656364156
BDLAMPS,2025-05-17,111.0,109.4,111.0,105.5,4909,0.531,59,2.4,1126.483,2025-05-17 09:19:01.849,0,110.96137267303475,108.675,106.38862732696525
BDLAMPS,2025-05-18,109.6,108.3,110.3,107.6,8093,0.88,117,-0.4,1151.75,2025-05-18 10:57:39.349,0,110.6668817092422,108.6,106.53311829075778
BDLAMPS,2025-05-19,114.9,106.8,114.9,106.0,23083,2.478,167,-1.5,1140.169,2025-05-19 10:57:38.388,0,110.61516738055805,108.3,105.98483261944195
BDLAMPS,2025-05-20,109.8,108.3,109.8,106.5,11540,1.245,86,1.5,1124.377,2025-05-20 10:57:16.616,0,110.44342849525842,108.3,106.15657150474158
BDLAMPS,2025-05-21,115.0,110.6,115.0,108.0,10845,1.199,80,2.2,1140.169,2025-05-21 11:05:23.863,0,111.10431842809528,108.5875,106.07068157190473
BDLAMPS,2025-05-22,113.6,113.3,117.0,111.5,45907,5.242,351,3.6,1164.383,2025-05-22 10:57:28.929,0,112.90636480714831,109.11111111111111,105.31585741507392
BDLAMPS,2025-05-24,109.2,110.4,114.0,109.1,8061,0.902,96,-3.3,1192.808,2025-05-24 11:05:23.518,0,112.92260777167486,109.24000000000001,105.55739222832516
BDLAMPS,2025-05-25,109.3,110.2,111.3,109.0,20097,2.21,207,-0.2,1162.278,2025-05-25 11:05:27.091,0,112.88162054786541,109.32727272727271,105.77292490668002
BDLAMPS,2025-05-26,109.4,109.0,110.8,108.7,25003,2.73,164,-1.2,1160.172,2025-05-26 10:58:07.018,0,112.70783411176855,109.3,105.89216588823145
BDLAMPS,2025-05-27,109.0,109.2,110.5,109.0,17748,1.945,131,0.2,1147.539,2025-05-27 10:57:10.072,0,112.56688251000332,109.29230769230769,106.01773287461205
BDLAMPS,2025-05-28,108.2,110.2,112.9,107.2,25807,2.836,352,1.8,1149.644,2025-05-28 11:04:24.789,0,112.54705041130201,109.35714285714286,106.16723530298371
BDLAMPS,2025-05-29,110.3,111.6,112.8,110.3,8462,0.947,126,1.4,1160.172,2025-05-29 11:04:48.211,0,112.7852571497181,109.50666666666666,106.22807618361522
BDLAMPS,2025-06-01,111.6,111.1,112.0,110.1,7715,0.856,118,-0.5,1174.911,2025-06-01 10:57:41.068,0,112.87310533043629,109.60625,106.33939466956372
BDLAMPS,2025-06-02,110.5,112.0,112.9,110.5,10039,1.127,120,0.9,1169.647,2025-06-02 10:57:26.482,0,113.11061271929034,109.74705882352941,106.38350492776848
BDLAMPS,2025-06-03,113.8,113.2,115.7,112.0,27611,3.145,315,1.2,1179.122,2025-06-03 10:57:17.728,0,113.57031890344477,109.9388888888889,106.30745887433302
BDLAMPS,2025-06-04,112.7,112.5,114.4,112.1,5469,0.615,84,-0.5,1191.756,2025-06-04 10:57:51.158,0,113.89444040109765,110.07777777777778,106.26111515445791
