symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BDTHAIFOOD,2025-05-13,13.4,13.1,13.4,12.9,188997,2.478,119,-0.3,1075800000.0,2025-05-13 16:34:49.560,0,13.1,13.1,13.1
BDTHAIFOOD,2025-05-14,13.0,12.6,13.2,12.5,178097,2.267,215,-0.5,1067650000.0000001,2025-05-14 11:53:13.715,0,13.35,12.85,12.35
BDTHAIFOOD,2025-05-15,12.6,12.4,12.7,12.3,237224,2.955,243,-0.2,1026900000.0000001,2025-05-15 09:19:25.496,0,13.28878405775519,12.700000000000001,12.111215942244812
BDTHAIFOOD,2025-05-17,12.7,12.8,12.8,12.4,59881,0.757,97,0.4,1010.6,2025-05-17 10:00:58.456,0,13.242204021639429,12.725,12.20779597836057
BDTHAIFOOD,2025-05-18,13.0,12.8,13.1,12.7,408055,5.248,352,,1043.2,2025-05-18 11:05:53.346,0,13.206476151587625,12.74,12.273523848412376
BDTHAIFOOD,2025-05-19,12.9,13.1,13.2,12.8,185314,2.396,177,0.3,1043.2,2025-05-19 11:04:13.478,0,13.303322295684715,12.799999999999999,12.296677704315282
BDTHAIFOOD,2025-05-20,13.1,13.5,13.8,13.1,451073,6.095,400,0.4,1067.65,2025-05-20 11:04:45.212,0,13.576123403782812,12.9,12.223876596217188
BDTHAIFOOD,2025-05-21,13.6,13.6,13.7,13.5,172260,2.34,127,0.1,1100.25,2025-05-21 11:47:39.563,0,13.771320770329543,12.9875,12.203679229670458
BDTHAIFOOD,2025-05-22,13.5,13.4,13.8,13.3,174767,2.358,121,-0.2,1108.4,2025-05-22 11:07:23.050,0,13.816489341631382,13.033333333333333,12.250177325035285
BDTHAIFOOD,2025-05-24,13.3,13.2,13.7,13.1,158057,2.111,125,-0.2,1092.1,2025-05-24 11:48:05.665,0,13.799666592559653,13.05,12.300333407440348
BDTHAIFOOD,2025-05-25,13.2,13.4,13.5,13.0,107056,1.425,142,0.2,1075.8,2025-05-25 11:46:54.305,0,13.824384649333169,13.081818181818182,12.339251714303195
BDTHAIFOOD,2025-05-26,13.3,13.8,14.0,13.2,466932,6.425,452,0.4,1092.1,2025-05-26 11:04:47.470,0,13.955948900020406,13.141666666666666,12.327384433312925
BDTHAIFOOD,2025-05-27,14.3,13.9,14.9,13.8,1209854,17.5,818,0.1,1124.7,2025-05-27 11:03:21.287,0,14.08055926284641,13.2,12.319440737153588
BDTHAIFOOD,2025-05-28,14.2,13.7,14.2,13.5,403113,5.554,278,-0.2,1132.85,2025-05-28 11:44:59.622,0,14.12246483159077,13.235714285714286,12.348963739837801
BDTHAIFOOD,2025-05-29,13.5,13.6,14.0,13.5,209937,2.876,210,-0.1,1116.55,2025-05-29 11:45:03.366,0,14.135747299929227,13.26,12.384252700070773
BDTHAIFOOD,2025-06-01,13.5,13.4,13.8,13.3,111446,1.499,125,-0.2,1108.4,2025-06-01 11:05:57.463,0,14.119393139042455,13.26875,12.418106860957547
BDTHAIFOOD,2025-06-02,13.5,13.5,13.7,13.3,139846,1.883,136,0.2,1092.1,2025-06-02 11:04:33.995,0,14.114742256532175,13.282352941176471,12.449963625820768
BDTHAIFOOD,2025-06-03,13.5,13.3,13.8,13.2,297671,4.018,208,-0.2,1100.25,2025-06-03 11:04:47.469,0,14.092310739967438,13.283333333333333,12.474355926699229
BDTHAIFOOD,2025-06-04,13.6,13.4,13.6,13.3,123335,1.649,134,0.1,1083.95,2025-06-04 11:05:10.058,0,14.105536398239638,13.3,12.494463601760364
