symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BDWELDING,2025-05-13,10.2,9.7,10.2,9.6,10520,0.102,27,-0.3,429158000.0,2025-05-13 16:35:54.021,0,9.7,9.7,9.7
BDWELDING,2025-05-14,10.0,9.1,10.0,9.0,197227,1.89,159,-0.5,420488000.0,2025-05-14 11:54:26.678,0,9.999999999999996,9.399999999999999,8.8
BDWELDING,2025-05-15,9.8,9.4,9.8,9.4,16637,0.157,34,0.3,394479000.0,2025-05-15 09:20:31.744,0,9.889897948556635,9.4,8.910102051443365
BDWELDING,2025-05-17,9.3,9.3,9.6,9.2,2405,0.022,7,0.2,407.483,2025-05-17 10:07:54.505,0,9.808012701892219,9.375,8.941987298107781
BDWELDING,2025-05-18,9.3,9.4,9.7,9.2,14840,0.139,24,-0.1,403.149,2025-05-18 11:06:59.095,0,9.767814388593305,9.379999999999999,8.992185611406693
BDWELDING,2025-05-19,9.2,9.3,9.5,9.0,22484,0.207,33,-0.1,407.483,2025-05-19 11:05:28.072,0,9.725677653808967,9.366666666666667,9.007655679524367
BDWELDING,2025-05-20,9.2,9.3,9.5,9.2,5669,0.053,13,,403.149,2025-05-20 11:06:08.525,0,9.692781146413449,9.357142857142858,9.021504567872267
BDWELDING,2025-05-21,9.8,9.3,9.8,9.1,28636,0.265,62,0.2,403.149,2025-05-21 11:55:15.928,0,9.666227766016837,9.35,9.033772233983163
BDWELDING,2025-05-22,9.5,9.4,9.5,9.3,6426,0.06,18,0.1,403.149,2025-05-22 11:08:44.862,0,9.655349723627378,9.355555555555556,9.055761387483734
BDWELDING,2025-05-24,9.7,9.5,9.7,9.3,21651,0.205,23,-0.1,407.483,2025-05-24 11:56:03.939,0,9.66732137494637,9.370000000000001,9.072678625053632
BDWELDING,2025-05-25,9.5,9.3,9.5,9.2,17004,0.158,22,-0.3,411.818,2025-05-25 11:55:00.714,0,9.649963922691338,9.363636363636363,9.077308804581389
BDWELDING,2025-05-26,9.3,9.3,9.5,9.2,12602,0.117,22,-0.1,403.149,2025-05-26 11:06:08.063,0,9.634718732529617,9.358333333333334,9.081947934137052
BDWELDING,2025-05-27,9.2,9.2,9.5,9.1,45131,0.414,35,-0.2,403.149,2025-05-27 11:04:41.190,0,9.62478108117346,9.346153846153847,9.067526611134234
BDWELDING,2025-05-28,9.2,9.1,9.3,9.0,39960,0.364,24,0.1,398.814,2025-05-28 11:53:34.585,0,9.625494424154663,9.328571428571427,9.031648432988192
BDWELDING,2025-05-29,9.2,9.2,9.2,9.2,1560,0.014,6,0.1,394.479,2025-05-29 11:53:26.945,0,9.613938769133982,9.32,9.026061230866018
BDWELDING,2025-06-01,9.3,9.2,9.4,9.1,6595,0.061,15,-0.1,398.814,2025-06-01 11:07:17.878,0,9.602973750965557,9.3125,9.022026249034443
BDWELDING,2025-06-02,9.3,9.4,9.5,9.3,13455,0.127,25,0.1,398.814,2025-06-02 11:05:45.537,0,9.602440433809653,9.31764705882353,9.032853683837407
BDWELDING,2025-06-03,9.4,9.2,9.4,9.1,5730,0.053,14,-0.2,407.483,2025-06-03 11:06:01.681,0,9.593079500898877,9.31111111111111,9.029142721323343
BDWELDING,2025-06-04,9.2,9.2,9.4,9.2,2463,0.023,10,0.1,398.814,2025-06-04 11:06:28.531,0,9.49677080791443,9.283333333333335,9.06989585875224
