symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BENGALWTL,2025-05-13,16.4,16.2,16.4,15.9,128023,2.071,177,0.2,1463616000.0,2025-05-13 16:34:15.758,0,16.2,16.2,16.2
BENGALWTL,2025-05-14,16.2,16.0,16.3,15.9,118529,1.908,186,-0.2,1481911000.0,2025-05-14 11:52:31.463,0,16.300000000000004,16.1,15.9
BENGALWTL,2025-05-15,16.6,16.1,16.6,15.8,95117,1.525,157,0.1,1463616000.0,2025-05-15 09:18:39.969,0,16.263299316185545,16.099999999999998,15.936700683814452
BENGALWTL,2025-05-17,16.2,16.5,16.8,16.0,123085,2.006,152,0.6,1472.764,2025-05-17 09:55:51.154,0,16.57416573867739,16.2,15.825834261322607
BENGALWTL,2025-05-18,16.6,16.7,16.7,16.4,247547,4.108,268,0.2,1509.354,2025-05-18 11:05:04.070,0,16.82153619241621,16.3,15.778463807583792
BENGALWTL,2025-05-19,16.9,16.5,16.9,16.4,69836,1.157,106,-0.2,1527.649,2025-05-19 11:03:38.641,0,16.832220984903188,16.333333333333332,15.834445681763476
BENGALWTL,2025-05-20,16.8,17.0,17.0,16.5,165540,2.782,214,0.5,1509.354,2025-05-20 11:03:57.584,0,17.085092873890055,16.428571428571427,15.772049983252797
BENGALWTL,2025-05-21,17.4,17.5,17.7,17.0,234953,4.092,351,0.5,1555.092,2025-05-21 11:42:07.141,0,17.50024996667555,16.5625,15.62475003332445
BENGALWTL,2025-05-22,18.5,19.2,19.2,18.0,1612212,30.646,742,1.7,1600.83,2025-05-22 11:03:40.546,0,18.734352123364285,16.855555555555554,14.976758987746821
BENGALWTL,2025-05-24,19.9,20.1,20.8,19.2,1353655,27.206,1320,0.9,1756.339,2025-05-24 11:37:56.964,0,19.81939386981178,17.18,14.54060613018822
BENGALWTL,2025-05-25,20.1,18.9,20.3,18.8,1356214,26.472,1216,-1.2,1838.668,2025-05-25 11:38:33.285,0,20.040263482912188,17.336363636363636,14.632463789815082
BENGALWTL,2025-05-26,19.0,18.8,19.7,18.5,795861,15.24,829,-0.1,1728.896,2025-05-26 11:03:40.622,0,20.170599708321028,17.458333333333332,14.746066958345637
BENGALWTL,2025-05-27,19.3,18.3,19.3,18.2,642370,11.983,581,-0.5,1719.749,2025-05-27 11:02:21.814,0,20.16726223737155,17.523076923076925,14.8788916087823
BENGALWTL,2025-05-28,18.7,17.4,18.7,17.0,445834,7.896,565,-0.9,1674.011,2025-05-28 11:39:08.598,0,20.063074942647336,17.514285714285712,14.965496485924088
BENGALWTL,2025-05-29,17.4,17.6,17.9,17.3,314840,5.536,355,0.2,1591.682,2025-05-29 11:39:06.341,0,19.98273560632616,17.52,15.057264393673842
BENGALWTL,2025-06-01,19.0,17.9,19.0,17.6,307007,5.462,390,0.3,1609.978,2025-06-01 11:04:41.085,0,19.935369482693684,17.54375,15.152130517306317
BENGALWTL,2025-06-02,18.0,17.5,18.1,17.5,350515,6.183,317,-0.4,1637.42,2025-06-02 11:03:33.988,0,19.861479517255567,17.541176470588233,15.220873423920901
BENGALWTL,2025-06-03,17.8,17.3,17.8,17.3,162213,2.818,209,-0.2,1600.83,2025-06-03 11:03:40.626,0,19.785412287667924,17.52777777777778,15.270143267887633
BENGALWTL,2025-06-04,17.4,17.6,17.6,17.2,115274,2.013,157,0.3,1582.535,2025-06-04 11:04:08.848,0,19.769371343794496,17.605555555555558,15.44173976731662
