symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BERGERPBL,2025-05-13,1780.0,1770.5,1780.0,1770.0,263,0.466,67,-5.8,82362477000.0,2025-05-13 16:27:01.414,0,1770.5,1770.5,1770.5
BERGERPBL,2025-05-14,1770.0,1777.9,1780.0,1770.0,486,0.864,31,7.4,82112037000.0,2025-05-14 11:45:22.252,0,1781.6000000000001,1774.2,1766.8
BERGERPBL,2025-05-15,1773.0,1769.3,1779.0,1761.1,168,0.298,49,-16.8,82455233000.0,2025-05-15 09:11:08.595,0,1780.1725123717076,1772.5666666666666,1764.9608209616256
BERGERPBL,2025-05-17,1780.0,1761.2,1780.0,1754.2,436,0.769,45,-8.1,82056.383,2025-05-17 09:10:36.532,0,1781.5693024277496,1769.725,1757.8806975722503
BERGERPBL,2025-05-18,1764.0,1756.1,1765.0,1752.0,373,0.655,104,-9.2,81680.722,2025-05-18 10:56:11.602,0,1782.2,1767.0,1751.8
BERGERPBL,2025-05-19,1752.0,1755.0,1784.0,1749.9,265,0.465,34,22.9,81444.195,2025-05-19 10:55:57.327,0,1781.5085836259,1765.0,1748.4914163741
BERGERPBL,2025-05-20,1755.1,1770.4,1774.5,1755.1,123,0.218,36,15.0,81393.179,2025-05-20 10:55:56.178,0,1781.5157116284493,1765.7714285714285,1750.0271455144077
BERGERPBL,2025-05-21,1760.0,1764.9,1771.9,1760.0,163,0.288,21,-5.5,82107.399,2025-05-21 10:56:47.971,0,1780.4012033011727,1765.6625,1750.9237966988271
BERGERPBL,2025-05-22,1770.0,1770.6,1774.0,1756.0,657,1.16,106,9.1,81852.32,2025-05-22 10:55:36.926,0,1780.4492272300813,1766.211111111111,1751.9729949921407
BERGERPBL,2025-05-24,1770.0,1774.9,1775.0,1770.0,486,0.862,39,2.4,82116.674,2025-05-24 10:56:34.456,0,1781.5586187186486,1767.08,1752.6013812813512
BERGERPBL,2025-05-25,1774.0,1768.4,1775.0,1766.0,894,1.584,125,-6.5,82316.099,2025-05-25 10:56:44.858,0,1781.0256678286835,1767.2,1753.3743321713166
BERGERPBL,2025-05-26,1770.0,1774.8,1775.0,1770.0,853,1.513,109,6.6,82014.643,2025-05-26 10:56:39.488,0,1781.7210577289602,1767.8333333333333,1753.9456089377063
BERGERPBL,2025-05-27,1770.0,1774.8,1775.0,1769.0,1143,2.026,128,,82311.461,2025-05-27 10:55:41.415,0,1782.2190593414293,1768.3692307692306,1754.519402197032
BERGERPBL,2025-05-28,1798.0,1725.0,1798.0,1663.9,3301,5.798,346,-44.8,82311.461,2025-05-28 10:56:31.883,0,1791.293114974606,1765.2714285714285,1739.249742168251
BERGERPBL,2025-05-29,1731.0,1749.6,1774.0,1730.0,2914,5.107,251,24.6,80001.843,2025-05-29 10:56:34.912,0,1790.553683630657,1764.2266666666667,1737.8996497026765
BERGERPBL,2025-06-01,1752.0,1749.4,1756.0,1748.1,2696,4.718,259,-0.2,81142.739,2025-06-01 10:56:03.083,0,1789.7823526145244,1763.3,1736.8176473854755
BERGERPBL,2025-06-02,1742.0,1739.7,1744.0,1702.0,3563,6.192,248,-9.7,81133.463,2025-06-02 10:55:54.846,0,1789.9010805122389,1761.9117647058824,1733.922448899526
BERGERPBL,2025-06-03,1740.1,1731.3,1744.0,1729.0,3412,5.91,239,-0.7,80683.598,2025-06-03 10:55:55.742,0,1790.8142256141145,1760.211111111111,1729.6079966081074
BERGERPBL,2025-06-04,1731.0,1732.3,1740.0,1729.0,1448,2.506,139,8.7,80294.024,2025-06-04 10:56:23.906,0,1790.7711225191308,1758.0888888888887,1725.4066552586467
