symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BGIC,2025-05-13,33.0,34.3,34.8,32.9,217498,7.382,288,1.1,1793705000.0,2025-05-13 16:31:11.762,0,34.3,34.3,34.3
BGIC,2025-05-14,34.1,34.7,34.9,33.6,139623,4.834,296,0.4,1853135000.0,2025-05-14 11:49:17.834,0,34.900000000000006,34.5,34.099999999999994
BGIC,2025-05-15,35.8,35.2,36.6,34.6,464341,16.477,626,0.5,1874746000.0,2025-05-15 09:15:27.503,0,35.46969073447916,34.733333333333334,33.99697593218751
BGIC,2025-05-17,36.0,34.8,36.0,34.5,54012,1.889,163,-0.4,1901.759,2025-05-17 09:36:31.687,0,35.39031242374329,34.75,34.10968757625671
BGIC,2025-05-18,34.8,32.0,35.2,31.9,249236,8.279,473,-2.8,1880.148,2025-05-18 11:01:34.976,0,36.47332355814126,34.2,31.92667644185875
BGIC,2025-05-19,33.1,32.0,33.1,31.8,31563,1.022,99,,1728.872,2025-05-19 11:00:28.226,0,36.47824458998365,33.833333333333336,31.18842207668302
BGIC,2025-05-20,32.1,32.0,32.7,31.8,72203,2.325,142,,1728.872,2025-05-20 11:00:39.789,0,36.33592653301072,33.57142857142857,30.80693060984642
BGIC,2025-05-22,31.2,30.5,31.5,30.3,139725,4.268,378,-1.5,1728.872,2025-05-22 11:01:14.830,0,36.47602170435289,33.1875,29.89897829564711
BGIC,2025-05-24,31.0,29.9,31.0,29.5,52916,1.597,150,-0.6,1647.831,2025-05-24 11:25:24.752,0,36.54814078491284,32.82222222222222,29.096303659531603
BGIC,2025-05-25,29.4,29.0,30.1,28.8,61303,1.792,204,-0.9,1615.415,2025-05-25 11:25:07.049,0,36.65350210632439,32.44,28.226497893675607
BGIC,2025-05-26,29.8,28.4,29.8,28.1,38310,1.101,173,-0.5,1566.79,2025-05-26 11:01:21.819,0,36.71333139412896,32.07272727272727,27.432123151325584
BGIC,2025-05-27,28.2,28.0,29.2,27.9,18149,0.511,90,-0.4,1534.374,2025-05-27 11:00:13.128,0,36.7141855584941,31.733333333333334,26.752481108172567
BGIC,2025-05-28,28.4,27.1,28.4,27.0,23956,0.655,123,-0.9,1512.763,2025-05-28 11:25:27.214,0,36.76189009840847,31.376923076923074,25.99195605543768
BGIC,2025-05-29,27.4,27.1,27.8,26.9,22179,0.605,85,,1464.139,2025-05-29 11:25:20.638,0,36.70876764556051,31.071428571428573,25.434089497296632
BGIC,2025-06-01,29.7,27.7,29.7,27.5,50587,1.415,129,0.6,1464.139,2025-06-01 11:01:48.196,0,36.54666276802986,30.846666666666668,25.14667056530347
BGIC,2025-06-02,28.3,27.8,28.3,27.5,40990,1.139,139,0.5,1496.555,2025-06-02 11:00:45.082,0,36.36894146287458,30.65625,24.943558537125423
BGIC,2025-06-03,29.4,27.9,29.4,27.6,5368,0.15,37,0.1,1501.958,2025-06-03 11:00:52.337,0,36.18599858841021,30.49411764705882,24.802236705707436
BGIC,2025-06-04,28.6,28.0,28.6,27.1,20931,0.577,89,,1507.36,2025-06-04 11:01:15.533,0,36.003848207016105,30.355555555555554,24.707262904095
