symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BNICL,2025-05-13,40.0,39.3,40.5,39.1,58040,2.31,187,-0.6,1765575000.0,2025-05-13 16:30:47.824,0,39.3,39.3,39.3
BNICL,2025-05-14,39.6,39.5,39.8,38.9,26891,1.06,80,0.4,1739025000.0,2025-05-14 11:48:47.925,0,39.6,39.4,39.199999999999996
BNICL,2025-05-15,40.0,38.8,41.3,38.5,196670,7.857,457,-0.5,1747875000.0,2025-05-15 09:15:11.821,0,39.78878405775519,39.199999999999996,38.611215942244804
BNICL,2025-05-17,40.4,39.6,40.4,38.9,45330,1.796,134,0.8,1716.9,2025-05-17 09:33:48.291,0,39.9164414002969,39.3,38.6835585997031
BNICL,2025-05-18,40.8,40.0,40.8,39.8,141881,5.717,350,0.4,1752.3,2025-05-18 11:00:50.162,0,40.22587530817554,39.44,38.65412469182446
BNICL,2025-05-19,39.6,39.1,40.0,39.0,118426,4.671,324,-0.9,1770.0,2025-05-19 11:00:00.896,0,40.14418081403422,39.38333333333333,38.622485852632444
BNICL,2025-05-21,37.8,37.1,38.5,37.0,252325,9.404,475,-2.0,1730.175,2025-05-21 11:22:30.974,0,40.80350934742127,39.05714285714286,37.310776366864445
BNICL,2025-05-22,37.5,36.6,37.5,36.4,19936,0.734,81,-0.3,1641.675,2025-05-22 11:00:46.550,0,41.05434372436058,38.75,36.44565627563942
BNICL,2025-05-24,37.0,36.2,37.0,36.1,22402,0.817,79,-0.4,1619.55,2025-05-24 11:21:43.752,0,41.16646089750888,38.46666666666667,35.76687243582446
BNICL,2025-05-25,36.2,35.4,36.4,35.4,21319,0.764,108,-0.8,1601.85,2025-05-25 11:21:54.259,0,41.31366453510833,38.160000000000004,35.00633546489168
BNICL,2025-05-26,35.8,35.9,36.0,35.6,25317,0.907,84,0.5,1566.45,2025-05-26 11:00:47.787,0,41.230200710425095,37.95454545454545,34.67889019866581
BNICL,2025-05-27,35.9,35.2,35.9,35.0,27169,0.958,94,-0.8,1588.575,2025-05-27 10:59:41.629,0,41.21128264296897,37.725,34.238717357031035
BNICL,2025-05-28,35.2,34.4,35.8,34.0,20308,0.698,113,-0.8,1557.6,2025-05-28 11:22:09.002,0,41.258596143647495,37.46923076923077,33.679865394814044
BNICL,2025-05-29,34.2,34.7,35.0,34.0,15163,0.525,69,0.3,1522.2,2025-05-29 11:21:48.593,0,41.19165347126609,37.271428571428565,33.35120367159104
BNICL,2025-06-01,35.3,35.3,35.5,34.7,11372,0.4,94,0.6,1535.475,2025-06-01 11:01:07.547,0,41.05291877418039,37.14,33.22708122581961
BNICL,2025-06-03,35.4,35.5,35.5,35.3,8347,0.295,68,0.2,1562.025,2025-06-03 11:00:17.614,0,40.90846564180051,37.0375,33.16653435819949
BNICL,2025-06-04,34.1,35.5,35.5,34.1,17281,0.608,74,,1570.875,2025-06-04 11:00:43.887,0,40.77151120081942,36.94705882352941,33.1226064462394
