symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BRACBANK,2025-05-13,52.0,52.0,52.3,51.7,2174025,113.195,515,0.1,91848061000.0,2025-05-13 16:29:46.906,0,52.0,52.0,52.0
BRACBANK,2025-05-14,52.0,52.0,52.2,51.8,1934000,100.529,407,,92025032000.0,2025-05-14 11:47:47.105,0,52.0,52.0,52.0
BRACBANK,2025-05-15,51.7,52.0,52.0,51.7,1173752,60.989,316,,92025032000.0,2025-05-15 09:13:56.725,0,52.0,52.0,52.0
BRACBANK,2025-05-17,52.0,52.3,52.3,51.9,2533025,132.201,433,0.3,92025.032,2025-05-17 09:26:54.643,0,52.33480762113533,52.075,51.81519237886467
BRACBANK,2025-05-18,52.2,52.4,52.5,52.1,697217,36.474,287,0.1,92555.945,2025-05-18 10:59:19.054,0,52.48871191548325,52.14,51.79128808451675
BRACBANK,2025-05-19,52.4,52.2,52.4,52.1,1134142,59.214,369,-0.2,92732.917,2025-05-19 10:58:57.414,0,52.471455025366424,52.15,51.82854497463357
BRACBANK,2025-05-20,52.2,52.9,53.3,51.9,1641373,86.258,680,0.7,92378.974,2025-05-20 10:58:47.084,0,52.86053463091265,52.25714285714286,51.653751083373066
BRACBANK,2025-05-21,53.0,53.7,53.9,53.0,3483944,187.342,1025,0.8,93617.773,2025-05-21 11:14:01.456,0,53.54627184307684,52.4375,51.32872815692316
BRACBANK,2025-05-22,53.8,52.8,53.9,52.3,880867,46.587,735,-0.9,95033.542,2025-05-22 10:59:05.030,0,53.547680277085405,52.47777777777778,51.40787527847016
BRACBANK,2025-05-24,52.8,51.9,52.8,51.7,1726223,89.944,936,-0.9,93440.801,2025-05-24 11:14:03.127,0,53.492567014223354,52.42,51.34743298577665
BRACBANK,2025-05-26,46.8,46.8,47.3,45.3,1891134,88.384,1292,-5.1,103329.068,2025-05-26 10:59:50.716,0,55.298330078692295,51.90909090909091,48.51985173948952
BRACBANK,2025-05-27,46.8,45.9,47.1,45.6,2378498,110.259,982,-0.9,93175.345,2025-05-27 10:58:38.697,0,56.05193705841104,51.40833333333333,46.76472960825562
BRACBANK,2025-05-28,45.8,45.9,46.1,45.2,1532375,70.0,731,,91383.511,2025-05-28 11:15:22.962,0,56.3252267894561,50.98461538461538,45.64400397977466
BRACBANK,2025-05-29,45.3,46.0,46.1,45.1,1128979,51.823,565,0.1,91383.511,2025-05-29 11:15:24.552,0,56.37980909483749,50.628571428571426,44.87733376230536
BRACBANK,2025-06-01,46.0,47.0,47.2,45.8,1257312,58.71,693,1.0,91582.604,2025-06-01 10:59:40.443,0,56.2303489152341,50.38666666666666,44.54298441809922
BRACBANK,2025-06-02,47.0,47.9,48.4,47.0,6490113,310.681,1392,0.9,93573.53,2025-06-02 10:59:13.034,0,56.0160225754778,50.23125,44.44647742452221
BRACBANK,2025-06-03,47.2,48.3,48.5,47.2,3769169,181.155,850,0.4,95365.363,2025-06-03 10:59:06.492,0,55.802812603153434,50.11764705882353,44.432481514493624
BRACBANK,2025-06-04,48.2,49.0,49.2,48.2,4558172,222.892,1203,0.7,96161.734,2025-06-04 10:59:32.038,0,55.60421794580671,50.05555555555556,44.506893165304405
