symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BSC,2025-05-13,92.4,90.0,92.4,89.4,550114,49.853,1673,-1.7,13987463000.0,2025-05-13 16:28:53.846,0,90.0,90.0,90.0
BSC,2025-05-14,90.7,90.1,91.5,89.4,592446,53.586,1657,0.1,13728154000.0,2025-05-14 11:47:03.578,0,90.14999999999999,90.05,89.95
BSC,2025-05-15,90.2,87.7,90.6,87.3,494777,43.732,1819,-2.4,13743407000.0,2025-05-15 09:13:04.086,0,91.48377188644211,89.26666666666667,87.04956144689122
BSC,2025-05-17,88.0,90.1,90.5,86.6,502576,44.676,1747,2.4,13377.323,2025-05-17 09:21:00.051,0,91.52621914967659,89.475,87.4237808503234
BSC,2025-05-18,90.7,89.3,91.2,88.1,687927,61.6,1768,-0.8,13743.407,2025-05-18 10:58:11.814,0,91.27999999999999,89.44,87.60000000000001
BSC,2025-05-19,89.5,89.2,90.8,88.2,438348,39.15,1459,-0.1,13621.379,2025-05-19 10:57:55.280,0,91.08918126124264,89.39999999999999,87.71081873875734
BSC,2025-05-20,89.6,89.2,89.9,88.3,526233,46.89,1242,,13606.126,2025-05-20 10:57:36.569,0,90.94155790446105,89.37142857142858,87.80129923839611
BSC,2025-05-21,90.5,90.2,91.8,89.7,1146112,103.655,2471,1.0,13606.126,2025-05-21 11:07:32.577,0,91.04264154065908,89.475,87.90735845934091
BSC,2025-05-22,90.7,89.3,90.8,89.1,669002,60.134,1669,-0.9,13758.661,2025-05-22 10:57:53.267,0,90.9376295111585,89.45555555555556,87.97348159995262
BSC,2025-05-24,89.2,87.4,89.6,87.0,518179,45.593,1770,-1.9,13621.379,2025-05-24 11:07:31.992,0,91.12029409452096,89.25,87.37970590547904
BSC,2025-05-25,87.4,87.5,88.7,87.3,402133,35.32,1377,0.1,13331.562,2025-05-25 11:07:47.405,0,91.13844338713342,89.0909090909091,87.04337479468477
BSC,2025-05-26,88.0,86.1,88.4,85.8,447585,38.82,1447,-1.4,13346.816,2025-05-26 10:58:27.688,0,91.40611375890484,88.84166666666665,86.27721957442847
BSC,2025-05-27,86.2,86.3,86.7,86.0,284973,24.593,1056,0.2,13133.267,2025-05-27 10:57:29.344,0,91.45779490499956,88.64615384615385,85.83451278730814
BSC,2025-05-28,86.9,85.6,86.9,85.0,238148,20.393,954,-0.7,13163.774,2025-05-28 11:06:45.847,0,91.55945772155492,88.42857142857143,85.29768513558794
BSC,2025-05-29,86.5,86.6,86.9,85.2,364367,31.442,1013,1.0,13056.999,2025-05-29 11:06:48.545,0,91.4659633535189,88.30666666666666,85.14736997981441
BSC,2025-06-01,87.5,87.2,89.0,86.2,1182329,103.04,1169,0.6,13209.534,2025-06-01 10:58:11.358,0,91.34303940564277,88.2375,85.13196059435722
BSC,2025-06-02,88.9,88.5,89.7,87.7,621088,55.137,1623,1.3,13301.055,2025-06-02 10:57:48.276,0,91.26828831056649,88.25294117647059,85.23759404237468
BSC,2025-06-03,88.0,87.6,88.8,87.2,347787,30.538,942,-0.9,13499.351,2025-06-03 10:57:45.310,0,91.16228488134873,88.21666666666667,85.27104845198461
BSC,2025-06-04,88.0,88.6,88.7,87.3,312933,27.554,865,1.0,13362.07,2025-06-04 10:58:21.431,0,90.96349418197471,88.13888888888889,85.31428359580306
