symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
BXPHARMA,2025-05-13,91.8,86.6,91.8,85.8,295380,26.105,1191,-3.9,40373144000.0,2025-05-13 16:29:04.757,0,86.6,86.6,86.6
BXPHARMA,2025-05-14,86.5,86.6,87.5,84.8,378062,32.592,1004,0.9,38633307000.0,2025-05-14 11:47:06.741,0,86.6,86.6,86.6
BXPHARMA,2025-05-15,86.6,85.7,87.8,85.5,157032,13.545,647,-0.9,38633307000.0,2025-05-15 09:13:09.452,0,87.14852813742385,86.3,85.45147186257614
BXPHARMA,2025-05-17,86.5,88.9,89.6,85.0,271934,23.798,964,3.2,38231.806,2025-05-17 09:21:22.144,0,89.31854385646541,86.95,84.5814561435346
BXPHARMA,2025-05-18,88.9,88.2,91.5,87.5,323250,29.054,909,-0.7,39659.365,2025-05-18 10:58:15.323,0,89.54264807429541,87.2,84.85735192570459
BXPHARMA,2025-05-19,88.3,87.8,89.4,87.5,185090,16.311,608,-0.4,39347.086,2025-05-19 10:57:59.970,0,89.48479594775652,87.3,85.11520405224347
BXPHARMA,2025-05-20,88.8,88.7,89.1,87.5,328283,28.977,735,0.9,39168.641,2025-05-20 10:57:42.027,0,89.74753833591967,87.5,85.25246166408033
BXPHARMA,2025-05-21,88.5,88.8,90.1,88.0,379731,33.949,975,0.1,39570.142,2025-05-21 11:08:20.724,0,89.93392576369997,87.6625,85.39107423630001
BXPHARMA,2025-05-22,89.0,89.0,90.2,88.7,317268,28.45,738,0.2,39614.754,2025-05-22 10:57:54.592,0,90.11172831224928,87.8111111111111,85.51049390997292
BXPHARMA,2025-05-24,87.7,87.3,89.5,86.7,229809,20.259,875,-1.7,39703.976,2025-05-24 11:07:54.478,0,89.96399637023295,87.76,85.55600362976706
BXPHARMA,2025-05-25,88.0,85.1,88.0,84.6,393276,33.79,1237,-2.2,38945.585,2025-05-25 11:08:12.413,0,90.11722805138238,87.51818181818182,84.91913558498125
BXPHARMA,2025-05-26,85.9,85.3,87.0,84.8,274852,23.664,843,0.5,37964.139,2025-05-26 10:58:30.357,0,90.10741976954175,87.33333333333333,84.55924689712491
BXPHARMA,2025-05-27,86.0,84.4,86.5,84.1,245184,20.879,731,-0.9,38053.361,2025-05-27 10:57:31.672,0,90.19758803753528,87.10769230769232,84.01779657784935
BXPHARMA,2025-05-28,85.0,83.9,85.4,83.3,135858,11.449,472,-0.5,37651.86,2025-05-28 11:07:09.703,0,90.28375954708248,86.87857142857142,83.47338331006036
BXPHARMA,2025-05-29,84.0,84.6,85.6,83.2,120279,10.178,561,0.7,37428.804,2025-05-29 11:07:38.250,0,90.20725410112207,86.72666666666667,83.24607923221127
BXPHARMA,2025-06-01,84.3,85.5,86.3,84.3,107324,9.186,510,0.9,37741.083,2025-06-01 10:58:14.907,0,90.07198772645374,86.65,83.22801227354627
BXPHARMA,2025-06-02,85.6,86.9,87.3,85.1,350343,30.286,695,1.4,38142.584,2025-06-02 10:57:51.733,0,89.98660553481658,86.66470588235293,83.34280622988929
BXPHARMA,2025-06-03,86.9,85.8,87.8,85.4,179152,15.511,647,-1.1,38767.141,2025-06-03 10:57:49.672,0,89.8691870569008,86.61666666666666,83.36414627643252
BXPHARMA,2025-06-04,86.2,87.4,87.7,85.8,175096,15.236,536,1.6,38276.417,2025-06-04 10:58:22.630,0,89.93330975279184,86.66111111111111,83.38891246943038
