symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
CAPITECGBF,2025-05-13,8.0,7.6,8.0,7.6,1412532,10.999,376,-0.3,1229872000.0,2025-05-13 16:36:32.165,0,7.6,7.6,7.6
CAPITECGBF,2025-05-14,7.6,7.5,7.7,7.4,1134514,8.56,300,-0.1,1183168000.0,2025-05-14 11:55:06.221,0,7.6499999999999995,7.55,7.45
CAPITECGBF,2025-05-15,7.7,7.3,7.9,7.2,763517,5.636,261,-0.2,1167600000.0,2025-05-15 09:21:18.958,0,7.7161104924515955,7.466666666666666,7.217222840881736
CAPITECGBF,2025-05-18,7.5,7.3,7.5,7.2,1019138,7.507,265,,1136.464,2025-05-18 11:07:39.552,0,7.684807621135332,7.425,7.165192378864668
CAPITECGBF,2025-05-19,7.5,7.2,7.5,7.1,1056002,7.589,300,-0.1,1136.464,2025-05-19 11:06:11.313,0,7.673938769133981,7.38,7.086061230866019
CAPITECGBF,2025-05-20,7.2,7.2,7.3,7.1,497563,3.564,151,,1120.896,2025-05-20 11:07:02.048,0,7.65,7.3500000000000005,7.050000000000001
CAPITECGBF,2025-05-21,7.4,7.3,7.5,7.2,1231182,9.065,299,0.1,1120.896,2025-05-21 12:00:03.939,0,7.6227988277466485,7.3428571428571425,7.0629154579676365
CAPITECGBF,2025-05-22,7.3,7.1,7.3,7.0,1445329,10.292,281,-0.2,1136.464,2025-05-22 11:09:48.720,0,7.6197051431861125,7.3125,7.0052948568138875
CAPITECGBF,2025-05-24,7.1,7.1,7.2,7.1,401283,2.852,129,,1105.328,2025-05-24 12:00:05.980,0,7.607837779875718,7.288888888888888,6.969939997902058
CAPITECGBF,2025-05-25,7.1,7.1,7.2,7.1,1161325,8.248,262,,1105.328,2025-05-25 11:58:51.117,0,7.593109888428071,7.2700000000000005,6.94689011157193
CAPITECGBF,2025-05-26,7.2,7.1,7.2,7.1,596231,4.245,147,,1105.328,2025-05-26 11:06:48.615,0,7.577752524266021,7.254545454545454,6.931338384824887
CAPITECGBF,2025-05-27,7.2,7.1,7.3,7.1,923301,6.595,205,,1105.328,2025-05-27 11:05:16.680,0,7.56268933807097,7.241666666666666,6.920643995262362
CAPITECGBF,2025-05-28,7.2,6.9,7.2,6.8,1759963,12.277,350,-0.2,1105.328,2025-05-28 11:57:34.122,0,7.573552206979164,7.2153846153846155,6.857217023790067
CAPITECGBF,2025-05-29,6.9,6.9,7.0,6.8,836332,5.757,302,,1074.192,2025-05-29 11:57:08.930,0,7.574315140651962,7.192857142857143,6.811399145062324
CAPITECGBF,2025-06-01,6.9,6.9,7.0,6.8,355489,2.453,151,,1074.192,2025-06-01 11:07:59.626,0,7.5697618332618255,7.173333333333333,6.77690483340484
CAPITECGBF,2025-06-02,7.0,6.9,7.0,6.8,380012,2.623,155,,1074.192,2025-06-02 11:06:26.282,0,7.562259544222792,7.15625,6.750240455777208
CAPITECGBF,2025-06-03,6.9,6.9,7.0,6.8,408498,2.81,108,,1074.192,2025-06-03 11:06:47.244,0,7.553109209412037,7.141176470588236,6.729243731764434
CAPITECGBF,2025-06-04,6.9,6.9,7.0,6.8,274571,1.895,108,,1074.192,2025-06-04 11:07:08.788,0,7.543071813134016,7.127777777777778,6.71248374242154
