symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
CAPMBDBLMF,2025-05-13,9.9,9.9,10.1,9.7,737100,7.258,363,,496297000.0,2025-05-13 16:35:46.961,0,9.9,9.9,9.9
CAPMBDBLMF,2025-05-14,9.5,9.9,9.9,9.5,582680,5.725,271,,496297000.0,2025-05-14 11:54:00.351,0,9.9,9.9,9.9
CAPMBDBLMF,2025-05-15,9.7,9.7,9.9,9.5,1035797,9.923,140,-0.2,496297000.0,2025-05-15 09:20:25.592,0,10.021895141649749,9.833333333333334,9.64477152501692
CAPMBDBLMF,2025-05-17,9.5,9.7,9.8,9.4,267962,2.583,162,,486.271,2025-05-17 10:07:32.029,0,10.000000000000002,9.8,9.6
CAPMBDBLMF,2025-05-18,9.7,9.5,9.8,9.3,686778,6.512,157,-0.2,486.271,2025-05-18 11:06:57.421,0,10.039332590941918,9.74,9.440667409058083
CAPMBDBLMF,2025-05-19,9.2,8.8,9.5,8.7,806716,7.189,136,-0.7,476.245,2025-05-19 11:05:40.712,0,10.335367611511899,9.583333333333334,8.83129905515477
CAPMBDBLMF,2025-05-20,8.7,9.0,9.1,8.7,504836,4.516,166,0.2,441.153,2025-05-20 11:06:23.646,0,10.307111250961459,9.5,8.692888749038541
CAPMBDBLMF,2025-05-21,8.7,9.3,9.3,8.7,514001,4.724,142,0.3,451.179,2025-05-21 11:55:38.737,0,10.241485485837794,9.475,8.708514514162205
CAPMBDBLMF,2025-05-22,9.0,9.4,9.5,9.0,257398,2.395,148,0.1,466.218,2025-05-22 11:08:43.237,0,10.190852032746681,9.466666666666667,8.742481300586652
CAPMBDBLMF,2025-05-24,9.4,9.4,9.5,9.1,287768,2.673,143,,471.231,2025-05-24 11:55:40.824,0,10.14818602136341,9.459999999999999,8.771813978636589
CAPMBDBLMF,2025-05-25,9.0,9.6,9.6,9.0,780297,7.321,147,0.2,471.231,2025-05-25 11:53:49.544,0,10.13380578046174,9.472727272727273,8.811648764992805
CAPMBDBLMF,2025-05-26,9.4,9.5,9.6,9.3,182998,1.733,61,-0.1,481.258,2025-05-26 11:06:03.708,0,10.108113997107418,9.475,8.841886002892581
CAPMBDBLMF,2025-05-27,9.3,9.5,9.6,9.3,394734,3.731,93,,476.245,2025-05-27 11:04:33.290,0,10.085345228716468,9.476923076923077,8.868500925129686
CAPMBDBLMF,2025-05-28,9.3,9.4,9.5,9.2,230749,2.159,102,-0.1,476.245,2025-05-28 11:53:12.143,0,10.059056108605803,9.471428571428572,8.88380103425134
CAPMBDBLMF,2025-05-29,9.3,9.1,9.4,8.8,180956,1.658,47,-0.3,471.231,2025-05-29 11:53:28.126,0,10.043845218041564,9.446666666666665,8.849488115291766
CAPMBDBLMF,2025-06-01,9.2,9.4,9.4,9.2,128479,1.198,125,0.3,456.192,2025-06-01 11:07:13.718,0,10.022406849955136,9.44375,8.865093150044864
CAPMBDBLMF,2025-06-02,9.3,9.4,9.5,9.1,193313,1.796,72,,471.231,2025-06-02 11:05:44.189,0,10.00293347700298,9.441176470588236,8.879419464173491
CAPMBDBLMF,2025-06-03,9.4,9.5,9.5,9.3,105024,0.991,38,0.1,471.231,2025-06-03 11:05:53.261,0,9.991038838944393,9.444444444444445,8.897850049944497
CAPMBDBLMF,2025-06-04,9.3,9.5,9.5,9.1,306174,2.862,70,,476.245,2025-06-04 11:06:24.423,0,9.923578407674599,9.422222222222222,8.920866036769846
