symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
CENTRALINS,2025-05-13,29.0,29.0,29.4,28.6,59360,1.724,117,-0.3,1535885000.0,2025-05-13 16:31:40.463,0,29.0,29.0,29.0
CENTRALINS,2025-05-14,27.0,28.5,29.6,27.0,90102,2.616,210,-0.4,1541200000.0,2025-05-14 11:49:41.610,0,29.25,28.75,28.25
CENTRALINS,2025-05-15,27.2,28.0,29.4,27.2,47179,1.325,100,-0.5,1514627000.0,2025-05-15 09:15:58.890,0,29.316496580927726,28.5,27.683503419072274
CENTRALINS,2025-05-17,25.9,28.2,29.3,25.9,29869,0.838,82,0.2,1488.055,2025-05-17 09:39:38.505,0,29.17832595866597,28.425,27.671674041334033
CENTRALINS,2025-05-18,27.1,28.9,29.9,27.1,65774,1.914,225,0.7,1498.684,2025-05-18 11:01:53.713,0,29.293563184232546,28.52,27.746436815767453
CENTRALINS,2025-05-19,29.8,27.6,29.8,27.2,105733,2.931,142,-1.0,1535.885,2025-05-19 11:00:52.724,0,29.350988204015557,28.366666666666664,27.38234512931777
CENTRALINS,2025-05-20,26.6,28.0,28.3,26.6,20347,0.568,85,0.4,1466.797,2025-05-20 11:00:56.326,0,29.261030944330333,28.314285714285713,27.367540484241093
CENTRALINS,2025-05-21,28.4,27.6,28.4,27.5,52863,1.465,100,-0.4,1488.055,2025-05-21 11:27:02.328,0,29.228742994994235,28.225,27.221257005005768
CENTRALINS,2025-05-22,26.8,27.8,28.5,26.8,38821,1.079,92,0.2,1466.797,2025-05-22 11:01:23.491,0,29.161095417326113,28.177777777777777,27.19446013822944
CENTRALINS,2025-05-24,26.3,27.4,28.2,26.3,60527,1.666,132,-0.4,1477.426,2025-05-24 11:26:10.342,0,29.143072384832422,28.1,27.05692761516758
CENTRALINS,2025-05-26,26.1,26.8,27.0,26.1,76645,2.051,94,-0.6,1456.168,2025-05-26 11:01:28.899,0,29.225911665058618,27.981818181818184,26.73772469857775
CENTRALINS,2025-05-27,28.3,25.9,28.3,25.6,151843,3.969,212,-0.8,1424.281,2025-05-27 11:00:25.442,0,29.464550576195983,27.808333333333334,26.152116090470685
CENTRALINS,2025-05-28,27.3,25.2,27.4,24.8,75232,1.967,110,-0.7,1376.451,2025-05-28 11:27:25.907,0,29.72059994841512,27.607692307692307,25.494784666969494
CENTRALINS,2025-05-29,27.0,24.8,27.0,24.7,151906,3.799,218,-0.4,1339.25,2025-05-29 11:28:02.899,0,29.90452924605231,27.407142857142855,24.9097564682334
CENTRALINS,2025-06-01,27.0,24.9,27.0,24.6,117208,2.924,224,0.1,1317.992,2025-06-01 11:02:26.985,0,29.95764604023409,27.240000000000002,24.522353959765915
CENTRALINS,2025-06-02,26.7,25.1,26.7,25.0,117333,2.946,217,0.4,1323.306,2025-06-02 11:01:10.689,0,29.93420752266543,27.10625,24.278292477334567
CENTRALINS,2025-06-03,27.0,24.6,27.0,24.5,103553,2.571,160,-0.5,1333.935,2025-06-03 11:01:22.188,0,29.94511284483861,26.958823529411767,23.972534213984922
CENTRALINS,2025-06-04,26.5,24.9,26.5,24.3,49193,1.226,86,0.3,1307.363,2025-06-04 11:01:42.936,0,29.896017606836608,26.844444444444445,23.792871282052282
