symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
CENTRALPHL,2025-05-13,10.7,10.2,10.8,10.1,557142,5.78,384,-0.5,1281869000.0,2025-05-13 16:35:39.770,0,10.2,10.2,10.2
CENTRALPHL,2025-05-15,9.9,9.9,10.3,9.8,344603,3.403,288,,1186028000.0,2025-05-15 09:20:16.931,0,10.350000000000001,10.05,9.75
CENTRALPHL,2025-05-17,10.0,10.1,10.2,9.8,330296,3.319,213,0.2,1186.028,2025-05-17 10:06:21.314,0,10.316110492451596,10.066666666666666,9.817222840881737
CENTRALPHL,2025-05-18,10.2,10.0,10.3,10.0,337941,3.417,210,-0.1,1209.989,2025-05-18 11:06:39.857,0,10.273606797749979,10.05,9.826393202250022
CENTRALPHL,2025-05-19,10.1,9.9,10.2,9.9,292475,2.919,176,-0.1,1198.008,2025-05-19 11:05:15.574,0,10.253238075793812,10.02,9.786761924206187
CENTRALPHL,2025-05-20,10.0,10.1,10.2,9.9,336199,3.383,189,0.2,1186.028,2025-05-20 11:05:47.605,0,10.25444165269036,10.033333333333333,9.812225013976306
CENTRALPHL,2025-05-21,10.2,10.1,10.3,10.1,394738,4.028,258,,1209.989,2025-05-21 11:53:42.294,0,10.252813406524272,10.042857142857143,9.832900879190014
CENTRALPHL,2025-05-22,10.1,10.1,10.3,10.0,513962,5.229,216,,1209.989,2025-05-22 11:08:30.786,0,10.25,10.05,9.850000000000001
CENTRALPHL,2025-05-24,10.1,10.1,10.2,10.0,544309,5.494,250,,1209.989,2025-05-24 11:54:07.685,0,10.246718339267613,10.055555555555555,9.864392771843498
CENTRALPHL,2025-05-25,10.2,10.0,10.2,10.0,269544,2.704,145,-0.1,1209.989,2025-05-25 11:53:02.600,0,10.234390889145859,10.05,9.865609110854143
CENTRALPHL,2025-05-26,10.1,10.1,10.3,10.0,517120,5.257,251,0.1,1198.008,2025-05-26 11:05:52.154,0,10.232690163111503,10.054545454545455,9.876400745979407
CENTRALPHL,2025-05-27,10.2,9.9,10.2,9.8,618836,6.164,311,-0.2,1209.989,2025-05-27 11:04:21.963,0,10.232425385704325,10.041666666666666,9.850907947629008
CENTRALPHL,2025-05-28,10.4,10.3,10.8,10.2,2141341,22.641,911,0.4,1186.028,2025-05-28 11:50:54.242,0,10.290764068088484,10.061538461538463,9.832312854988443
CENTRALPHL,2025-05-29,10.3,10.2,10.6,10.1,641285,6.584,329,-0.1,1233.949,2025-05-29 11:51:10.864,0,10.30354395441817,10.071428571428571,9.839313188438972
CENTRALPHL,2025-06-01,10.3,10.2,10.3,10.0,295185,2.998,170,,1221.969,2025-06-01 11:06:55.624,0,10.313238075793812,10.08,9.846761924206188
CENTRALPHL,2025-06-02,10.3,10.2,10.4,10.1,267035,2.733,144,,1221.969,2025-06-02 11:05:32.290,0,10.32068447632722,10.0875,9.854315523672781
CENTRALPHL,2025-06-03,10.3,10.1,10.3,10.0,426036,4.306,200,-0.1,1221.969,2025-06-03 11:05:37.266,0,10.314533930137308,10.088235294117647,9.861936658097985
CENTRALPHL,2025-06-04,10.1,10.2,10.2,10.0,301335,3.049,124,0.1,1209.989,2025-06-04 11:05:58.941,0,10.320248904810017,10.094444444444443,9.86863998407887
