symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
CITYBANK,2025-05-13,22.9,22.7,22.9,22.7,4333730,98.846,650,-0.3,31100540000.0,2025-05-13 16:32:38.702,0,22.7,22.7,22.7
CITYBANK,2025-05-14,22.7,22.9,22.9,22.7,3179846,72.563,409,0.2,30694881000.0,2025-05-14 11:50:49.517,0,23.0,22.799999999999997,22.599999999999994
CITYBANK,2025-05-15,23.0,22.9,23.0,22.8,2071933,47.449,490,,30965320000.0,2025-05-15 09:16:52.696,0,23.021895141649747,22.833333333333332,22.644771525016917
CITYBANK,2025-05-17,22.9,23.0,23.0,22.8,4207937,96.755,341,0.1,30965.32,2025-05-17 09:46:00.214,0,23.092944947177035,22.875,22.657055052822965
CITYBANK,2025-05-18,23.0,23.0,23.0,22.9,6054203,138.999,527,,31100.54,2025-05-18 11:02:55.549,0,23.119089023002065,22.9,22.680910976997932
CITYBANK,2025-05-19,23.0,23.0,23.1,22.9,3636952,83.604,457,,31100.54,2025-05-19 11:01:42.256,0,23.130104141247763,22.916666666666668,22.703229192085573
CITYBANK,2025-05-20,23.0,23.0,23.1,22.9,2821716,64.928,429,0.1,31100.54,2025-05-20 11:02:02.744,0,23.134602930026514,22.928571428571427,22.72253992711634
CITYBANK,2025-05-21,23.0,22.8,23.1,22.7,3808392,87.354,814,-0.2,31100.54,2025-05-21 11:33:15.912,0,23.12315374432941,22.9125,22.701846255670592
CITYBANK,2025-05-24,20.0,19.0,20.0,18.9,2940931,56.103,1166,-3.8,34683.863,2025-05-24 11:39:13.138,0,24.944944894178064,22.477777777777778,20.01061066137749
CITYBANK,2025-05-25,19.0,18.9,19.1,18.8,1696263,32.06,519,-0.1,28903.219,2025-05-25 11:38:34.626,0,25.295909318604668,22.119999999999997,18.944090681395327
CITYBANK,2025-05-26,18.9,18.6,18.9,18.6,1448671,27.156,695,-0.3,28751.097,2025-05-26 11:03:43.351,0,25.442177171068774,21.8,18.157822828931227
CITYBANK,2025-05-27,18.8,18.5,18.8,18.4,1264776,23.436,548,-0.1,28294.73,2025-05-27 11:02:16.973,0,25.460416115228476,21.525000000000002,17.58958388477153
CITYBANK,2025-05-28,18.5,18.3,18.6,18.2,558212,10.242,500,-0.2,28142.608,2025-05-28 11:37:55.902,0,25.430256378596916,21.27692307692308,17.123589775249243
CITYBANK,2025-05-29,18.1,18.0,18.5,17.9,1919100,34.653,916,-0.3,27838.364,2025-05-29 11:37:48.069,0,25.38646610033826,21.042857142857144,16.699248185376028
CITYBANK,2025-06-01,18.0,18.3,18.5,18.0,1991126,36.053,660,0.3,27381.997,2025-06-01 11:04:27.919,0,25.27379655172279,20.86,16.44620344827721
CITYBANK,2025-06-02,18.6,19.0,19.1,18.4,2829674,53.285,758,0.7,27838.364,2025-06-02 11:03:05.186,0,25.11122567251381,20.74375,16.376274327486186
CITYBANK,2025-06-03,18.8,18.9,19.2,18.8,1861827,35.341,451,-0.1,28903.219,2025-06-03 11:02:54.019,0,24.960291867511465,20.63529411764706,16.310296367782655
CITYBANK,2025-06-04,18.8,19.0,19.1,18.8,1659214,31.502,373,0.1,28751.097,2025-06-04 11:03:27.389,0,24.81383015212976,20.544444444444444,16.275058736759128
