symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
CITYGENINS,2025-05-13,31.0,33.3,33.8,31.0,480975,15.813,848,2.3,2113150000.0,2025-05-13 16:31:17.422,0,33.3,33.3,33.3
CITYGENINS,2025-05-14,33.9,36.6,36.6,33.5,880863,31.681,836,3.3,2269932000.0,2025-05-14 11:49:07.269,0,38.25,34.95,31.650000000000002
CITYGENINS,2025-05-15,37.8,39.3,39.6,36.1,1696192,65.492,1613,2.7,2494880000.0,2025-05-15 09:15:10.464,0,41.30713765855411,36.4,31.492862341445882
CITYGENINS,2025-05-17,39.8,39.2,39.8,37.8,435707,16.988,775,-0.1,2678.929,2025-05-17 09:34:13.532,0,41.99285192909003,37.1,32.20714807090997
CITYGENINS,2025-05-18,39.8,42.3,43.1,38.6,1357809,57.54,1394,3.1,2672.112,2025-05-18 11:00:33.227,0,44.17801291817101,38.14,32.101987081828995
CITYGENINS,2025-05-19,42.0,41.0,42.3,40.6,471565,19.492,808,-1.3,2883.427,2025-05-19 10:59:48.597,0,44.52645139671864,38.61666666666667,32.70688193661469
CITYGENINS,2025-05-20,41.0,41.0,42.5,40.5,550023,22.592,938,,2794.811,2025-05-20 10:59:43.832,0,44.67714000285358,38.957142857142856,33.237145711432134
CITYGENINS,2025-05-21,39.8,40.9,42.0,39.8,592771,24.306,854,-0.1,2794.811,2025-05-21 11:20:33.808,0,44.702726596879046,39.2,33.69727340312096
CITYGENINS,2025-05-22,41.1,41.0,41.5,40.7,463306,18.984,740,0.1,2787.994,2025-05-22 11:00:28.033,0,44.709948733797304,39.400000000000006,34.09005126620271
CITYGENINS,2025-05-24,41.3,40.1,41.3,39.9,378623,15.231,430,-0.9,2794.811,2025-05-24 11:20:07.860,0,44.524938179641765,39.47,34.41506182035823
CITYGENINS,2025-05-25,40.1,39.4,40.1,39.2,393288,15.538,410,-0.7,2733.461,2025-05-25 11:19:54.153,0,44.28349884924374,39.46363636363637,34.643773878028995
CITYGENINS,2025-05-26,39.0,39.1,40.3,38.9,193923,7.676,313,-0.3,2685.745,2025-05-26 11:00:33.439,0,44.05237604319817,39.43333333333333,34.81429062346849
CITYGENINS,2025-05-27,39.3,39.5,39.8,39.2,87560,3.452,212,0.4,2665.295,2025-05-27 10:59:14.394,0,43.87643644845992,39.43846153846154,35.00048662846316
CITYGENINS,2025-05-28,39.6,40.4,41.0,39.3,364642,14.584,750,0.9,2692.562,2025-05-28 11:18:42.139,0,43.81226557695621,39.50714285714286,35.20202013732951
CITYGENINS,2025-05-29,40.6,40.2,40.7,39.8,104920,4.211,202,-0.2,2753.911,2025-05-29 11:18:36.609,0,43.726815758785186,39.55333333333333,35.37985090788147
CITYGENINS,2025-06-02,40.0,40.1,41.3,39.9,109741,4.405,187,0.3,2713.012,2025-06-02 10:59:47.164,0,43.637114179153365,39.5875,35.53788582084663
CITYGENINS,2025-06-03,40.5,41.4,41.7,40.2,306042,12.564,513,1.3,2733.461,2025-06-03 10:59:52.170,0,43.71434332889211,39.69411764705882,35.67389196522552
CITYGENINS,2025-06-04,42.2,41.1,42.2,41.0,163009,6.706,303,-0.3,2822.077,2025-06-04 11:00:15.840,0,43.73191107394645,39.77222222222222,35.81253337049799
