symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
CLICL,2025-05-13,48.5,48.0,50.5,47.7,51773,2.51,209,-0.5,1818750000.0,2025-05-13 16:30:15.144,0,48.0,48.0,48.0
CLICL,2025-05-14,48.0,47.6,48.8,47.1,53941,2.585,127,-0.4,1800000000.0,2025-05-14 11:48:08.981,0,48.19999999999999,47.8,47.400000000000006
CLICL,2025-05-15,49.0,46.5,49.0,45.8,75105,3.5,253,-1.1,1785000000.0,2025-05-15 09:14:32.011,0,48.63508650602936,47.36666666666667,46.098246827303974
CLICL,2025-05-17,46.0,47.2,48.0,46.0,58376,2.745,168,0.7,1743.75,2025-05-17 09:29:36.580,0,48.43292599030802,47.325,46.217074009691984
CLICL,2025-05-18,51.9,46.1,51.9,45.5,84752,3.932,247,-1.2,1770.0,2025-05-18 10:59:59.106,0,48.47370011121475,47.08,45.68629988878525
CLICL,2025-05-19,46.0,46.6,47.1,46.0,62664,2.907,127,0.5,1728.75,2025-05-19 10:59:17.952,0,48.32161517343994,47.0,45.67838482656006
CLICL,2025-05-20,46.0,45.8,47.6,45.5,67505,3.126,180,-0.8,1747.5,2025-05-20 10:59:09.394,0,48.31263644722521,46.82857142857143,45.34450640991765
CLICL,2025-05-21,45.8,46.7,47.0,45.8,93955,4.369,240,0.9,1717.5,2025-05-21 11:16:54.567,0,48.203318104570116,46.8125,45.421681895429884
CLICL,2025-05-22,46.2,46.5,47.7,46.1,28528,1.326,150,-0.2,1751.25,2025-05-22 10:59:44.570,0,48.103683012460124,46.77777777777778,45.45187254309543
CLICL,2025-05-24,51.0,46.1,51.0,45.5,36702,1.704,94,-0.4,1743.75,2025-05-24 11:16:27.996,0,48.03196822957287,46.71,45.38803177042713
CLICL,2025-05-25,46.1,46.2,47.0,45.5,42839,1.982,163,0.5,1728.75,2025-05-25 11:16:09.433,0,47.95774251994722,46.66363636363636,45.3695302073255
CLICL,2025-05-26,46.0,46.9,47.2,46.0,191669,8.935,233,0.7,1732.5,2025-05-26 10:59:48.038,0,47.92921543940206,46.68333333333334,45.43745122726462
CLICL,2025-05-27,46.5,47.1,48.3,46.5,62939,2.979,161,0.2,1758.75,2025-05-27 10:58:30.992,0,47.93281230420839,46.715384615384615,45.49795692656084
CLICL,2025-05-28,46.6,46.9,47.8,46.5,142170,6.712,326,,1766.25,2025-05-28 11:14:29.638,0,47.905561709945495,46.728571428571435,45.551581147197375
CLICL,2025-05-29,46.5,47.3,48.0,46.5,120023,5.661,318,0.4,1758.75,2025-05-29 11:14:40.892,0,47.93893891415111,46.766666666666666,45.59439441918222
CLICL,2025-06-01,51.0,48.3,51.0,46.7,59120,2.849,244,1.0,1773.75,2025-06-01 10:59:35.070,0,48.21873559900188,46.8625,45.50626440099811
CLICL,2025-06-02,47.5,49.4,49.7,47.5,145949,7.203,403,1.1,1811.25,2025-06-02 10:59:07.924,0,48.788585863344615,47.01176470588236,45.2349435484201
CLICL,2025-06-03,49.0,49.1,49.9,48.0,57742,2.852,161,-0.3,1852.5,2025-06-03 10:59:02.753,0,49.10183795422805,47.12777777777777,45.15371760132749
CLICL,2025-06-04,49.0,49.8,50.0,48.9,97484,4.845,160,0.7,1841.25,2025-06-04 10:59:29.593,0,49.524447400954934,47.22777777777778,44.93110815460063
