symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
CNATEX,2025-05-13,3.5,3.3,3.5,3.2,645321,2.101,121,,813674000.0,2025-05-13 16:38:24.666,0,3.3,3.3,3.3
CNATEX,2025-05-14,3.3,3.2,3.3,3.1,528126,1.677,110,-0.1,789743000.0,2025-05-14 11:57:17.665,0,3.3499999999999996,3.25,3.1500000000000004
CNATEX,2025-05-15,3.3,3.1,3.3,3.1,288106,0.909,97,-0.1,765811000.0,2025-05-15 09:23:29.367,0,3.363299316185545,3.1999999999999997,3.0367006838144546
CNATEX,2025-05-17,3.1,3.2,3.2,3.1,156599,0.5,55,0.1,741.88,2025-05-17 10:25:04.109,0,3.3414213562373094,3.2,3.058578643762691
CNATEX,2025-05-18,3.2,3.2,3.3,3.1,248534,0.795,65,,765.811,2025-05-18 11:10:05.369,0,3.3264911064067353,3.2,3.073508893593265
CNATEX,2025-05-19,3.3,3.3,3.4,3.2,693959,2.254,124,0.1,765.811,2025-05-19 11:08:32.665,0,3.354103520853922,3.216666666666667,3.0792298124794115
CNATEX,2025-05-20,3.3,3.3,3.4,3.2,507286,1.681,71,,789.743,2025-05-20 11:09:13.115,0,3.3685422710161816,3.2285714285714286,3.0886005861266757
CNATEX,2025-05-21,3.3,3.3,3.4,3.2,262664,0.864,47,,789.743,2025-05-21 12:12:22.008,0,3.3766941090707503,3.2375,3.0983058909292494
CNATEX,2025-05-22,3.3,3.3,3.4,3.2,211557,0.699,51,,789.743,2025-05-22 11:11:46.244,0,3.381431422288199,3.2444444444444445,3.1074574666006898
CNATEX,2025-05-24,3.3,3.2,3.4,3.2,57116,0.186,40,-0.1,789.743,2025-05-24 12:12:30.478,0,3.3726649916142155,3.2399999999999998,3.107335008385784
CNATEX,2025-05-25,3.3,3.2,3.3,3.2,153000,0.496,42,0.1,765.811,2025-05-25 12:10:28.288,0,3.364928505670281,3.2363636363636363,3.1077987670569915
CNATEX,2025-05-26,3.3,3.2,3.3,3.1,334417,1.07,64,-0.1,765.811,2025-05-26 11:09:13.683,0,3.3580552462257973,3.233333333333333,3.1086114204408686
CNATEX,2025-05-27,3.2,3.2,3.4,3.2,488162,1.583,97,,765.811,2025-05-27 11:07:40.556,0,3.3519078134463354,3.230769230769231,3.1096306480921263
CNATEX,2025-05-28,3.5,3.3,3.5,3.2,1226429,4.188,254,0.2,765.811,2025-05-28 12:08:20.425,0,3.357771482075964,3.2357142857142853,3.1136570893526065
CNATEX,2025-05-29,3.4,3.3,3.4,3.2,216979,0.716,68,0.1,789.743,2025-05-29 12:08:13.142,0,3.3622020185321557,3.24,3.1177979814678447
CNATEX,2025-06-01,3.3,3.2,3.4,3.2,143927,0.469,56,,789.743,2025-06-01 11:10:00.730,0,3.3573957880828176,3.2375,3.117604211917182
CNATEX,2025-06-02,3.3,3.3,3.4,3.2,402719,1.33,67,0.1,765.811,2025-06-02 11:08:19.579,0,3.36115340031983,3.2411764705882353,3.1211995408566406
CNATEX,2025-06-03,3.3,3.2,3.4,3.2,369330,1.191,54,-0.1,789.743,2025-06-03 11:09:09.244,0,3.357001620141496,3.238888888888889,3.120776157636282
CNATEX,2025-06-04,3.3,3.3,3.3,3.2,251150,0.829,47,0.1,765.811,2025-06-04 11:09:17.246,0,3.357001620141496,3.238888888888889,3.120776157636282
