symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
COPPERTECH,2025-05-13,18.0,17.5,18.1,17.4,34638,0.612,77,-0.4,1179360000.0,2025-05-13 16:34:05.198,0,17.5,17.5,17.5
COPPERTECH,2025-05-14,18.1,17.1,18.1,17.1,30744,0.535,67,-0.1,1146600000.0,2025-05-14 11:52:12.388,0,17.7,17.3,16.900000000000002
COPPERTECH,2025-05-15,17.1,16.8,17.5,16.6,68443,1.16,85,-0.3,1120392000.0,2025-05-15 09:18:30.046,0,17.70682168446951,17.133333333333336,16.559844982197163
COPPERTECH,2025-05-17,16.8,17.3,17.4,16.8,39188,0.672,96,0.5,1100.736,2025-05-17 09:54:46.128,0,17.69220402163943,17.175,16.65779597836057
COPPERTECH,2025-05-18,17.5,17.1,17.5,16.9,90663,1.555,109,-0.2,1133.496,2025-05-18 11:04:53.319,0,17.626476151587628,17.160000000000004,16.69352384841238
COPPERTECH,2025-05-19,17.0,17.3,17.7,16.9,39620,0.68,93,0.1,1120.392,2025-05-19 11:03:24.428,0,17.62176488126553,17.183333333333334,16.744901785401137
COPPERTECH,2025-05-20,17.5,17.7,17.8,17.3,85671,1.509,125,0.4,1133.496,2025-05-20 11:03:47.759,0,17.80075135972687,17.25714285714286,16.71353435455885
COPPERTECH,2025-05-21,18.0,17.8,18.1,17.6,105290,1.878,98,0.1,1159.704,2025-05-21 11:41:19.396,0,17.947494979899435,17.325,16.702505020100563
COPPERTECH,2025-05-22,17.9,18.5,19.0,17.7,646355,11.905,485,0.8,1166.256,2025-05-22 11:03:48.292,0,18.39888823452405,17.455555555555556,16.51222287658706
COPPERTECH,2025-05-24,18.8,18.3,18.8,18.0,112302,2.054,123,-0.2,1212.12,2025-05-24 11:40:46.565,0,18.568396810574594,17.54,16.511603189425404
COPPERTECH,2025-05-25,18.5,17.9,18.5,17.7,323914,5.812,325,-0.4,1199.016,2025-05-25 11:40:09.904,0,18.574873729419686,17.572727272727274,16.570580816034862
COPPERTECH,2025-05-26,18.2,18.3,18.9,18.2,328398,6.088,335,0.4,1172.808,2025-05-26 11:03:50.203,0,18.673632435621816,17.633333333333333,16.59303423104485
COPPERTECH,2025-05-27,18.4,18.0,18.6,17.9,208695,3.794,246,-0.3,1199.016,2025-05-27 11:02:29.118,0,18.679948871596025,17.661538461538463,16.6431280514809
COPPERTECH,2025-05-28,18.0,17.7,18.4,17.5,163207,2.909,189,-0.3,1179.36,2025-05-28 11:38:43.250,0,18.645850479217252,17.664285714285715,16.682720949354177
COPPERTECH,2025-05-29,17.7,17.8,18.0,17.3,212909,3.769,293,0.1,1159.704,2025-05-29 11:38:34.884,0,18.624028985065383,17.673333333333336,16.722637681601288
COPPERTECH,2025-06-01,18.0,17.8,18.2,17.6,28972,0.515,78,,1166.256,2025-06-01 11:04:42.431,0,18.60379742425525,17.68125,16.758702575744746
COPPERTECH,2025-06-02,18.0,17.8,18.0,17.7,49870,0.888,124,0.1,1166.256,2025-06-02 11:03:23.164,0,18.584980658831036,17.688235294117646,16.791489929404257
COPPERTECH,2025-06-03,17.8,17.6,18.0,17.5,56951,1.009,137,-0.2,1166.256,2025-06-03 11:03:24.290,0,18.55575015522016,17.683333333333334,16.810916511446507
COPPERTECH,2025-06-04,17.8,17.7,17.8,17.4,55783,0.98,71,0.1,1153.152,2025-06-04 11:04:06.035,0,18.5623210926746,17.694444444444443,16.826567796214285
