symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
CRYSTALINS,2025-05-13,43.0,42.8,44.7,42.5,940706,40.803,1907,0.2,1874400000.0,2025-05-13 16:30:37.774,0,42.8,42.8,42.8
CRYSTALINS,2025-05-14,42.1,42.4,43.7,41.8,1046071,44.774,1583,-0.4,1883200000.0,2025-05-14 11:48:34.839,0,42.999999999999986,42.599999999999994,42.2
CRYSTALINS,2025-05-15,42.3,41.7,43.0,41.2,530069,22.279,807,-0.7,1865600000.0,2025-05-15 09:15:00.098,0,43.20921211313239,42.300000000000004,41.39078788686762
CRYSTALINS,2025-05-17,41.8,41.4,42.2,40.7,419288,17.359,1005,-0.3,1834.8,2025-05-17 09:32:59.389,0,43.182925990308014,42.075,40.96707400969199
CRYSTALINS,2025-05-18,41.9,43.8,45.4,41.7,1205325,52.772,2040,2.4,1821.6,2025-05-18 11:00:24.829,0,44.11894084652762,42.42,40.72105915347238
CRYSTALINS,2025-05-19,43.5,42.6,43.9,42.1,460512,19.8,852,-1.2,1927.2,2025-05-19 10:59:40.848,0,44.00670592384474,42.449999999999996,40.89329407615525
CRYSTALINS,2025-05-20,42.9,42.7,43.3,41.9,346022,14.714,765,0.1,1874.4,2025-05-20 10:59:37.575,0,43.93752525896142,42.48571428571428,41.03390331246714
CRYSTALINS,2025-05-21,42.7,42.1,43.2,41.9,420305,17.796,730,-0.6,1878.8,2025-05-21 11:20:05.559,0,43.81930136054355,42.4375,41.05569863945645
CRYSTALINS,2025-05-22,42.3,41.2,42.3,41.0,374853,15.601,870,-0.9,1852.4,2025-05-22 11:00:26.143,0,43.8173075568988,42.3,40.7826924431012
CRYSTALINS,2025-05-24,41.0,40.2,41.6,39.8,322804,13.154,730,-1.0,1812.8,2025-05-24 11:19:46.077,0,44.00300810243971,42.089999999999996,40.176991897560285
CRYSTALINS,2025-05-25,40.1,39.7,40.8,39.4,237759,9.464,553,-0.4,1768.8,2025-05-25 11:19:52.424,0,44.156409958997465,41.872727272727275,39.589044586457085
CRYSTALINS,2025-05-26,40.1,40.0,40.6,39.7,275136,11.022,545,0.3,1746.8,2025-05-26 11:00:24.686,0,44.13580333544382,41.71666666666667,39.29752999788952
CRYSTALINS,2025-05-27,40.0,39.0,40.6,38.9,206537,8.188,587,-1.0,1760.0,2025-05-27 10:59:15.578,0,44.2459809798507,41.50769230769231,38.76940363553392
CRYSTALINS,2025-05-28,39.6,38.9,39.7,38.0,332608,12.831,692,-0.1,1716.0,2025-05-28 11:19:32.557,0,44.28229579132843,41.32142857142857,38.36056135152871
CRYSTALINS,2025-05-29,38.8,39.2,39.7,38.0,173511,6.765,496,0.3,1711.6,2025-05-29 11:19:23.158,0,44.229983606513315,41.18,38.130016393486684
CRYSTALINS,2025-06-01,39.5,39.0,39.5,38.8,204712,7.999,506,-0.2,1724.8,2025-06-01 11:00:40.135,0,44.179805444344055,41.04375,37.90769455565595
CRYSTALINS,2025-06-02,39.0,39.4,39.6,38.9,170476,6.687,425,0.4,1716.0,2025-06-02 10:59:51.355,0,44.08627389744149,40.94705882352941,37.807843749617334
CRYSTALINS,2025-06-03,39.5,39.0,39.5,38.5,138909,5.402,297,-0.1,1733.6,2025-06-03 10:59:59.601,0,44.01738531112579,40.83888888888889,37.660392466651984
CRYSTALINS,2025-06-04,39.4,39.7,40.0,38.7,182355,7.187,392,0.7,1716.0,2025-06-04 11:00:23.688,0,43.735506476395706,40.666666666666664,37.59782685693762
