symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
CVOPRL,2025-05-13,141.5,138.7,141.5,138.5,33441,4.686,329,-1.8,3901615000.0,2025-05-13 16:28:12.638,0,138.7,138.7,138.7
CVOPRL,2025-05-14,138.0,136.8,139.0,136.3,87700,12.079,436,-1.9,3851630000.0,2025-05-14 11:46:18.830,0,139.64999999999998,137.75,135.85000000000002
CVOPRL,2025-05-15,137.0,134.2,137.4,133.7,41783,5.662,277,-2.6,3798868000.0,2025-05-15 09:12:20.456,0,140.2556894219352,136.56666666666666,132.87764391139814
CVOPRL,2025-05-17,134.5,135.5,136.0,133.3,39466,5.317,276,1.3,3726.667,2025-05-17 09:17:08.637,0,139.6256578296632,136.3,132.97434217033683
CVOPRL,2025-05-18,136.5,134.0,137.0,133.4,22938,3.105,200,-1.5,3762.767,2025-05-18 10:57:23.461,0,139.33765635819188,135.84,132.34234364180813
CVOPRL,2025-05-19,135.5,130.7,135.5,129.9,44226,5.822,354,-3.3,3721.113,2025-05-19 10:57:14.406,0,139.97053918653634,134.98333333333332,129.9961274801303
CVOPRL,2025-05-20,131.8,135.3,136.2,131.1,46616,6.219,321,4.6,3629.474,2025-05-20 10:56:55.610,0,139.65114249512155,135.02857142857144,130.40600036202133
CVOPRL,2025-05-21,137.7,138.6,140.0,135.4,91464,12.677,642,3.3,3757.213,2025-05-21 11:03:04.515,0,140.40222031169705,135.475,130.54777968830294
CVOPRL,2025-05-22,139.0,137.2,139.2,136.2,75361,10.38,500,,3848.853,2025-05-22 10:56:57.292,0,140.43694501866622,135.66666666666666,130.8963883146671
CVOPRL,2025-05-24,136.8,135.9,137.3,135.4,30966,4.218,200,-1.3,3809.975,2025-05-24 11:02:53.658,0,140.2176483962428,135.69,131.1623516037572
CVOPRL,2025-05-25,136.1,134.4,136.7,134.1,38499,5.194,236,-1.5,3773.875,2025-05-25 11:03:28.368,0,139.95292312479592,135.57272727272726,131.1925314206586
CVOPRL,2025-05-26,135.0,133.9,136.1,133.6,39143,5.259,279,-0.5,3732.221,2025-05-26 10:57:40.379,0,139.72777418427333,135.43333333333334,131.13889248239335
CVOPRL,2025-05-27,134.0,132.5,135.0,132.2,17094,2.279,138,,3718.336,2025-05-27 10:56:50.659,0,139.61988627683075,135.2076923076923,130.79549833855384
CVOPRL,2025-05-28,133.0,130.8,133.4,130.0,25897,3.385,258,-1.7,3679.459,2025-05-28 11:02:43.322,0,139.71273520042206,134.89285714285714,130.07297908529222
CVOPRL,2025-05-29,130.2,132.4,135.0,130.2,47435,6.243,347,1.6,3632.251,2025-05-29 11:03:14.060,0,139.5463300942885,134.72666666666666,129.90700323904483
CVOPRL,2025-06-01,133.9,135.9,136.9,133.9,48184,6.545,385,3.5,3676.682,2025-06-01 10:57:25.646,0,139.50106370941728,134.8,130.09893629058274
CVOPRL,2025-06-02,136.1,134.4,137.0,133.7,39653,5.352,331,-1.5,3773.875,2025-06-02 10:57:00.819,0,139.34105518334923,134.77647058823527,130.2118859931213
CVOPRL,2025-06-03,135.1,134.1,135.1,133.7,22950,3.075,204,,3732.221,2025-06-03 10:56:59.467,0,139.18567993606933,134.7388888888889,130.29209784170848
CVOPRL,2025-06-04,134.9,135.3,135.8,134.0,14787,1.997,138,1.2,3723.89,2025-06-04 10:57:30.523,0,138.57671633523452,134.55,130.5232836647655
