symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DACCADYE,2025-05-13,18.2,17.3,18.2,17.1,333625,5.912,241,-0.7,1568762000.0,2025-05-13 16:34:11.433,0,17.3,17.3,17.3
DACCADYE,2025-05-14,17.3,17.4,17.6,17.3,107731,1.877,108,0.1,1507755000.0,2025-05-14 11:52:13.520,0,17.449999999999996,17.35,17.250000000000007
DACCADYE,2025-05-15,17.2,16.9,17.3,16.8,130564,2.221,114,-0.5,1516470000.0,2025-05-15 09:18:26.838,0,17.632049379893857,17.2,16.76795062010614
DACCADYE,2025-05-17,17.0,17.2,17.4,16.7,104360,1.791,52,0.5,1472.893,2025-05-17 09:54:44.411,0,17.574165738677394,17.2,16.825834261322605
DACCADYE,2025-05-18,17.2,17.0,17.2,16.9,123643,2.102,94,-0.2,1499.039,2025-05-18 11:04:57.544,0,17.53094473981983,17.16,16.78905526018017
DACCADYE,2025-05-19,17.2,17.1,17.2,16.8,70835,1.205,54,0.1,1481.609,2025-05-19 11:03:28.635,0,17.49156502553199,17.150000000000002,16.808434974468014
DACCADYE,2025-05-20,17.2,17.1,17.4,16.8,276686,4.745,211,,1490.324,2025-05-20 11:03:54.444,0,17.46101510644743,17.142857142857142,16.824699179266855
DACCADYE,2025-05-21,17.0,17.2,17.2,16.9,65334,1.115,72,0.1,1490.324,2025-05-21 11:42:30.981,0,17.45,17.15,16.849999999999998
DACCADYE,2025-05-22,17.2,17.0,17.2,17.0,68388,1.169,95,-0.2,1499.039,2025-05-22 11:04:21.435,0,17.431475730333304,17.133333333333333,16.835190936333362
DACCADYE,2025-05-24,17.0,16.9,17.2,16.7,48185,0.815,79,-0.1,1481.609,2025-05-24 11:43:16.269,0,17.42559467676119,17.11,16.79440532323881
DACCADYE,2025-05-25,16.7,16.6,16.9,16.5,72587,1.207,97,-0.3,1472.893,2025-05-25 11:42:45.253,0,17.48378981848332,17.063636363636363,16.643482908789405
DACCADYE,2025-05-26,16.7,16.3,16.7,16.2,60264,0.989,83,-0.3,1446.747,2025-05-26 11:04:19.967,0,17.583095189484528,17.0,16.416904810515472
DACCADYE,2025-05-27,16.4,16.0,17.0,15.9,101522,1.631,100,-0.3,1420.601,2025-05-27 11:03:01.704,0,17.696297346038712,16.923076923076923,16.149856500115135
DACCADYE,2025-05-28,16.7,16.0,16.7,16.0,46766,0.754,50,,1394.455,2025-05-28 11:42:02.754,0,17.741011902757602,16.857142857142858,15.973273811528115
DACCADYE,2025-05-29,16.6,16.1,16.6,16.0,31557,0.508,30,0.1,1394.455,2025-05-29 11:41:56.291,0,17.740380874667284,16.806666666666665,15.872952458666047
DACCADYE,2025-06-01,17.1,16.5,17.1,16.2,20011,0.328,30,0.4,1403.171,2025-06-01 11:05:14.006,0,17.703674110090436,16.7875,15.871325889909567
DACCADYE,2025-06-02,16.4,16.6,16.6,16.4,19360,0.32,34,,1438.032,2025-06-02 11:03:50.058,0,17.66965895981658,16.776470588235295,15.88328221665401
DACCADYE,2025-06-03,16.6,16.6,16.7,16.6,23772,0.395,42,,1446.747,2025-06-03 11:03:59.895,0,17.6384464553748,16.766666666666666,15.894886877958532
DACCADYE,2025-06-04,16.4,16.8,16.8,16.4,36965,0.619,54,0.2,1446.747,2025-06-04 11:04:27.888,0,17.571925873232292,16.73888888888889,15.90585190454549
