symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DBH,2025-05-13,34.0,34.0,34.3,34.0,115892,3.943,114,0.2,6722488000.0,2025-05-13 16:31:13.400,0,34.0,34.0,34.0
DBH,2025-05-14,34.2,34.1,34.2,34.0,96059,3.267,80,0.1,6762266000.0,2025-05-14 11:49:19.063,0,34.150000000000006,34.05,33.94999999999999
DBH,2025-05-15,34.5,34.4,34.6,33.5,327457,11.245,287,0.3,6782155000.0,2025-05-15 09:15:34.822,0,34.50660130090618,34.166666666666664,33.826732032427145
DBH,2025-05-17,34.4,34.6,34.7,33.7,222816,7.64,222,0.2,6841.822,2025-05-17 09:36:52.799,0,34.75196960070848,34.275,33.79803039929152
DBH,2025-05-18,34.2,34.7,34.8,34.2,136399,4.72,170,0.1,6881.6,2025-05-18 11:01:19.227,0,34.905527267879435,34.36,33.814472732120564
DBH,2025-05-19,34.8,35.0,35.1,34.3,314936,10.965,370,0.3,6901.489,2025-05-19 11:00:14.237,0,35.15627202885258,34.46666666666667,33.77706130448076
DBH,2025-05-20,35.4,34.9,35.4,34.6,58127,2.034,115,-0.1,6961.156,2025-05-20 11:00:19.282,0,35.23538953582017,34.528571428571425,33.82175332132268
DBH,2025-05-21,35.0,34.9,35.1,34.5,77262,2.693,159,,6941.267,2025-05-21 11:23:50.753,0,35.2803367989833,34.575,33.86966320101671
DBH,2025-05-22,35.2,34.3,35.2,34.2,45593,1.574,89,-0.7,6941.267,2025-05-22 11:00:55.878,0,35.23153888149957,34.544444444444444,33.85735000738932
DBH,2025-05-24,34.9,34.3,34.9,33.7,82235,2.797,145,0.2,6821.933,2025-05-24 11:23:22.816,0,35.1881317235396,34.519999999999996,33.851868276460394
DBH,2025-05-25,34.3,33.8,34.4,33.6,44212,1.507,126,-0.5,6821.933,2025-05-25 11:23:03.695,0,35.21427572421004,34.45454545454545,33.694815184880866
DBH,2025-05-26,34.0,33.4,34.0,32.8,107544,3.577,227,-0.4,6722.488,2025-05-26 11:01:06.356,0,35.298808763607305,34.36666666666667,33.43452456972603
DBH,2025-05-28,30.1,31.0,31.2,30.1,94935,2.917,223,-2.4,6775.79,2025-05-28 11:24:36.993,0,36.113010680207736,34.107692307692304,32.10237393517687
DBH,2025-05-29,31.0,32.0,32.2,31.0,66587,2.122,148,1.0,6288.907,2025-05-29 11:23:21.595,0,36.17359341179651,33.957142857142856,31.7406923024892
DBH,2025-06-01,31.7,31.5,31.9,31.3,13203,0.417,75,-0.5,6491.775,2025-06-01 11:01:41.161,0,36.26068458968542,33.79333333333333,31.32598207698124
DBH,2025-06-02,32.0,31.7,32.0,31.5,86337,2.733,138,0.2,6390.341,2025-06-02 11:00:35.124,0,36.257567436503344,33.6625,31.067432563496663
DBH,2025-06-03,31.4,31.4,31.8,31.2,37972,1.191,152,-0.1,6430.915,2025-06-03 11:00:38.219,0,36.26287731415673,33.529411764705884,30.795946215255036
DBH,2025-06-04,31.6,31.9,31.9,31.4,13184,0.418,50,0.5,6370.054,2025-06-04 11:01:07.951,0,36.19822768963156,33.43888888888889,30.679550088146225
