symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DELTALIFE,2025-05-13,69.5,69.2,71.6,67.0,49288,3.432,228,-1.9,8798625000.0,2025-05-13 16:29:26.430,0,69.2,69.2,69.2
DELTALIFE,2025-05-14,70.2,67.0,70.2,66.7,62959,4.255,496,-2.2,8563500000.0,2025-05-14 11:47:26.142,0,70.29999999999998,68.1,65.9
DELTALIFE,2025-05-15,69.0,64.3,69.0,63.9,83225,5.402,594,-3.1,8291250000.0,2025-05-15 09:13:40.534,0,70.84110356405043,66.83333333333333,62.82556310261623
DELTALIFE,2025-05-17,62.2,64.9,67.4,62.2,44219,2.822,256,0.6,7957.125,2025-05-17 09:24:53.940,0,70.20356977359953,66.35,62.49643022640046
DELTALIFE,2025-05-18,67.3,63.2,67.4,62.8,82517,5.283,314,-2.1,8031.375,2025-05-18 10:58:57.418,0,69.98970724991771,65.72,61.45029275008228
DELTALIFE,2025-05-19,63.2,62.7,64.2,61.8,147931,9.301,605,-0.2,7821.0,2025-05-19 10:58:33.403,0,69.71765421262687,65.21666666666667,60.71567912070647
DELTALIFE,2025-05-20,63.2,61.9,63.2,61.4,411931,25.537,788,-0.8,7759.125,2025-05-20 10:58:28.970,0,69.51283125821925,64.74285714285715,59.972883027495044
DELTALIFE,2025-05-21,61.9,64.7,65.9,61.3,751259,46.892,1395,2.8,7660.125,2025-05-21 11:11:29.395,0,69.19949226803453,64.7375,60.27550773196546
DELTALIFE,2025-05-22,64.8,64.1,65.9,63.5,177022,11.472,760,-0.6,8006.625,2025-05-22 10:58:33.389,0,68.89251306446413,64.66666666666667,60.44082026886921
DELTALIFE,2025-05-24,64.0,63.8,65.4,63.4,164880,10.596,668,-0.1,7932.375,2025-05-24 11:11:18.942,0,68.62257343779925,64.58,60.53742656220076
DELTALIFE,2025-05-25,64.9,62.5,64.9,62.3,99755,6.277,488,-1.3,7895.25,2025-05-25 11:11:53.392,0,68.42661747343134,64.39090909090909,60.355200708386846
DELTALIFE,2025-05-26,63.9,63.0,64.0,62.3,80868,5.071,334,0.5,7734.375,2025-05-26 10:58:58.620,0,68.21464888452427,64.27499999999999,60.335351115475724
DELTALIFE,2025-05-27,63.0,62.7,63.8,62.6,54476,3.439,184,-0.3,7796.25,2025-05-27 10:57:57.809,0,68.03089132896868,64.15384615384616,60.27680097872364
DELTALIFE,2025-05-28,62.6,62.0,62.9,61.5,117146,7.262,339,-0.7,7759.125,2025-05-28 11:10:24.871,0,67.89725177895545,64.0,60.10274822104455
DELTALIFE,2025-05-29,62.0,63.0,63.5,61.5,97239,6.082,433,1.0,7672.5,2025-05-29 11:10:44.262,0,67.73134450878936,63.93333333333333,60.135322157877305
DELTALIFE,2025-06-01,62.8,63.2,63.4,62.6,65235,4.114,173,0.2,7796.25,2025-06-01 10:58:56.502,0,67.58200605629494,63.8875,60.19299394370506
DELTALIFE,2025-06-02,64.5,63.8,65.0,63.5,203526,13.051,486,0.6,7821.0,2025-06-02 10:58:27.808,0,67.46678680023503,63.88235294117647,60.297919082117915
DELTALIFE,2025-06-03,63.8,63.2,64.2,63.0,57106,3.625,279,-0.8,7895.25,2025-06-03 10:58:23.857,0,67.3418861902684,63.84444444444445,60.3470026986205
DELTALIFE,2025-06-04,63.0,63.9,64.5,63.0,27763,1.765,197,1.3,7821.0,2025-06-04 10:59:07.440,0,65.89781222039203,63.54999999999999,61.202187779607954
