symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DGIC,2025-05-13,27.1,26.2,27.1,26.0,368796,9.81,406,-0.9,1076000000.0,2025-05-13 16:32:07.815,0,26.2,26.2,26.2
DGIC,2025-05-14,25.5,25.6,26.6,25.5,409787,10.631,416,-0.6,1048000000.0,2025-05-14 11:50:15.888,0,26.499999999999993,25.9,25.300000000000004
DGIC,2025-05-15,25.9,26.0,26.3,25.3,214501,5.525,288,0.4,1024000000.0,2025-05-15 09:16:14.643,0,26.43222098490319,25.933333333333334,25.434445681763478
DGIC,2025-05-17,26.5,26.1,26.5,25.7,476991,12.464,497,0.1,1040.0,2025-05-17 09:41:12.527,0,26.430521678957213,25.975,25.51947832104279
DGIC,2025-05-18,26.1,25.7,26.9,25.5,542113,14.361,623,-0.4,1044.0,2025-05-18 11:02:18.673,0,26.383033476111606,25.919999999999998,25.45696652388839
DGIC,2025-05-19,25.7,25.4,26.0,25.3,324705,8.253,307,-0.3,1028.0,2025-05-19 11:01:09.247,0,26.40682168446951,25.833333333333332,25.259844982197155
DGIC,2025-05-20,25.2,25.6,25.9,24.8,320741,8.107,403,0.2,1016.0,2025-05-20 11:01:20.774,0,26.355492059863533,25.8,25.24450794013647
DGIC,2025-05-21,25.6,25.2,26.0,25.0,223293,5.659,259,-0.6,1024.0,2025-05-21 11:29:39.707,0,26.378834841531106,25.725,25.071165158468897
DGIC,2025-05-24,24.8,24.5,25.1,24.3,166162,4.077,209,-0.4,996.0,2025-05-24 11:29:50.757,0,26.57521515649654,25.58888888888889,24.602562621281237
DGIC,2025-05-25,24.4,24.2,24.6,24.0,83910,2.035,131,-0.3,980.0,2025-05-25 11:29:26.839,0,26.70299640861417,25.45,24.19700359138583
DGIC,2025-05-26,24.4,23.5,24.4,23.3,98562,2.351,165,-0.7,968.0,2025-05-26 11:02:19.415,0,26.91110986561001,25.272727272727273,23.63434467984454
DGIC,2025-05-27,23.7,23.3,23.8,23.1,95485,2.234,120,-0.1,940.0,2025-05-27 11:01:13.132,0,27.018757951637397,25.108333333333334,23.19790871502927
DGIC,2025-05-28,23.5,22.5,23.5,22.1,91153,2.071,150,-0.8,932.0,2025-05-28 11:30:41.777,0,27.21014790447326,24.907692307692308,22.605236710911356
DGIC,2025-05-29,22.0,20.8,22.0,19.2,268442,5.531,426,-1.7,900.0,2025-05-29 11:34:28.110,0,27.680094526568276,24.614285714285717,21.54847690200316
DGIC,2025-06-01,20.1,20.7,21.0,20.1,60818,1.256,196,-0.1,832.0,2025-06-01 11:03:50.854,0,27.90100236462072,24.353333333333335,20.80566430204595
DGIC,2025-06-02,20.7,20.2,20.8,19.9,115340,2.337,183,-0.5,828.0,2025-06-02 11:02:47.825,0,28.073994182207922,24.09375,20.113505817792078
DGIC,2025-06-03,20.4,19.7,20.4,19.6,127267,2.517,191,-0.5,808.0,2025-06-03 11:02:37.037,0,28.215431733787923,23.83529411764706,19.455156501506195
DGIC,2025-06-04,19.8,20.0,20.3,19.2,117878,2.3,209,0.4,788.0,2025-06-04 11:03:13.433,0,28.227318701151507,23.62222222222222,19.017125743292933
