symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DHAKABANK,2025-05-13,10.5,10.1,10.5,10.0,403188,4.105,111,-0.1,10267343000.0,2025-05-13 16:35:44.127,0,10.1,10.1,10.1
DHAKABANK,2025-05-14,10.1,10.0,10.1,10.0,191908,1.926,96,,10166683000.0,2025-05-14 11:53:49.368,0,10.150000000000002,10.05,9.95
DHAKABANK,2025-05-15,10.0,9.9,10.0,9.9,100108,0.992,70,-0.1,10066022000.0,2025-05-15 09:20:14.185,0,10.163299316185546,10.0,9.836700683814454
DHAKABANK,2025-05-17,9.8,9.8,9.9,9.7,178831,1.757,75,-0.1,9965.362,2025-05-17 10:07:11.143,0,10.173606797749978,9.95,9.726393202250021
DHAKABANK,2025-05-18,9.8,9.8,10.1,9.7,290585,2.858,116,,9864.702,2025-05-18 11:06:49.943,0,10.15323807579381,9.92,9.68676192420619
DHAKABANK,2025-05-19,9.9,9.8,9.9,9.6,384403,3.728,123,,9864.702,2025-05-19 11:05:20.234,0,10.13094010767585,9.9,9.669059892324151
DHAKABANK,2025-05-20,9.9,9.7,9.9,9.6,172354,1.679,102,-0.1,9864.702,2025-05-20 11:06:05.581,0,10.126979197428545,9.87142857142857,9.615877945428595
DHAKABANK,2025-05-21,9.8,9.7,9.9,9.7,273939,2.679,78,,9764.042,2025-05-21 11:55:14.341,0,10.11457513110646,9.85,9.58542486889354
DHAKABANK,2025-05-22,9.8,9.8,9.9,9.7,222116,2.178,89,0.1,9764.042,2025-05-22 11:08:36.621,0,10.095860188866327,9.844444444444443,9.59302870002256
DHAKABANK,2025-05-24,9.9,10.0,10.2,9.8,335887,3.36,123,0.2,9864.702,2025-05-24 11:54:30.238,0,10.116124969497314,9.86,9.603875030502685
DHAKABANK,2025-05-25,10.2,10.1,10.3,10.0,190336,1.922,105,0.1,10066.022,2025-05-25 11:52:34.049,0,10.162313611282574,9.881818181818183,9.601322752353791
DHAKABANK,2025-05-26,10.0,10.0,10.1,9.9,671478,6.696,157,-0.1,10166.683,2025-05-26 11:05:53.509,0,10.16805206586295,9.891666666666667,9.615281267470385
DHAKABANK,2025-05-27,10.2,10.1,10.3,9.9,617074,6.269,186,0.1,10066.022,2025-05-27 11:04:16.649,0,10.195512106674919,9.907692307692308,9.619872508709697
DHAKABANK,2025-05-28,10.4,9.8,10.4,9.6,528863,5.215,194,-0.3,10166.683,2025-05-28 11:51:37.923,0,10.182842712474619,9.9,9.617157287525382
DHAKABANK,2025-05-29,10.2,10.2,10.5,9.9,1390990,14.066,468,0.4,9864.702,2025-05-29 11:50:48.406,0,10.231555238547944,9.92,9.608444761452056
DHAKABANK,2025-06-01,10.3,10.7,10.7,10.2,1215768,12.758,437,0.5,10267.343,2025-06-01 11:06:45.742,0,10.45206537322953,9.96875,9.48543462677047
DHAKABANK,2025-06-02,10.7,10.7,10.8,10.5,1043900,11.109,283,,10770.644,2025-06-02 11:05:16.279,0,10.593374451496858,10.011764705882353,9.430154960267847
DHAKABANK,2025-06-03,10.7,10.5,10.7,10.4,751231,7.93,213,-0.2,10770.644,2025-06-03 11:05:26.345,0,10.64675908295955,10.038888888888888,9.431018694818226
DHAKABANK,2025-06-04,10.5,10.6,10.7,10.5,467287,4.949,168,0.1,10569.323,2025-06-04 11:05:53.670,0,10.72663299577411,10.066666666666668,9.406700337559226
