symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DHAKAINS,2025-05-13,36.0,35.6,36.4,35.2,34256,1.234,126,-0.4,1444500000.0,2025-05-13 16:31:07.817,0,35.6,35.6,35.6
DHAKAINS,2025-05-14,35.4,35.2,36.1,34.8,24898,0.882,102,0.4,1428450000.0,2025-05-14 11:49:08.457,0,35.80000000000001,35.400000000000006,35.0
DHAKAINS,2025-05-15,36.5,34.7,36.5,34.5,22887,0.797,83,-0.5,1412400000.0,2025-05-15 09:15:33.419,0,35.90302406781249,35.166666666666664,34.43030926552084
DHAKAINS,2025-05-17,35.6,34.8,35.7,34.4,20862,0.722,79,0.4,1392.338,2025-05-17 09:36:09.764,0,35.78739034243876,35.075,34.362609657561244
DHAKAINS,2025-05-18,34.9,34.8,35.5,34.5,36654,1.281,115,-0.1,1396.35,2025-05-18 11:01:21.351,0,35.69409198185411,35.019999999999996,34.345908018145884
DHAKAINS,2025-05-19,35.4,34.3,35.4,34.2,16207,0.559,64,-0.5,1396.35,2025-05-19 11:00:17.186,0,35.71649658092773,34.9,34.083503419072265
DHAKAINS,2025-05-20,34.6,34.2,34.7,34.1,23559,0.808,85,0.2,1376.288,2025-05-20 11:00:25.009,0,35.700793301167685,34.8,33.89920669883231
DHAKAINS,2025-05-21,35.1,34.2,35.1,34.0,36069,1.233,92,0.3,1372.275,2025-05-21 11:23:52.424,0,35.65639680050987,34.725,33.793603199490136
DHAKAINS,2025-05-22,34.9,34.2,34.9,34.0,22688,0.778,63,,1372.275,2025-05-22 11:00:57.286,0,35.604749818631355,34.666666666666664,33.728583514701974
DHAKAINS,2025-05-24,34.5,33.9,34.7,33.6,12734,0.434,48,-0.6,1372.275,2025-05-24 11:23:45.737,0,35.59179838290946,34.589999999999996,33.58820161709053
DHAKAINS,2025-05-25,34.0,33.5,34.0,33.1,23577,0.788,46,-0.5,1360.238,2025-05-25 11:23:26.955,0,35.633329314356736,34.49090909090909,33.34848886746145
DHAKAINS,2025-05-26,34.5,33.5,34.5,33.4,19722,0.663,43,,1344.188,2025-05-26 11:00:59.974,0,35.6316030864495,34.40833333333333,33.18506358021716
DHAKAINS,2025-05-27,34.3,33.6,34.3,33.4,13690,0.461,53,0.2,1344.188,2025-05-27 10:59:52.236,0,35.597898191188186,34.34615384615385,33.09440950111951
DHAKAINS,2025-05-28,34.1,32.7,34.1,32.0,15295,0.501,74,0.1,1348.2,2025-05-28 11:22:37.997,0,35.702978953993224,34.22857142857143,32.75416390314963
DHAKAINS,2025-05-29,33.5,32.7,33.5,32.0,5962,0.195,30,-0.7,1312.088,2025-05-29 11:23:42.274,0,35.74236740903479,34.12666666666667,32.51096592429855
DHAKAINS,2025-06-01,32.9,33.2,33.5,32.4,12582,0.417,54,0.8,1312.088,2025-06-01 11:01:22.919,0,35.696200076039204,34.06875,32.4412999239608
DHAKAINS,2025-06-03,34.4,32.9,34.4,32.7,107913,3.587,343,-2.7,1428.45,2025-06-03 11:00:25.872,0,35.671913310446165,34.0,32.328086689553835
DHAKAINS,2025-06-04,33.8,33.0,33.8,32.5,16451,0.542,88,-0.1,1320.113,2025-06-04 11:00:58.222,0,35.63260218091633,33.94444444444444,32.256286707972556
