symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DOMINAGE,2025-05-13,10.4,10.2,10.5,10.2,700166,7.214,271,-0.2,1067040000.0,2025-05-13 16:35:36.426,0,10.2,10.2,10.2
DOMINAGE,2025-05-14,10.2,10.0,10.3,10.0,476704,4.802,204,-0.2,1046520000.0,2025-05-14 11:53:54.083,0,10.299999999999999,10.1,9.9
DOMINAGE,2025-05-15,10.0,10.0,10.1,9.9,484189,4.844,183,,1026000000.0,2025-05-15 09:20:09.037,0,10.255228474983078,10.066666666666666,9.878104858350255
DOMINAGE,2025-05-17,10.0,10.3,10.3,9.9,578347,5.855,220,0.3,1026.0,2025-05-17 10:05:15.461,0,10.384807621135332,10.125,9.865192378864668
DOMINAGE,2025-05-18,10.3,10.1,10.5,9.9,824388,8.401,229,-0.2,1056.78,2025-05-18 11:06:38.253,0,10.353238075793813,10.120000000000001,9.886761924206189
DOMINAGE,2025-05-19,10.1,10.2,10.3,10.0,424374,4.298,154,0.1,1036.26,2025-05-19 11:05:02.117,0,10.35444165269036,10.133333333333333,9.912225013976306
DOMINAGE,2025-05-20,10.3,10.5,10.6,10.1,1650145,17.212,408,0.3,1046.52,2025-05-20 11:05:42.780,0,10.5139750083736,10.185714285714285,9.85745356305497
DOMINAGE,2025-05-21,10.6,10.4,10.7,10.4,690593,7.252,210,-0.1,1077.3,2025-05-21 11:52:53.713,0,10.550693731461719,10.2125,9.874306268538282
DOMINAGE,2025-05-22,10.3,10.5,10.9,10.3,1851362,19.673,571,0.1,1067.04,2025-05-22 11:08:24.422,0,10.610942722277127,10.244444444444445,9.877946166611764
DOMINAGE,2025-05-24,10.5,10.3,10.7,10.3,662961,6.922,216,-0.2,1077.3,2025-05-24 11:53:44.149,0,10.599284983931462,10.25,9.900715016068538
DOMINAGE,2025-05-25,10.4,10.6,10.7,10.4,1594310,16.787,446,0.3,1056.78,2025-05-25 11:51:48.509,0,10.670926082891503,10.281818181818181,9.89271028074486
DOMINAGE,2025-05-26,10.7,10.8,11.0,10.6,1938810,20.932,615,0.2,1087.56,2025-05-26 11:05:39.340,0,10.794929072662391,10.325000000000001,9.85507092733761
DOMINAGE,2025-05-27,10.9,10.6,11.0,10.5,1005407,10.748,364,-0.2,1108.08,2025-05-27 11:04:08.313,0,10.820838419093587,10.346153846153847,9.871469273214107
DOMINAGE,2025-05-28,10.6,10.3,10.6,10.1,959967,9.881,769,-0.3,1087.56,2025-05-28 11:50:52.860,0,10.800891986910898,10.342857142857143,9.884822298803389
DOMINAGE,2025-05-29,10.3,10.3,10.5,10.2,581073,6.023,613,,1056.78,2025-05-29 11:50:25.806,0,10.783019939355631,10.34,9.896980060644369
DOMINAGE,2025-06-01,10.3,10.3,10.5,10.3,410963,4.248,184,,1056.78,2025-06-01 11:06:52.301,0,10.766889100932943,10.3375,9.908110899067058
DOMINAGE,2025-06-02,10.5,10.3,10.5,10.2,433555,4.472,214,,1056.78,2025-06-02 11:05:28.416,0,10.752236356392219,10.335294117647058,9.918351878901897
DOMINAGE,2025-06-03,10.3,10.2,10.4,10.0,469488,4.77,275,-0.1,1056.78,2025-06-03 11:05:36.019,0,10.73768592768215,10.327777777777778,9.917869627873404
DOMINAGE,2025-06-04,10.2,10.3,10.4,10.1,275108,2.808,152,0.1,1046.52,2025-06-04 11:05:56.180,0,10.738850835353215,10.333333333333334,9.927815831313453
