symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DOREENPWR,2025-05-13,25.3,24.2,25.4,24.0,760682,18.827,968,-0.8,4527973000.0,2025-05-13 16:32:27.487,0,24.2,24.2,24.2
DOREENPWR,2025-05-14,24.6,23.4,24.6,23.2,598123,14.267,689,-0.8,4383077000.0,2025-05-14 11:50:44.232,0,24.599999999999994,23.799999999999997,23.0
DOREENPWR,2025-05-15,23.8,23.4,24.0,23.0,408274,9.56,517,,4238182000.0,2025-05-15 09:16:44.922,0,24.420913899932316,23.666666666666668,22.91241943340102
DOREENPWR,2025-05-17,23.2,24.8,25.1,23.1,431957,10.479,567,1.4,4238.182,2025-05-17 09:43:14.509,0,25.12898261225516,23.95,22.771017387744838
DOREENPWR,2025-05-18,24.9,24.1,25.0,23.9,584836,14.302,779,-0.7,4491.749,2025-05-18 11:02:47.910,0,25.04131993291373,23.98,22.91868006708627
DOREENPWR,2025-05-19,24.2,24.1,24.5,23.5,384569,9.258,540,,4364.966,2025-05-19 11:01:27.417,0,24.972967967955096,24.0,23.027032032044904
DOREENPWR,2025-05-20,24.0,24.3,24.7,23.9,805937,19.458,660,0.2,4364.966,2025-05-20 11:01:38.156,0,24.967795088927925,24.042857142857144,23.117919196786364
DOREENPWR,2025-05-21,24.5,24.5,24.6,24.0,569567,13.837,550,0.2,4401.189,2025-05-21 11:30:28.339,0,25.01651513899117,24.1,23.183484861008832
DOREENPWR,2025-05-22,24.5,23.9,24.6,23.8,548114,13.221,578,-0.6,4437.413,2025-05-22 11:02:17.344,0,24.95097256463949,24.077777777777776,23.204582990916062
DOREENPWR,2025-05-24,23.9,23.6,24.1,23.5,378787,8.976,445,-0.3,4328.742,2025-05-24 11:31:49.276,0,24.906584280032448,24.03,23.153415719967555
DOREENPWR,2025-05-25,23.6,24.3,24.8,23.6,1067087,25.919,1057,0.7,4274.406,2025-05-25 11:29:05.036,0,24.9046305256408,24.05454545454546,23.204460383450115
DOREENPWR,2025-05-26,24.3,23.9,24.7,23.8,352106,8.532,458,-0.4,4401.189,2025-05-26 11:02:06.337,0,24.860032246479395,24.041666666666668,23.22330108685394
DOREENPWR,2025-05-27,23.8,23.5,24.5,23.4,691567,16.567,600,-0.4,4328.742,2025-05-27 11:01:11.948,0,24.837578928542538,24.0,23.162421071457462
DOREENPWR,2025-05-28,23.8,23.2,23.9,22.8,348035,8.096,427,-0.3,4256.294,2025-05-28 11:29:53.150,0,24.849071515837355,23.942857142857143,23.03664276987693
DOREENPWR,2025-05-29,23.1,23.2,23.5,22.8,430895,9.989,424,,4201.959,2025-05-29 11:30:08.283,0,24.84402898506538,23.89333333333333,22.942637681601283
DOREENPWR,2025-06-01,23.4,23.4,23.8,23.3,277551,6.508,291,0.2,4201.959,2025-06-01 11:02:51.738,0,24.813486330080515,23.8625,22.911513669919486
DOREENPWR,2025-06-02,23.5,23.2,23.7,23.0,491918,11.45,495,-0.2,4238.182,2025-06-02 11:01:55.243,0,24.79737421583882,23.823529411764707,22.849684607690595
DOREENPWR,2025-06-03,23.3,22.7,23.3,22.6,288336,6.59,444,-0.5,4201.959,2025-06-03 11:01:49.264,0,24.838430601304534,23.76111111111111,22.683791620917685
DOREENPWR,2025-06-04,22.8,22.9,23.0,22.7,116006,2.654,170,0.2,4111.399,2025-06-04 11:02:11.570,0,24.812155729431122,23.688888888888886,22.56562204834665
