symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DSHGARME,2025-05-13,62.9,63.7,64.2,62.8,1857,0.118,19,-0.3,522994000.0,2025-05-13 16:29:33.893,0,63.7,63.7,63.7
DSHGARME,2025-05-14,64.8,62.4,64.8,62.0,4882,0.305,68,,527967000.0,2025-05-14 11:47:33.895,0,64.35,63.05,61.75
DSHGARME,2025-05-15,60.3,60.7,63.0,60.3,2675,0.162,36,-1.7,517193000.0,2025-05-15 09:13:44.578,0,64.72340343635844,62.26666666666667,59.80992989697491
DSHGARME,2025-05-17,61.0,60.7,63.0,60.1,2104,0.128,30,,503.102,2025-05-17 09:26:02.617,0,64.3983905761891,61.875,59.3516094238109
DSHGARME,2025-05-18,64.4,61.6,64.4,61.4,5678,0.353,45,0.9,503.102,2025-05-18 10:59:00.268,0,64.08768604528935,61.82000000000001,59.55231395471068
DSHGARME,2025-05-19,64.2,61.6,64.2,60.8,1053,0.065,14,0.8,510.562,2025-05-19 10:58:37.958,0,63.85992241695633,61.78333333333333,59.70674424971033
DSHGARME,2025-05-20,62.0,61.7,63.0,61.5,3118,0.193,45,0.9,510.562,2025-05-20 10:58:26.346,0,63.69486087768078,61.77142857142858,59.84799626517638
DSHGARME,2025-05-21,61.6,62.0,63.3,61.6,1028,0.064,12,1.4,511.391,2025-05-21 11:11:53.518,0,63.60554700852678,61.800000000000004,59.99445299147323
DSHGARME,2025-05-22,62.4,63.1,63.9,62.4,5191,0.327,70,1.9,513.877,2025-05-22 10:58:38.024,0,63.832679625444264,61.94444444444444,60.05620926344462
DSHGARME,2025-05-24,63.1,62.6,63.9,62.3,3800,0.239,43,-0.5,522.994,2025-05-24 11:11:41.220,0,63.84401199559872,62.010000000000005,60.17598800440129
DSHGARME,2025-05-25,64.7,61.9,64.7,61.5,4672,0.289,60,-0.1,518.85,2025-05-25 11:11:51.741,0,63.7498051839614,62.0,60.2501948160386
DSHGARME,2025-05-26,61.2,61.5,63.5,61.0,2547,0.156,23,-0.3,513.048,2025-05-26 10:59:06.410,0,63.65628962121461,61.958333333333336,60.26037704545206
DSHGARME,2025-05-27,60.4,59.6,61.6,59.0,12633,0.767,134,-2.5,509.733,2025-05-27 10:58:07.728,0,63.83627898243385,61.776923076923076,59.7175671714123
DSHGARME,2025-05-28,60.0,60.2,60.8,59.9,10598,0.638,94,0.6,493.985,2025-05-28 11:10:47.498,0,63.808523364836795,61.66428571428572,59.52004806373464
DSHGARME,2025-05-29,61.8,66.2,66.2,60.3,41462,2.683,310,6.0,498.958,2025-05-29 11:10:19.179,0,65.03449253453394,61.96666666666667,58.8988407987994
DSHGARME,2025-06-01,72.2,72.8,72.8,72.2,37752,2.748,91,6.6,548.688,2025-06-01 10:58:42.014,0,68.67117430479223,62.643750000000004,56.616325695207784
DSHGARME,2025-06-02,80.0,77.7,80.0,75.6,256041,20.047,1076,5.0,603.391,2025-06-02 10:58:03.927,0,72.71604264066967,63.529411764705884,54.3427808887421
DSHGARME,2025-06-03,75.8,75.7,78.0,74.1,14553,1.103,214,-2.0,644.004,2025-06-03 10:58:08.238,0,74.73139090846429,64.20555555555556,53.679720202646834
DSHGARME,2025-06-04,75.2,75.8,77.7,72.1,120121,9.071,583,0.1,627.427,2025-06-04 10:58:46.872,0,76.65922374742864,64.87777777777778,53.09633180812692
