symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DSSL,2025-05-13,9.5,9.1,9.5,9.0,485015,4.47,337,-0.3,1981457000.0,2025-05-13 16:36:01.195,0,9.1,9.1,9.1
DSSL,2025-05-14,9.1,8.8,9.3,8.8,703296,6.298,348,-0.3,1918219000.0,2025-05-14 11:54:33.260,0,9.249999999999996,8.95,8.650000000000002
DSSL,2025-05-15,8.8,8.6,9.0,8.5,717395,6.235,369,-0.2,1854981000.0,2025-05-15 09:20:47.365,0,9.244294266864598,8.833333333333334,8.42237239980207
DSSL,2025-05-17,8.8,8.8,9.0,8.5,560012,4.896,358,0.4,1812.822,2025-05-17 10:09:01.072,0,9.18207142142714,8.825,8.467928578572858
DSSL,2025-05-18,9.1,8.8,9.1,8.7,588731,5.228,321,,1854.981,2025-05-18 11:07:04.930,0,9.139999999999999,8.82,8.500000000000002
DSSL,2025-05-19,8.9,9.1,9.3,8.9,1665778,15.077,732,0.3,1854.981,2025-05-19 11:05:29.392,0,9.225677653808965,8.866666666666667,8.507655679524369
DSSL,2025-05-20,9.1,9.1,9.3,8.9,1002256,9.117,429,,1918.219,2025-05-20 11:06:22.240,0,9.27032803990902,8.9,8.529671960090981
DSSL,2025-05-21,9.2,9.1,9.3,9.0,1074095,9.785,365,,1918.219,2025-05-21 11:56:02.660,0,9.295809924354783,8.925,8.554190075645218
DSSL,2025-05-22,9.2,9.0,9.2,8.9,456076,4.115,288,-0.1,1918.219,2025-05-22 11:08:49.521,0,9.286100174808611,8.933333333333334,8.580566491858056
DSSL,2025-05-24,9.0,8.8,9.0,8.7,666329,5.895,483,-0.2,1897.139,2025-05-24 11:56:27.852,0,9.264093010681703,8.92,8.575906989318296
DSSL,2025-05-25,8.9,9.3,9.4,8.9,3082980,28.292,1092,0.5,1854.981,2025-05-25 11:54:35.554,0,9.34871787979416,8.954545454545455,8.56037302929675
DSSL,2025-05-26,9.3,9.2,9.5,9.1,1472014,13.706,542,-0.1,1960.377,2025-05-26 11:06:09.355,0,9.376040313850531,8.975,8.573959686149468
DSSL,2025-05-27,9.2,9.0,9.3,8.9,1166138,10.573,370,-0.2,1939.298,2025-05-27 11:04:46.333,0,9.362460433419743,8.976923076923077,8.59138572042641
DSSL,2025-05-28,9.1,8.9,9.2,8.7,1205044,10.714,486,-0.1,1897.139,2025-05-28 11:53:58.949,0,9.345048480874913,8.971428571428572,8.59780866198223
DSSL,2025-05-29,8.9,9.0,9.1,8.7,747364,6.684,353,0.1,1876.06,2025-05-29 11:53:49.143,0,9.334565791577173,8.973333333333333,8.612100875089492
DSSL,2025-06-01,9.0,9.1,9.2,8.9,1074479,9.772,455,0.1,1897.139,2025-06-01 11:07:21.399,0,9.336346817783543,8.98125,8.626153182216456
DSSL,2025-06-02,9.2,9.0,9.3,9.0,1029909,9.388,393,-0.1,1918.219,2025-06-02 11:05:49.614,0,9.326960435667688,8.98235294117647,8.637745446685253
DSSL,2025-06-03,9.1,8.9,9.1,8.8,568212,5.064,249,-0.1,1897.139,2025-06-03 11:06:04.391,0,9.314794464180068,8.977777777777778,8.640761091375488
DSSL,2025-06-04,8.9,9.0,9.0,8.8,430962,3.846,248,0.1,1876.06,2025-06-04 11:06:32.679,0,9.304256728832975,8.972222222222221,8.640187715611468
